
[00:00:00.000 --> 00:00:04.480]  今天我們分享的題目叫做明白神恩典的奧秘
[00:00:04.480 --> 00:00:06.400]  有時說起奧秘這個字
[00:00:06.400 --> 00:00:10.080]  不知道大家喜不喜歡一些懸疑的小說
[00:00:10.080 --> 00:00:12.360]  或者一些懸疑的電影
[00:00:12.360 --> 00:00:16.840]  我小時候很喜歡看懸疑的書和小說
[00:00:16.840 --> 00:00:19.120]  特別是一個系列的小說
[00:00:19.120 --> 00:00:21.640]  我很喜歡看那個系列的小說很特別
[00:00:21.640 --> 00:00:24.560]  你看的時候你可以選擇不同的情節
[00:00:24.560 --> 00:00:26.880]  譬如你覺得這個部分
[00:00:26.880 --> 00:00:29.440]  你覺得這個主人翁會決定怎樣
[00:00:29.440 --> 00:00:31.640]  幫你做不同的決定的時候
[00:00:31.640 --> 00:00:33.840]  他會叫你揭去不同的頁數
[00:00:33.840 --> 00:00:37.080]  揭去不同的頁數又有不同的情節
[00:00:37.080 --> 00:00:40.840]  最後會看到一個你猜不到的真相
[00:00:40.840 --> 00:00:42.680]  但是我會再看回頭
[00:00:42.680 --> 00:00:45.920]  因為我發現如果之前我做不同的決定的話
[00:00:45.920 --> 00:00:49.240]  最後的結局又是一個不同的真相
[00:00:49.240 --> 00:00:54.040]  我最喜歡看那本叫做《大富翁之死》
[00:00:54.040 --> 00:00:56.240]  不知道大家有沒有看過這系列的小說
[00:00:56.240 --> 00:00:59.720]  那時候我和我的同學很喜歡一起看
[00:00:59.720 --> 00:01:03.280]  另外很喜歡做電視節目成長的我
[00:01:03.280 --> 00:01:08.520]  我很喜歡看過去電視的《懸疑偵緝》系列
[00:01:08.520 --> 00:01:11.680]  其中一個我看完又看 看完又看
[00:01:11.680 --> 00:01:13.360]  現在有時候也會翻看的
[00:01:13.360 --> 00:01:15.720]  就是《刑事偵緝檔案》
[00:01:15.720 --> 00:01:18.400]  不知道有沒有人看《刑事偵緝檔案》
[00:01:18.400 --> 00:01:21.400]  除了很喜歡裡面那對的螢幕情侶
[00:01:21.400 --> 00:01:24.320]  另一個主角叫做《車時》的主角
[00:01:24.320 --> 00:01:27.080]  除了很喜歡那些螢幕情侶
[00:01:27.080 --> 00:01:30.000]  我也很喜歡原來有時候真的還沒看到最尾
[00:01:30.000 --> 00:01:32.120]  其實我猜的東西是很差的
[00:01:32.120 --> 00:01:34.320]  我一邊看我就猜德國兇手應該是這個
[00:01:34.320 --> 00:01:36.320]  但是我通常都猜錯的
[00:01:36.320 --> 00:01:39.760]  通常真相和我想的都不一樣的
[00:01:39.760 --> 00:01:41.600]  當然當繼續成長的時候
[00:01:41.600 --> 00:01:45.200]  可能有些人喜歡看愛國的《懸疑》系列
[00:01:45.200 --> 00:01:48.800]  我相信其中一個最出名的愛國的《懸疑》系列
[00:01:48.800 --> 00:01:51.880]  就是《CSI》 有沒有人喜歡看《CSI》
[00:01:51.880 --> 00:01:54.480]  這個是一個很出名的系列
[00:01:54.480 --> 00:01:57.400]  甚至會有《CSI 紐約》
[00:01:57.400 --> 00:01:59.960]  《CSI 洛杉磯》
[00:01:59.960 --> 00:02:02.960]  《CSI 拉斯維加斯》都有的
[00:02:02.960 --> 00:02:06.360]  另外我又很喜歡英國的劇集
[00:02:06.360 --> 00:02:09.080]  有一個是BBC的《懸疑》劇集
[00:02:09.080 --> 00:02:11.320]  不過這個比較冷門的不知道有沒有人看過
[00:02:11.320 --> 00:02:13.600]  叫做《布朗神父》
[00:02:13.600 --> 00:02:14.920]  《Father Brown》
[00:02:14.920 --> 00:02:16.400]  有沒有人看過《Father Brown》的
[00:02:16.400 --> 00:02:18.440]  有啊 我找到知音人了
[00:02:18.440 --> 00:02:20.520]  Pastor Irene 謝謝你
[00:02:20.520 --> 00:02:22.720]  因為你是第三堂崇拜以來
[00:02:22.720 --> 00:02:25.640]  唯一一個看過這個劇集的人
[00:02:25.640 --> 00:02:27.480]  感謝主啊
[00:02:27.480 --> 00:02:31.360]  我們找了一齊煲這個《布朗神父》
[00:02:31.360 --> 00:02:33.400]  我很喜歡看這個《布朗神父》
[00:02:33.400 --> 00:02:36.160]  它是說英國裡面有個小鎮
[00:02:36.160 --> 00:02:37.160]  有一個神父
[00:02:37.160 --> 00:02:39.080]  他很厲害的
[00:02:39.080 --> 00:02:40.880]  通常發生了一些案件
[00:02:40.880 --> 00:02:42.520]  沒有人知道真相的
[00:02:42.520 --> 00:02:46.280]  大家可以留意到一些很細微的線索
[00:02:46.280 --> 00:02:49.080]  或者看到一些人很細微的回應
[00:02:49.080 --> 00:02:51.680]  他就可以幫人找到真相
[00:02:51.680 --> 00:02:53.800]  我們找人一起看電視
[00:02:53.800 --> 00:02:56.960]  Pastor Irene是看《布朗神父》
[00:02:56.960 --> 00:02:59.160]  但是其實《聖經》的奧秘
[00:02:59.160 --> 00:03:00.480]  又是不是這些魚兒片呢
[00:03:00.480 --> 00:03:02.520]  其實《聖經》的奧秘又不是這樣的
[00:03:02.520 --> 00:03:05.320]  那《聖經》的奧秘是講什麼呢
[00:03:05.320 --> 00:03:08.680]  我們知道《聖經》裡面講奧秘
[00:03:08.680 --> 00:03:13.320]  是一些講人靠著自己不能夠明白的事
[00:03:13.320 --> 00:03:15.120]  有些東西我們靠自己的智慧
[00:03:15.120 --> 00:03:15.960]  靠自己的能力
[00:03:15.960 --> 00:03:17.400]  我們不能夠明白的
[00:03:17.400 --> 00:03:20.960]  但是原來在神的恩典裡面
[00:03:20.960 --> 00:03:24.640]  神向我們去顯示和顯明
[00:03:24.640 --> 00:03:27.520]  但是當我們知道這些奧秘的時候
[00:03:27.520 --> 00:03:29.880]  我們的生命是需要作出回應的
[00:03:29.880 --> 00:03:32.560]  就好像我小時候打機
