
[00:00:00.000 --> 00:00:03.460]  在今年一月開始 我們開始了這個保守的系列
[00:00:03.460 --> 00:00:05.620]  今天會講到保守你的手
[00:00:05.620 --> 00:00:09.780]  在聖經裏面提到有四方面的關於手的事情
[00:00:09.780 --> 00:00:13.820]  第一 信仰的手是提及到
[00:00:13.820 --> 00:00:19.500]  這裏講到的是你要親近神的時候 要手潔心清
[00:00:19.500 --> 00:00:23.220]  我們在《雅各書》第四章的第八章
[00:00:23.220 --> 00:00:25.760]  你們應當親近神 神就必親近你們
[00:00:25.760 --> 00:00:28.920]  追人 要潔淨你的手 三心兩意人
[00:00:28.920 --> 00:00:31.000]  要清潔你的心
[00:00:31.000 --> 00:00:33.500]  每一次來到主的面前我們敬拜的時候
[00:00:33.500 --> 00:00:36.900]  我們需要去反覆的去思想
[00:00:36.900 --> 00:00:40.960]  讓聖靈來光照我們 我們是否手潔心清
[00:00:40.960 --> 00:00:47.520]  手潔是代表在這個禮拜我們有沒有做過加害別人的事情
[00:00:47.520 --> 00:00:52.140]  在這個禮拜我們有沒有參與過一些不公義的事情
[00:00:52.140 --> 00:00:54.500]  如果有的話 我們需要來到主的面前
[00:00:54.500 --> 00:00:58.200]  肯求主的補血去潔淨我們的手
[00:00:58.200 --> 00:01:00.480]  我們要心清 心清很困難
[00:01:00.480 --> 00:01:04.280]  因為心清是代表動機單純
[00:01:04.280 --> 00:01:08.620]  究竟我們做善事去幫助別人
[00:01:08.620 --> 00:01:11.220]  是發自一個單純的愛
[00:01:11.220 --> 00:01:17.060]  還是我渴慕別人的讚賞
[00:01:17.060 --> 00:01:18.660]  兩者的動機不一樣
[00:01:18.660 --> 00:01:22.060]  但一樣我們會關心有需要的人
[00:01:22.060 --> 00:01:26.960]  究竟當我們為社會不公義的事情爭取和發聲的時候
[00:01:26.960 --> 00:01:31.220]  是真正我們對公義的要求驅使我們做這件事的
[00:01:31.220 --> 00:01:37.900]  抑或我們將心中的怒氣不忿去發洩出來
[00:01:37.900 --> 00:01:40.420]  所以我們必須要思考
[00:01:40.420 --> 00:01:43.440]  不斷地去反省讓聖靈來光照我們
[00:01:43.440 --> 00:01:46.340]  我們是否動機是單純的
[00:01:46.340 --> 00:01:49.940]  傳統裡面說 我們每個基督徒讀聖經祈禱
[00:01:49.940 --> 00:01:52.360]  我們的生命就會成長 就會突破
[00:01:52.360 --> 00:01:56.720]  這種說法是需要補充的 為什麼這麼說呢?
[00:01:56.720 --> 00:01:59.320]  想像一下在新疆裡的法利塞人
[00:01:59.320 --> 00:02:04.760]  沒有一個法利塞人不比任何猶太人讀聖經更多
[00:02:04.760 --> 00:02:09.700]  耶穌說他們天天查考聖經
[00:02:09.700 --> 00:02:13.760]  沒有任何人比法利塞人禱告得更加健全
[00:02:13.760 --> 00:02:15.780]  法利塞人的禱告和讀經生活
[00:02:15.780 --> 00:02:18.360]  你不要以為他們是懶惰的一群
