
[00:00:00.000 --> 00:00:01.440]  開始的時候大家一起祈禱
[00:00:01.440 --> 00:00:03.440]  我們將時間再交給主
[00:00:31.000 --> 00:00:33.000]  因為祢不想我們單單得救
[00:00:33.000 --> 00:00:35.000]  祢渴望我們能夠得著
[00:00:35.000 --> 00:00:38.000]  祢為我們預備的豐盛的生命
[00:00:38.000 --> 00:00:40.000]  因此我們懇求天父
[00:00:40.000 --> 00:00:42.000]  藉著祢的聖靈
[00:00:42.000 --> 00:00:44.000]  感動我們的心
[00:00:44.000 --> 00:00:46.000]  吸引我們的心
[00:00:46.000 --> 00:00:48.000]  讓我們渴望祢自己
[00:00:48.000 --> 00:00:50.000]  過於地上的一切
[00:00:50.000 --> 00:00:53.000]  讓我們的心被祢吸引
[00:00:53.000 --> 00:00:55.000]  我們更知道去追尋
[00:00:55.000 --> 00:00:58.000]  有真正永恆價值的天家
[00:00:58.000 --> 00:01:01.000]  主也帶領我們在地上生活的時候
[00:01:01.000 --> 00:01:03.000]  能夠見證祢
[00:01:03.000 --> 00:01:05.000]  也堅定的信靠祢
[00:01:05.000 --> 00:01:08.000]  主我們感謝祢今天有健康
[00:01:08.000 --> 00:01:10.000]  有力量再次來到敬拜
[00:01:10.000 --> 00:01:12.000]  求天父藉著祢的聖靈
[00:01:12.000 --> 00:01:14.000]  賜福這段時間
[00:01:14.000 --> 00:01:16.000]  讓我們在祢的恩賢
[00:01:16.000 --> 00:01:18.000]  祢的聖靈裡面
[00:01:18.000 --> 00:01:20.000]  再一次蒙新的恩惠
[00:01:20.000 --> 00:01:22.000]  我們仰望祈禱
[00:01:22.000 --> 00:01:24.000]  奉耶穌基督聖名求
[00:01:24.000 --> 00:01:30.000]  我們再看回聖經約書亞記第六章
[00:01:30.000 --> 00:01:33.000]  一段大家都熟悉的經文
[00:01:33.000 --> 00:01:36.000]  提到耶律哥城倒塌的經過
[00:01:36.000 --> 00:01:40.000]  當然今天我們不會面對著什麼的戰爭
[00:01:40.000 --> 00:01:43.000]  但是你和我包括教會
[00:01:43.000 --> 00:01:46.000]  有些時候都面對著一些屬靈的爭戰
[00:01:46.000 --> 00:01:49.000]  有些時候神會猜派我們
[00:01:49.000 --> 00:01:53.000]  去敵對一些的惡勢力
