
[00:00:00.000 --> 00:00:03.680]  慧神師父,讓我們聽神的道義,先讓我們同心地禱告
[00:00:03.680 --> 00:00:06.640]  聽神的道之前,先同心打開
[00:00:06.640 --> 00:00:12.340]  慧神,多謝祢讓我們能夠再次在主日當中
[00:00:12.340 --> 00:00:14.320]  一同地去以祢的說話
[00:00:14.320 --> 00:00:17.080]  去教導我們,去明白祢的心意
[00:00:17.080 --> 00:00:20.820]  讓我們能夠去知道我們當行所想的
[00:00:20.820 --> 00:00:22.180]  應該是些什麼事
[00:00:22.180 --> 00:00:23.720]  後來應該是同在
[00:00:23.720 --> 00:00:26.640]  多謝恩主祢給我們一切的引導
[00:00:26.640 --> 00:00:30.620]  萬切的天賦,感謝祢給我們能夠再次打開祢的話語
[00:00:30.620 --> 00:00:34.640]  讓我們能夠從當中明白我們當行當想的事情
[00:00:34.640 --> 00:00:35.900]  應該是什麼東西
[00:00:35.900 --> 00:00:38.360]  也應該怎麼樣與祢同行
[00:00:38.360 --> 00:00:40.160]  走在這個永恆的道路上中
[00:00:40.160 --> 00:00:41.360]  求祢的幫助
[00:00:41.360 --> 00:00:44.180]  讓我們能夠完全明白祢的教訓
[00:00:44.180 --> 00:00:47.540]  神父,多謝祢讓我們有另一個機會
[00:00:47.540 --> 00:00:49.220]  讓我們能夠打開祢的說話
[00:00:49.220 --> 00:00:52.420]  讓我們能夠得到教導
[00:00:52.420 --> 00:00:54.280]  教導我們如何去思考
[00:00:54.280 --> 00:00:59.800]  如何能夠走在我們追求永恆的道路上
[00:00:59.800 --> 00:01:01.940]  我們以耶穌基督的名義祈禱
[00:01:01.940 --> 00:01:03.880]  我們奉主耶穌的德性的名義祈禱
[00:01:03.880 --> 00:01:04.880]  Amen
[00:01:04.880 --> 00:01:12.700]  剛剛的星期五就是黑色星期五日子
[00:01:12.700 --> 00:01:16.080]  剛過去的星期五是黑色星期五
[00:01:16.080 --> 00:01:19.040]  我覺得現在這個世界都很忙
[00:01:19.040 --> 00:01:20.580]  特別進入到十一月
[00:01:20.580 --> 00:01:23.580]  在這個世界特別進入到十一月都非常忙
[00:01:23.580 --> 00:01:27.580]  首先說完雙十一的光棍節之後
[00:01:27.580 --> 00:01:30.380]  然後剛過完三四一的光棍節
[00:01:30.380 --> 00:01:35.340]  接著有很多人要說感恩節的黑色星期五
[00:01:35.340 --> 00:01:39.120]  就要趕過感恩節的黑色星期五
[00:01:39.120 --> 00:01:41.280]  聽說
[00:01:41.280 --> 00:01:44.860]  只是在這個星期五裡面
[00:01:44.860 --> 00:01:46.620]  就是說在這個星期五裡面
[00:01:46.620 --> 00:01:50.880]  美國整個社會的總消費
[00:01:50.880 --> 00:01:57.420]  美國的整個消費是七千多億美元
[00:01:57.420 --> 00:02:02.280]  我心想這個世界的人真的有很多事情要忙
[00:02:02.280 --> 00:02:05.080]  這個世界上真的有很多事情要忙
[00:02:05.080 --> 00:02:08.380]  又要換孖又要買孖又要怎麼樣
[00:02:08.380 --> 00:02:11.040]  缺什麼又買什麼
[00:02:11.040 --> 00:02:16.000]  難怪大家很少時間去思想上帝的事
[00:02:16.000 --> 00:02:19.640]  所以難怪別人有很少時間去思考上帝的事
[00:02:19.640 --> 00:02:21.920]  有些人說上帝的事上帝搞定
[00:02:21.920 --> 00:02:23.920]  上帝的事要上帝去處理
[00:02:23.920 --> 00:02:27.040]  但是可不可以思想一下我們屬靈的生命的事呢
[00:02:27.040 --> 00:02:29.340]  可不可以思想一下我們屬靈的生命的事呢
[00:02:29.340 --> 00:02:31.300]  這件事更加貼身
