
[00:00:00.000 --> 00:00:03.000]  好,感謝神在新的一年在港台和大家見面
[00:00:03.000 --> 00:00:06.000]  很感謝神在新的一年在講台與大家見面
[00:00:06.000 --> 00:00:10.000]  這個世界真是越來越亂,是不是?
[00:00:10.000 --> 00:00:12.000]  這個世界越來越亂
[00:00:12.000 --> 00:00:14.000]  兩個國家的元首
[00:00:14.000 --> 00:00:16.000]  兩個國家的元首
[00:00:16.000 --> 00:00:19.000]  一個說我桌子上有個按鈕
[00:00:19.000 --> 00:00:21.000]  一個說我的桌子上有一個按鈕
[00:00:21.000 --> 00:00:24.000]  我一按就會發動核子戰爭
[00:00:24.000 --> 00:00:26.000]  我一按就可以發動核子戰爭
[00:00:26.000 --> 00:00:28.000]  另外一個國家的元首說
[00:00:28.000 --> 00:00:31.000]  我的按鈕比你的按鈕還要大
[00:00:31.000 --> 00:00:33.000]  我的按鈕比你的按鈕還要大
[00:00:33.000 --> 00:00:34.000]  殺傷力更大
[00:00:34.000 --> 00:00:35.000]  殺傷力更大
[00:00:35.000 --> 00:00:39.000]  我們這些花生友在看好像覺得很好笑
[00:00:39.000 --> 00:00:41.000]  我們在這邊講的時候好像很好笑
[00:00:41.000 --> 00:00:43.000]  其實一點都不好笑
[00:00:43.000 --> 00:00:44.000]  其實一點都不好笑
[00:00:44.000 --> 00:00:47.000]  因為真是人類末日的喧囂
[00:00:47.000 --> 00:00:50.000]  因為可以說是人類末日的喧囂
[00:00:50.000 --> 00:00:53.000]  如果你說一個人不小心按了按鈕會怎樣呢?
[00:00:53.000 --> 00:00:56.000]  那你說一個人不小心真的按了按鈕怎麼辦呢?
[00:00:56.000 --> 00:00:59.000]  或者一句說話得罪了人都不知道是不是?
[00:00:59.000 --> 00:01:01.000]  或者你有時候講一句話
[00:01:01.000 --> 00:01:03.000]  你得罪了人你都不知道
[00:01:03.000 --> 00:01:05.000]  國家元首晚上不用睡覺的知道嗎?
[00:01:05.000 --> 00:01:07.000]  國家元首晚上是可以不睡覺的
[00:01:07.000 --> 00:01:09.000]  她想到就說了是不是?
[00:01:09.000 --> 00:01:11.000]  她想到了她就說了
[00:01:11.000 --> 00:01:14.000]  也不用找記者來做新聞發佈會的
[00:01:14.000 --> 00:01:17.000]  也不需要找記者做新聞發佈會
[00:01:17.000 --> 00:01:20.000]  因為現在網上的資訊很厲害
[00:01:20.000 --> 00:01:23.000]  因為現在網上的資訊很厲害
[00:01:23.000 --> 00:01:26.000]  社交網可以隨時發表意見
[00:01:26.000 --> 00:01:29.000]  在社交網站隨時都可以發表意見
[00:01:29.000 --> 00:01:34.000]  一句說話可以令人類的結局來到
[00:01:34.000 --> 00:01:37.000]  一句話就可以令到人類的結局來到
[00:01:37.000 --> 00:01:39.000]  你說可不可怕?
[00:01:39.000 --> 00:01:42.000]  所以我們更加需要靠我們的主耶穌
[00:01:42.000 --> 00:01:45.000]  所以我們更加需要靠我們的主耶穌
[00:01:45.000 --> 00:01:48.000]  我們靠我們主耶穌基督帶給我們的福音
[00:01:48.000 --> 00:01:51.000]  我們要靠著主耶穌基督祂所帶給我們的福音
[00:01:51.000 --> 00:01:55.000]  今天就是講這個福音
[00:01:55.000 --> 00:01:58.000]  我們剛剛過了聖誕節
[00:01:58.000 --> 00:02:00.000]  我們剛剛過了聖誕
[00:02:00.000 --> 00:02:02.000]  我們慶祝主耶穌基督來到這個世界上
[00:02:02.000 --> 00:02:05.000]  我們慶祝了主耶穌基督來到這個世界上
[00:02:05.000 --> 00:02:08.000]  記得早兩個星期我們有小朋友在這裡表演
[00:02:08.000 --> 00:02:11.000]  記得早兩個星期我們有小朋友在前面表演
[00:02:11.000 --> 00:02:14.000]  我記得就是主耶穌基督出世的時候
[00:02:14.000 --> 00:02:17.000]  我記得在主耶穌基督出世的時候
[00:02:17.000 --> 00:02:19.000]  有天使來報喜訊
[00:02:19.000 --> 00:02:21.000]  有天使來報喜訊
[00:02:21.000 --> 00:02:23.000]  年年小朋友出來都讀這句話
[00:02:23.000 --> 00:02:26.000]  年年小朋友出來都會讀這句話
[00:02:26.000 --> 00:02:28.000]  大家記不記得這句話是什麼
[00:02:28.000 --> 00:02:30.000]  大家記不記得這句話是什麼
[00:02:30.000 --> 00:02:32.000]  他說不要懼怕
[00:02:32.000 --> 00:02:34.000]  他說不要怕
[00:02:34.000 --> 00:02:38.000]  因為我報給你們有大喜的訊息
[00:02:38.000 --> 00:02:40.000]  因為我報給你們有大喜的訊息
[00:02:40.000 --> 00:02:42.000]  是關乎萬民的
[00:02:42.000 --> 00:02:43.000]  是關於萬民的
[00:02:43.000 --> 00:02:45.000]  一個大喜的訊息
