
[00:00:00.000 --> 00:00:02.000]  親愛的親姐妹,平安!
[00:00:02.000 --> 00:00:06.000]  感謝主啊!大家這麼早就回來了!
[00:00:06.000 --> 00:00:09.000]  我不知道大家的工作忙不忙碌呢?
[00:00:09.000 --> 00:00:11.000]  認識一個人叫做Wendy
[00:00:11.000 --> 00:00:13.000]  她是一個很忙碌的人
[00:00:13.000 --> 00:00:17.000]  一天24小時,她從出道開始,從大學畢業開始
[00:00:17.000 --> 00:00:21.000]  她已經每天差不多要工作16個小時
[00:00:21.000 --> 00:00:24.000]  一天24小時,她工作16個小時
[00:00:24.000 --> 00:00:26.000]  而且是年終無休
[00:00:26.000 --> 00:00:29.000]  她說很多時候,她會7天一路去做
[00:00:29.000 --> 00:00:31.000]  但是她很享受,她不覺得辛苦
[00:00:31.000 --> 00:00:35.000]  因為她看見她的財富一路一路積聚
[00:00:35.000 --> 00:00:38.000]  而且因為她的勤力,她的努力
[00:00:38.000 --> 00:00:40.000]  公司很看好她,很肯定她
[00:00:40.000 --> 00:00:42.000]  她得到人很多的肯定的時候
[00:00:42.000 --> 00:00:46.000]  她越來越有拼勁,繼續,她不覺得辛苦
[00:00:46.000 --> 00:00:50.000]  但是很可惜,因為年輕人拼了幾年之後
[00:00:50.000 --> 00:00:56.000]  在2007年,她就發覺她患了末期肝癌
[00:00:56.000 --> 00:01:01.000]  因為這個肝癌的緣故,她不得不停下她的工作
[00:01:01.000 --> 00:01:06.000]  在這個休息徘徊,在生死邊緣裏面的時候
[00:01:06.000 --> 00:01:09.000]  她才突然間驚醒過來
[00:01:09.000 --> 00:01:14.000]  她說,究竟我這幾年裏面得著的是甚麼呢?
[00:01:14.000 --> 00:01:18.000]  究竟我花了那麼多時間,我拿了甚麼成就呢?
[00:01:18.000 --> 00:01:20.000]  她就做一個比喻
[00:01:20.000 --> 00:01:24.000]  她說,原來我的人生好像一個洋蔥一樣
[00:01:24.000 --> 00:01:30.000]  我花了很多時間,其實用了在我們工作裏面
[00:01:30.000 --> 00:01:33.000]  我覺得工作可以帶來我的滿足感
[00:01:33.000 --> 00:01:36.000]  工作可以帶來財富
[00:01:36.000 --> 00:01:38.000]  我很少談我的夢想
[00:01:38.000 --> 00:01:40.000]  我不會想我何時會游浮
[00:01:40.000 --> 00:01:42.000]  因為工作優先
[00:01:42.000 --> 00:01:45.000]  我又給很少時間我的家人
[00:01:45.000 --> 00:01:50.000]  縱然我的信仰,但是我也很少回教會
[00:01:50.000 --> 00:01:54.000]  是因為勤力工作,忠於工作,豈不是一個見證嗎?
[00:01:54.000 --> 00:01:56.000]  她一直都是這樣想
[00:01:56.000 --> 00:02:01.000]  但是她說,原來人生在這個生死邊緣的時候
[00:02:01.000 --> 00:02:04.000]  看東西是會更加清晰
[00:02:04.000 --> 00:02:07.000]  她說,當她再想的時候
[00:02:07.000 --> 00:02:11.000]  原來她的生活真的是一個很荒謬的事情
[00:02:11.000 --> 00:02:17.000]  因為她說,如果人生平均有八十多歲的時候
[00:02:17.000 --> 00:02:22.000]  我的人生將會大部份時間寄託在工作裏面
