
[00:00:00.000 --> 00:00:06.720]  既然說起不懂祈禱 事實上有些人不懂的又會不懂得祈禱
[00:00:06.720 --> 00:00:10.800]  曾經有一個少女就是這樣祈禱 不知道你認不認識她
[00:00:10.800 --> 00:00:16.080]  她有一個少女的祈禱 但現在可能已經是中女了
[00:00:16.080 --> 00:00:21.520]  我不知道她是什麼年紀 但當時這首歌是很流行的
[00:00:21.520 --> 00:00:23.960]  不知道你有多少人聽過 先確認一下
[00:00:23.960 --> 00:00:28.040]  又不是很多人舉手聽過這首歌 應該是很流行的
[00:00:28.040 --> 00:00:32.040]  國內沒有聽過這首歌嗎 沒有聽過這首歌嗎
[00:00:32.040 --> 00:00:36.400]  中國沒有聽過這首歌 楊千嬅有聽過嗎
[00:00:36.400 --> 00:00:38.440]  楊千嬅就懂了
[00:00:38.440 --> 00:00:45.640]  楊千嬅這首少女的祈禱就是一個少女拍拖
[00:00:45.640 --> 00:00:49.840]  很想和她所愛的人持續到永遠
[00:00:49.840 --> 00:00:55.600]  所以想像自己拍拖的路程就像開車一樣
[00:00:55.600 --> 00:00:59.800]  一路順利過了一關 就像綠燈開了過了一個路口
[00:00:59.800 --> 00:01:01.920]  綠燈開了過了下一個路口
[00:01:01.920 --> 00:01:05.840]  但當她知道接下來那個路口可能會有紅燈
[00:01:05.840 --> 00:01:07.440]  所以她就很緊張
[00:01:07.440 --> 00:01:11.840]  於是她就祈求天父做十分鐘好人
[00:01:11.840 --> 00:01:15.120]  賜我他的吻如憐吻罪人
[00:01:15.120 --> 00:01:17.440]  在那一刻她都說自己是一個罪人
[00:01:17.440 --> 00:01:25.400]  希望天父讓她愛上這個人 能夠有一個長久的關係
[00:01:25.400 --> 00:01:30.080]  歌詞又說 為了他不懂禱告都敢禱告
[00:01:30.080 --> 00:01:33.000]  誰願眷顧這種信徒
[00:01:33.000 --> 00:01:36.600]  用兩手遮掩雙眼專心傾訴
[00:01:36.600 --> 00:01:40.080]  無奈答案望不到
[00:01:40.080 --> 00:01:43.000]  所以不懂禱告都會祈禱
[00:01:43.000 --> 00:01:48.520]  所以有時候信徒不懂禱告我們都會去祈禱
[00:01:48.520 --> 00:01:54.360]  這也是我們盼望去學習的一件事
[00:01:54.360 --> 00:01:59.880]  所以今天我們會看到馬太福音第六章的段落
[00:01:59.880 --> 00:02:05.720]  我們之前也有看過不同的馬太福音段落
[00:02:05.720 --> 00:02:09.000]  我們在看耶穌的登山補訓
[00:02:09.000 --> 00:02:17.640]  我們說登山補訓裏面是講耶穌帶門徒上山開口教訓門徒的段落
[00:02:17.640 --> 00:02:20.360]  所以我們知道第五至第七章
[00:02:20.360 --> 00:02:24.200]  都是耶穌給門徒訓練的時刻
[00:02:24.200 --> 00:02:29.160]  在山上作出不同角度不同的事情裏面的訓練
[00:02:29.160 --> 00:02:33.720]  以至他們能夠明白一個屬神的角度和視野
[00:02:33.720 --> 00:02:37.400]  以至他們能夠知道怎樣去看自己的人生
[00:02:37.400 --> 00:02:41.160]  而我們去到後面的段落第五章
[00:02:41.160 --> 00:02:43.560]  第二十節的時候我們也見到
[00:02:43.560 --> 00:02:46.040]  當講完這些八福
[00:02:46.040 --> 00:02:49.480]  成為炎 成為光之後
[00:02:49.480 --> 00:02:55.080]  我們發現後面講到耶穌對遵行律法和先知的正義作出一個定位
[00:02:55.080 --> 00:02:56.440]  就是告訴他們
[00:02:56.440 --> 00:02:57.960]  我告訴你們
[00:02:57.960 --> 00:03:01.480]  你們的義若不勝過民事和法理財人的義
[00:03:01.480 --> 00:03:03.480]  絕不能進天國
[00:03:03.480 --> 00:03:07.880]  正正好耶穌希望能夠建立門徒的義
[00:03:07.880 --> 00:03:13.400]  以至他們能夠知道他們和民事和法理財人的義有些不同
[00:03:13.400 --> 00:03:15.880]  而我們其中一種的分法就是
[00:03:15.880 --> 00:03:18.680]  我們發現在前面的六個主題裏面
[00:03:18.680 --> 00:03:21.560]  都很關乎怎樣去理解聖經
[00:03:21.560 --> 00:03:23.000]  或者理解舊約聖經
[00:03:23.000 --> 00:03:25.400]  或者他們理解傳統的教導
[00:03:25.400 --> 00:03:30.200]  似乎這個可能多些是傾向民事他們都會面對的問題
[00:03:30.200 --> 00:03:32.840]  而我們發現去到第六章的段落
[00:03:32.840 --> 00:03:35.400]  就會講到有三個主題
[00:03:35.400 --> 00:03:39.400]  就是施捨 禱告和禁食
[00:03:39.400 --> 00:03:41.320]  而這三個主題告訴你
[00:03:41.320 --> 00:03:43.800]  就是在猶太教的主流教派裏面
[00:03:43.800 --> 00:03:46.360]  施捨 禱告和禁食
[00:03:46.360 --> 00:03:49.400]  都是他們當作一個實踐信徒
[00:03:49.400 --> 00:03:52.760]  敬虔生活的一個重要要求
[00:03:52.760 --> 00:03:55.160]  特別對於這些法理財人來說
[00:03:55.160 --> 00:03:57.400]  是一些更加關注的事情
[00:03:57.400 --> 00:03:59.160]  所以可能這三個主題
[00:03:59.160 --> 00:04:05.400]  都是耶穌想特別針對法理財人所帶來的一個主題
[00:04:05.400 --> 00:04:08.360]  所以當我們去到第六章第一節的時候
[00:04:08.360 --> 00:04:11.320]  耶穌就說你們要謹慎
[00:04:11.320 --> 00:04:14.760]  不可故意在人面前表現虔誠
[00:04:14.760 --> 00:04:17.560]  叫他們看見若是這樣
[00:04:17.560 --> 00:04:20.840]  就不能得你們天父的賞賜了
[00:04:20.840 --> 00:04:23.240]  所以耶穌在第六章的時候就提醒
[00:04:23.240 --> 00:04:26.280]  這群門徒要小心了
[00:04:26.280 --> 00:04:29.800]  因為原來有時候我們有些信仰的表現
[00:04:29.800 --> 00:04:33.320]  可能不知不覺為了去凸顯我們的虔誠
[00:04:33.320 --> 00:04:37.400]  而這種狀況最終得到人的賞賜
[00:04:37.400 --> 00:04:39.960]  卻得不到天父的賞賜
[00:04:39.960 --> 00:04:43.880]  所以耶穌在我們早一個多月前
[00:04:43.880 --> 00:04:46.920]  我們就已經看到關於施捨的概念
[00:04:46.920 --> 00:04:51.240]  而我們今天就會看到關於禱告的事情
[00:04:51.240 --> 00:04:54.760]  事實上在第六章裡說禱告
[00:04:54.760 --> 00:04:57.160]  不只是第五節到第八節
[00:04:57.160 --> 00:05:02.840]  更加是第九節到第十五節的段落都是相關的
[00:05:02.840 --> 00:05:08.200]  不過今天的時間我們只是集中思考第五節到第八節的段落
[00:05:08.200 --> 00:05:12.040]  整個的五節八節好像很簡單
[00:05:12.040 --> 00:05:17.320]  事實上仍然有一個簡單的結構我們可以看得出來
[00:05:17.320 --> 00:05:19.240]  當你讀這個段落的時候
[00:05:19.240 --> 00:05:23.000]  你會看得到在第五節會說到你們禱告的時候
[00:05:23.000 --> 00:05:26.600]  在第六節也有說你們禱告的時候
[00:05:26.600 --> 00:05:30.840]  第七節就說到你們禱告
[00:05:30.840 --> 00:05:34.120]  而在第五節的時候也有不可像...
[00:05:34.120 --> 00:05:36.760]  而第七節也有不可像...
[00:05:36.760 --> 00:05:43.320]  反映出他們有一個相關類似的句式
[00:05:43.320 --> 00:05:45.800]  所以這裡可以看到有一個排列
[00:05:45.800 --> 00:05:49.400]  我們就定為A句或者A'句
[00:05:49.400 --> 00:05:53.960]  而中間你會發現到第六節的時候就有些不一樣了
[00:05:53.960 --> 00:05:58.440]  因為第六節的時候你會發現他們不是你們禱告的時候
[00:05:58.440 --> 00:06:00.440]  而是你禱告的時候
[00:06:00.440 --> 00:06:04.040]  特別是給門徒知道他們可以走的方向
[00:06:04.040 --> 00:06:07.880]  然後就不是不可像了 而是你可以要怎樣呢?
[00:06:07.880 --> 00:06:11.480]  這個就是整個段落裡的結構
[00:06:11.480 --> 00:06:15.480]  所以我們今天也會藉著這個結構去思考
[00:06:15.480 --> 00:06:20.200]  如何看到重點 就是第六節的重點
[00:06:20.200 --> 00:06:23.400]  我們先看到第五節的段落
[00:06:23.400 --> 00:06:27.160]  第五節裡說你們禱告的時候
