
[00:00:00.000 --> 00:00:04.000]  今天分享的題目是「真的相信嗎?」
[00:00:04.000 --> 00:00:05.920]  當我們問這條問題的時候
[00:00:05.920 --> 00:00:08.520]  有不同層面的表達
[00:00:08.520 --> 00:00:10.800]  我想最基本簡單的層面就是
[00:00:10.800 --> 00:00:12.920]  當我們問這條問題的時候
[00:00:12.920 --> 00:00:16.920]  你會不會相信一些事實呢?
[00:00:16.920 --> 00:00:19.720]  曾經我和一班弟兄姊妹
[00:00:19.720 --> 00:00:22.120]  一起吃大閘蟹
[00:00:22.120 --> 00:00:24.520]  中間有一位肢體
[00:00:24.520 --> 00:00:32.720]  他說「你知道這些綁過大閘蟹的繩子是可以賣出去的嗎?」
[00:00:32.720 --> 00:00:34.520]  我想問一下你會不會相信呢?
[00:00:34.520 --> 00:00:39.120]  你會不會相信這些精元大閘蟹綁著大閘蟹的繩子
[00:00:39.120 --> 00:00:41.120]  是可以賣出去的?
[00:00:41.120 --> 00:00:45.120]  舉手說「是真的」
[00:00:45.120 --> 00:00:46.520]  很少人相信的
[00:00:46.520 --> 00:00:47.720]  上一課多一點
[00:00:47.720 --> 00:00:50.720]  你不相信這些繩子是可以賣出去的嗎?
[00:00:50.720 --> 00:00:52.720]  於是我們就問
[00:00:52.720 --> 00:00:54.920]  這些繩子是可以賣出去的嗎?
[00:00:54.920 --> 00:00:57.320]  這些繩子賣出去是為了什麼呢?
[00:00:57.320 --> 00:01:02.120]  我就不知道這位肢體是說真正開玩笑
[00:01:02.120 --> 00:01:03.520]  他就問「你知道嗎?」
[00:01:03.520 --> 00:01:06.920]  「有些人因為敏感,不能吃蟹」
[00:01:06.920 --> 00:01:09.120]  「於是會買這些繩子」
[00:01:09.120 --> 00:01:13.120]  「去吸一吸大閘蟹的味道」
[00:01:13.120 --> 00:01:15.120]  我真的不知道相信還是不相信
[00:01:15.120 --> 00:01:16.520]  但我就說
[00:01:16.520 --> 00:01:19.720]  「真的有人把這些繩子賣出來賣的嗎?」
[00:01:19.720 --> 00:01:23.120]  於是真是上網馬上找到
[00:01:23.120 --> 00:01:24.120]  給我看
[00:01:24.120 --> 00:01:30.320]  有人在網上是會賣這些綁過大閘蟹的繩子的
[00:01:30.320 --> 00:01:32.520]  還賣15元一條
[00:01:32.520 --> 00:01:33.920]  於是我就說
[00:01:33.920 --> 00:01:37.520]  「蛤?原來是真的」
[00:01:37.520 --> 00:01:38.520]  「他不是說謊」
[00:01:38.520 --> 00:01:40.720]  「真是有人在網上賣的」
[00:01:40.720 --> 00:01:43.920]  至於買了這些人是否真的買來吸呢?
[00:01:43.920 --> 00:01:45.720]  我就不知道了
[00:01:45.720 --> 00:01:50.320]  但是是否真的相信有另一個層面
[00:01:50.320 --> 00:01:54.920]  有時候不只是說我們在頭腦上去相信一些東西
[00:01:54.920 --> 00:01:59.920]  有一些相信是需要我們的生命去作出回應的
[00:01:59.920 --> 00:02:02.920]  我記得有一次跟一班好朋友吃東西
[00:02:02.920 --> 00:02:07.520]  其中有一個朋友就知道另一個朋友要去旅行
