
[00:00:00.000 --> 00:00:02.000]  各位大英之妹平安
[00:00:02.000 --> 00:00:12.000]  上個月跟大家說關於爸媽的心
[00:00:12.000 --> 00:00:15.000]  為兒女祈求
[00:00:15.000 --> 00:00:18.000]  今天我想跟大家說
[00:00:18.000 --> 00:00:23.000]  兒女的心從父母去傳承
[00:00:23.000 --> 00:00:28.000]  心形有一節聖經是很寶貴的
[00:00:28.000 --> 00:00:30.000]  很多人都會背了它
[00:00:30.000 --> 00:00:33.000]  甚至成為她一生的座右銘
[00:00:33.000 --> 00:00:37.000]  就是《箴言二十二章》第六節
[00:00:37.000 --> 00:00:41.000]  教養孩童使他走當行的道
[00:00:41.000 --> 00:00:45.000]  就是道路他也不偏離
[00:00:45.000 --> 00:00:49.000]  呂振宗譯本是這樣譯的
[00:00:49.000 --> 00:00:54.000]  訓練兒童循著應走的路
[00:00:54.000 --> 00:00:58.000]  就是道路他也不偏離
[00:00:58.000 --> 00:01:05.000]  現代中文譯本就是說教導兒童走正路
[00:01:05.000 --> 00:01:10.000]  他自幼道路終生不亡
[00:01:10.000 --> 00:01:16.000]  最近跟二汶林太
[00:01:16.000 --> 00:01:18.000]  在預備講道的時候
[00:01:18.000 --> 00:01:20.000]  跟她有機會通電話
[00:01:20.000 --> 00:01:26.000]  她是我認識了超過三十年的一位姊妹
[00:01:26.000 --> 00:01:28.000]  而且我不是只認識她
[00:01:28.000 --> 00:01:30.000]  我是認識了她全家的
[00:01:30.000 --> 00:01:32.000]  特別是莫老太
[00:01:32.000 --> 00:01:34.000]  我記得來的時候
[00:01:34.000 --> 00:01:38.000]  莫老太還在我們教會
[00:01:38.000 --> 00:01:39.000]  她很熱心的
[00:01:39.000 --> 00:01:41.000]  很為人祈禱
[00:01:41.000 --> 00:01:43.000]  最特別的地方就是
[00:01:43.000 --> 00:01:47.000]  每一次聽到她都會寫筆記
[00:01:47.000 --> 00:01:50.000]  她有些寶寶寫下來
[00:01:50.000 --> 00:01:52.000]  所以有時候我去探望她的時候
[00:01:52.000 --> 00:01:55.000]  她就給我看她自己的靈修
[00:01:55.000 --> 00:01:58.000]  或者她聽道的心得寫出來
[00:01:58.000 --> 00:02:02.000]  輪到二汶的大女兒
[00:02:02.000 --> 00:02:03.000]  當我認識她的時候
[00:02:03.000 --> 00:02:05.000]  也認識了她的先生林生
[00:02:05.000 --> 00:02:07.000]  還有她兩個兒子
[00:02:07.000 --> 00:02:10.000]  一轉眼就三十年了
[00:02:10.000 --> 00:02:12.000]  超過三十年
[00:02:12.000 --> 00:02:14.000]  跟二汶聊天的時候
[00:02:14.000 --> 00:02:17.000]  我發覺她雖然年紀大了
[00:02:17.000 --> 00:02:18.000]  她已經九十歲了
[00:02:18.000 --> 00:02:21.000]  莫老太也離開了世界一段時間
[00:02:21.000 --> 00:02:26.000]  但是她仍然有莫老太的影子
[00:02:26.000 --> 00:02:29.000]  她喜歡背很多金句
[00:02:29.000 --> 00:02:30.000]  直到現在
[00:02:30.000 --> 00:02:34.000]  雖然家人說她的記憶慢慢退化了
[00:02:34.000 --> 00:02:37.000]  但她依然記得很多聖經
[00:02:37.000 --> 00:02:39.000]  還有你跟她唱歌
[00:02:39.000 --> 00:02:40.000]  她記得的
[00:02:40.000 --> 00:02:42.000]  「天父必看顧你」
[00:02:42.000 --> 00:02:44.000]  她可以背了
[00:02:44.000 --> 00:02:45.000]  大山可以羅開
[00:02:45.000 --> 00:02:46.000]  小山可以遷移
[00:02:46.000 --> 00:02:49.000]  她又懂得唱
[00:02:49.000 --> 00:02:50.000]  所以我想想
[00:02:50.000 --> 00:02:53.000]  其實莫老太
[00:02:53.000 --> 00:02:56.000]  她是很敬重的一位長者
[00:02:56.000 --> 00:02:59.000]  她留給她的下一代
[00:02:59.000 --> 00:03:02.000]  原來是這麼寶貴的東西
[00:03:02.000 --> 00:03:05.000]  就是他們仍然有一個愛神的心
[00:03:05.000 --> 00:03:09.000]  有喜歡讀神話語的心
[00:03:09.000 --> 00:03:13.000]  還有他們兄弟姊妹都很彼此相愛
[00:03:13.000 --> 00:03:15.000]  這是父母教下來的
[00:03:15.000 --> 00:03:18.000]  或者是做了一個好的榜樣
[00:03:18.000 --> 00:03:21.000]  莫老太也是很年輕就失去了丈夫
[00:03:21.000 --> 00:03:23.000]  但是在她的生命裡面
[00:03:23.000 --> 00:03:27.000]  在她跟我說話的過程裡面
[00:03:27.000 --> 00:03:30.000]  你發覺她沒有一句是怨言的
[00:03:30.000 --> 00:03:32.000]  就是會怨天尤人的
[00:03:32.000 --> 00:03:33.000]  她沒有
[00:03:33.000 --> 00:03:36.000]  昨天我沒見過一個婆婆
[00:03:36.000 --> 00:03:39.000]  常常稱讚自己的媳婦
[00:03:39.000 --> 00:03:42.000]  很多時候我們做婆婆都稱讚不出來
[00:03:42.000 --> 00:03:47.000]  有很多衝突或者不了解不溝通
[00:03:47.000 --> 00:03:49.000]  她不是自己的女兒
[00:03:49.000 --> 00:03:56.000]  但是莫老太真的對自己的媳婦很感激
[00:03:56.000 --> 00:04:01.000]  常常都謝謝他們怎麼照顧怎麼愛她
[00:04:01.000 --> 00:04:08.000]  兄弟姊妹你從父母得到什麼 傳承了什麼
[00:04:08.000 --> 00:04:14.000]  試想想我有哪一方面是最受我父母影響的
[00:04:14.000 --> 00:04:17.000]  最像我爸爸媽媽的
[00:04:17.000 --> 00:04:22.000]  還有你有期望你這一生留給你下一代
[00:04:22.000 --> 00:04:24.000]  再下一代
[00:04:24.000 --> 00:04:26.000]  什麼
[00:04:26.000 --> 00:04:31.000]  你希望你的後代最像你的在哪一方面
[00:04:31.000 --> 00:04:35.000]  是好的呢還是不好的呢
[00:04:35.000 --> 00:04:40.000]  今天你會聽到這裡有三個例子
[00:04:40.000 --> 00:04:43.000]  都是傳承了她的父母
[00:04:43.000 --> 00:04:48.000]  她的祖父母那些影響
[00:04:48.000 --> 00:04:50.000]  或者說很好的地方
[00:04:50.000 --> 00:04:52.000]  當然也有不好的
[00:04:52.000 --> 00:04:55.000]  我們人不是完全的
[00:04:55.000 --> 00:04:58.000]  因為我們不只是用口去教他們
[00:04:58.000 --> 00:05:00.000]  和他們讀聖經就夠了
[00:05:00.000 --> 00:05:03.000]  還有就是我們的身教
[00:05:03.000 --> 00:05:06.000]  我們教他們要愛神我是不是愛神
[00:05:06.000 --> 00:05:08.000]  我們教他們要讀聖經
[00:05:08.000 --> 00:05:10.000]  我們是不是每天都讀聖經
[00:05:10.000 --> 00:05:12.000]  我們教他們要讚美神
[00:05:12.000 --> 00:05:13.000]  但是我們有很多怨言
[00:05:13.000 --> 00:05:15.000]  那怎麼影響他們呢
[00:05:15.000 --> 00:05:17.000]  說一套做一套
