
[00:00:00.000 --> 00:00:02.000]  讓我們在聆聽主導的意思
[00:00:02.000 --> 00:00:03.660]  一起低頭禱告
[00:00:03.660 --> 00:00:06.720]  仰望在我們主的我們的世人面前
[00:00:06.720 --> 00:00:07.920]  賜給你天賦 多謝你
[00:00:07.920 --> 00:00:12.420]  讓我們在今天再次來到你寶貴的說話間面前
[00:00:12.420 --> 00:00:14.100]  同心腳去學習
[00:00:14.100 --> 00:00:16.780]  求你的聖靈幫助我們
[00:00:16.780 --> 00:00:22.280]  好使我們能夠準確無誤地去領受主祢在當中的教導
[00:00:22.280 --> 00:00:26.220]  也讓我們更明白主祢是怎樣的一位主
[00:00:26.220 --> 00:00:29.760]  為我們怎樣悉心地去預備這個救恩
[00:00:29.760 --> 00:00:31.020]  求你的幫助
[00:00:31.020 --> 00:00:33.980]  讓聖靈也幫助我們能夠將
[00:00:33.980 --> 00:00:38.040]  由基督耶穌所建造的這個屬靈的根基
[00:00:38.040 --> 00:00:40.980]  去讓我們繼續的生根建造
[00:00:40.980 --> 00:00:44.400]  我們同心去禱告 奉靠主耶穌 得聖靈指教
[00:00:44.400 --> 00:00:45.400]  阿們
[00:00:45.400 --> 00:00:48.240]  好 今天和大家一起思想的經文
[00:00:48.240 --> 00:00:52.200]  是出自於《馬太福音》的第三章
[00:00:52.200 --> 00:00:54.620]  第一至到第十二節
[00:00:54.620 --> 00:00:56.660]  今天和大家一起思想的題目
[00:00:56.660 --> 00:01:01.060]  是叫做《有主風度的神子文》
[00:01:01.060 --> 00:01:03.180]  在舊約的聖經裏面
[00:01:03.180 --> 00:01:06.400]  我們知道有不少的人物
[00:01:06.400 --> 00:01:10.700]  他們都曾經是藉著認罪悔改
[00:01:10.700 --> 00:01:13.760]  這些人物我們可以經歷過的
[00:01:13.760 --> 00:01:17.700]  譬如在《聖經》裏面
[00:01:17.700 --> 00:01:19.760]  我們知道有這個乃曼
[00:01:19.760 --> 00:01:23.020]  或者在秘魯的時期
[00:01:23.020 --> 00:01:26.640]  有一位很出名的君王叫做尼布甲尼撒王
[00:01:26.640 --> 00:01:30.680]  今天的教會也都非常之強調
[00:01:30.680 --> 00:01:33.780]  在傳道的過程當中
[00:01:33.780 --> 00:01:37.060]  看重人的悔改
[00:01:37.060 --> 00:01:41.560]  既然悔改是一件這麼重要的事情
[00:01:41.560 --> 00:01:44.760]  我們在今天將會看的這段聖經裏面
[00:01:44.760 --> 00:01:47.860]  正好就談論到一個這樣的現象
[00:01:47.860 --> 00:01:52.720]  就是施洗約翰要宣告他這個
[00:01:52.720 --> 00:01:55.380]  悔改的朕例的信息
[00:01:55.380 --> 00:01:59.500]  在當中也都不乏有不少的人去參與
[00:01:59.500 --> 00:02:02.320]  既然已經有悔改的信息
[00:02:02.320 --> 00:02:04.800]  人也都已經悔改
[00:02:04.800 --> 00:02:07.920]  然後去參與這些的朕例
[00:02:07.920 --> 00:02:11.560]  我們為甚麼還需要有耶穌基督的死
[00:02:11.560 --> 00:02:12.860]  和復活呢?
[00:02:12.860 --> 00:02:15.340]  人都悔改了 那就好了
[00:02:15.340 --> 00:02:18.640]  這個正正就是今天我們想透過
[00:02:18.640 --> 00:02:23.020]  《馬太福音》的第三章1至12節
[00:02:23.020 --> 00:02:24.940]  去一起思想一下
[00:02:24.940 --> 00:02:28.900]  究竟我們作為一個神的子民
[00:02:28.900 --> 00:02:34.300]  我們怎樣才能夠作成一個稱職的神的子民呢?
[00:02:34.300 --> 00:02:38.400]  並且可以透過不同的侍奉的人物
[00:02:38.400 --> 00:02:40.940]  比如今天我們所看的施洗約翰
[00:02:40.940 --> 00:02:44.280]  讓我們看一下真正一個屬靈人
[00:02:44.280 --> 00:02:47.860]  屬神的子民在侍奉神的時候
[00:02:47.860 --> 00:02:51.260]  需要有一個怎樣的生命表彰
[00:02:51.260 --> 00:02:55.240]  這個就是我們今天所看的這段經文的主旨
[00:02:55.240 --> 00:02:59.380]  不如這樣吧 我們再次去打開聖經《馬太福音》
[00:02:59.380 --> 00:03:02.680]  第三章第1至12節
[00:03:02.680 --> 00:03:05.500]  讓我們一起去讀一下這段經文
[00:03:05.500 --> 00:03:07.600]  讓我們從這段經文當中
[00:03:07.600 --> 00:03:12.780]  去明白到上帝祂怎樣去
[00:03:12.780 --> 00:03:15.840]  模造一個或者呼召一個
[00:03:15.840 --> 00:03:20.840]  能夠去真是全心全意稱職的神的僕人
[00:03:20.840 --> 00:03:23.700]  那時有施洗的約翰出來
[00:03:23.700 --> 00:03:27.260]  在猶太的曠野傳道
[00:03:27.260 --> 00:03:32.540]  說:「天國近了 你們應當悔改
[00:03:32.540 --> 00:03:36.700]  這人就是先知爾塞亞所說的」
[00:03:36.700 --> 00:03:41.000]  他說:「在曠野有人聲喊著說
[00:03:41.000 --> 00:03:45.540]  預備主的道 修直他的路」
[00:03:45.540 --> 00:03:49.540]  這約翰身穿駱駝毛的衣服
[00:03:49.540 --> 00:03:54.640]  腰束皮帶 吃的是蝗蟲野蜜
[00:03:54.640 --> 00:03:58.640]  那時耶路撒冷和猶太傳遞
[00:03:58.640 --> 00:04:02.120]  並約旦河一帶地方的人
[00:04:02.120 --> 00:04:05.540]  都出去到約翰那裡
[00:04:05.540 --> 00:04:07.900]  承認他們的罪
[00:04:07.900 --> 00:04:11.700]  在約旦河裡受他的洗
[00:04:11.700 --> 00:04:18.100]  約翰看見許多法利塞人和薩都該人也來受洗
[00:04:18.100 --> 00:04:22.640]  就對他們說:「毒蛇的種類
[00:04:22.640 --> 00:04:27.240]  誰指示你們逃避將來的憤怒呢?
[00:04:27.240 --> 00:04:30.200]  你們要結出果子來
[00:04:30.200 --> 00:04:33.200]  與悔改的心相稱
[00:04:33.200 --> 00:04:35.600]  不要自己心裡說
[00:04:35.600 --> 00:04:39.940]  有阿伯拉罕為我們的祖宗
[00:04:39.940 --> 00:04:41.940]  我告訴你們
[00:04:41.940 --> 00:04:48.640]  上帝能從這些石頭中給阿伯拉罕興起子孫來
[00:04:48.640 --> 00:04:53.040]  現在虎子已經放在樹根上
[00:04:53.040 --> 00:04:57.740]  凡不結好果子的樹就撼下來
[00:04:57.740 --> 00:04:59.740]  永在火裡
[00:04:59.740 --> 00:05:02.940]  我是用水給你們施洗
[00:05:02.940 --> 00:05:05.040]  叫你們悔改
[00:05:05.040 --> 00:05:10.140]  但那在我以後來的能力比我更大
[00:05:10.140 --> 00:05:13.740]  我就是給他提鞋也不配
[00:05:13.740 --> 00:05:17.540]  他要用聖靈與火給你們施洗
[00:05:17.540 --> 00:05:21.540]  他手裡拿著筲箕或者撲箕
[00:05:21.540 --> 00:05:24.040]  要揚正他的牆
[00:05:24.040 --> 00:05:28.540]  把墨紙收在倉裡
[00:05:28.540 --> 00:05:35.540]  把康永不滅的火燒盡了」
[00:05:35.540 --> 00:05:37.340]  在《天主聖經》裡面
[00:05:37.340 --> 00:05:41.740]  我們總共可以透過三個部份一齊去思想
[00:05:41.740 --> 00:05:45.140]  真是有神生命的人
[00:05:45.140 --> 00:05:48.740]  他怎樣在他的生命侍奉的過程當中
[00:05:48.740 --> 00:05:52.540]  流露出有主的風度
[00:05:52.540 --> 00:05:53.740]  第一件事
[00:05:53.740 --> 00:05:56.540]  我們會從第一節到第三節裡面
[00:05:56.540 --> 00:05:58.540]  我們看一下一個很重要的題目
[00:05:58.540 --> 00:06:00.540]  就是「順應神」
[00:06:00.540 --> 00:06:02.540]  Follow God
[00:06:02.540 --> 00:06:05.240]  當有一些事情
[00:06:05.240 --> 00:06:09.240]  尤其是透過人的思想邏輯
[00:06:09.240 --> 00:06:13.540]  來去看是非常合情合理的做法
[00:06:13.540 --> 00:06:18.340]  或者一種的處理手段的時候
[00:06:18.340 --> 00:06:20.040]  但是同時間
[00:06:20.040 --> 00:06:24.040]  上帝又給我們一個很清楚的指示
[00:06:24.040 --> 00:06:25.540]  叫我們去做
[00:06:25.540 --> 00:06:27.540]  而要我們做的時候
[00:06:27.540 --> 00:06:30.140]  上帝的方法或者指示
[00:06:30.140 --> 00:06:33.640]  是可以說跟我們人的邏輯思維
[00:06:33.640 --> 00:06:36.540]  是有所違背、有所衝突
[00:06:36.540 --> 00:06:38.540]  我們作為神的子民
[00:06:38.540 --> 00:06:39.740]  在這樣的情況之下
