
[00:00:00.000 --> 00:00:01.400]  (主席)各位長姐妹,早晨
[00:00:01.400 --> 00:00:02.160]  (主席)早晨
[00:00:02.160 --> 00:00:03.640]  (主席)好久不見了
[00:00:03.640 --> 00:00:07.280]  (主席)特別祝願每一個人都平安
[00:00:07.280 --> 00:00:12.800]  (主席)今天我要總結《摩西五經》的講道
[00:00:12.800 --> 00:00:19.880]  (主席)人犯罪令這個世界失去了秩序
[00:00:19.880 --> 00:00:22.080]  (主席)泯滅了人性
[00:00:22.080 --> 00:00:25.000]  (主席)亦都遺忘了神聖
[00:00:25.000 --> 00:00:28.080]  (主席)神定義救贖世人
[00:00:28.760 --> 00:00:32.880]  (主席)但祂沒有選擇一種直接了當的方式
[00:00:32.880 --> 00:00:36.840]  (主席)祂選擇了曲折迂迴的方式
[00:00:36.840 --> 00:00:42.080]  (主席)我們的神選擇了與人在歷史裏面同行
[00:00:42.080 --> 00:00:47.560]  (主席)讓人在歷史中將祂的光明傳播開來
[00:00:47.560 --> 00:00:55.080]  (主席)神這種選擇最終都會令祂行走在人間
[00:00:56.680 --> 00:01:00.680]  (主席)而流出承擔人類罪惡的鮮血
[00:01:00.680 --> 00:01:04.920]  (主席)在歷史裏面留下救贖的記號
[00:01:04.920 --> 00:01:09.200]  (主席)神選擇與人在歷史裏面同行
[00:01:09.200 --> 00:01:15.680]  (主席)神人合作地在黑暗的大地上傳送光明
[00:01:15.680 --> 00:01:18.760]  (主席)這是一個漫長的過程
[00:01:18.760 --> 00:01:24.800]  (主席)神人合作有點像玩二人三足的遊戲
[00:01:26.200 --> 00:01:30.880]  (主席)神要遷就人,所以祂的步伐很緩慢
[00:01:30.880 --> 00:01:37.680]  (主席)人要跟著神的節奏,亦都需要很努力地學習
[00:01:37.680 --> 00:01:40.080]  (主席)在神人互動裏面
[00:01:40.080 --> 00:01:45.000]  (主席)神的光明透過人在大地上蔓延開來
[00:01:45.000 --> 00:01:48.400]  (主席)神選擇了阿伯拉罕
[00:01:48.400 --> 00:01:51.440]  (主席)阿伯拉罕亦都選擇了神
[00:01:53.120 --> 00:01:56.440]  (主席)神要求阿伯拉罕大膽地信任他
[00:01:56.440 --> 00:02:00.080]  (主席)大膽地為神獻上一切
[00:02:00.080 --> 00:02:04.520]  (主席)阿伯拉罕信任地回應神
[00:02:04.520 --> 00:02:07.320]  (主席)在他的信仰行動裏面
