
[00:00:00.000 --> 00:00:01.360]  弟兄姊妹下午好
[00:00:01.360 --> 00:00:02.320]  下午好
[00:00:02.320 --> 00:00:05.240]  今天很高興這是我第一次來到這裡櫃堂
[00:00:05.240 --> 00:00:08.080]  然後有機會跟大家分享一些信息
[00:00:08.080 --> 00:00:09.520]  是感到很榮幸
[00:00:09.520 --> 00:00:12.400]  也特別願意以後有機會
[00:00:12.400 --> 00:00:16.880]  就是跟大家像我今天的題目一樣連接
[00:00:16.880 --> 00:00:20.840]  那這個剛才讀的那一節經文
[00:00:20.840 --> 00:00:25.720]  是我特別為今天的這個講道來預備的一節經文
[00:00:25.720 --> 00:00:29.560]  我手上的是和合本的翻譯
[00:00:29.560 --> 00:00:31.800]  我再讀一次給大家聽
[00:00:31.800 --> 00:00:35.440]  「不持定援手 全身既然靠著他
[00:00:35.440 --> 00:00:40.560]  荊桀得以相助聯絡 就因神大德長進」
[00:00:40.560 --> 00:00:42.640]  這是我手上的和合本
[00:00:42.640 --> 00:00:45.360]  大家會看到有一個「不」字開始
[00:00:45.360 --> 00:00:49.320]  其實保羅這句話就是跟前面他講的一大堆
[00:00:49.320 --> 00:00:50.880]  是非常有關係的
[00:00:50.880 --> 00:00:54.520]  因為他講前面那一段是講到哥勒希人
[00:00:54.520 --> 00:00:58.520]  他們不持定援手接受耶穌基督的時候
[00:00:58.520 --> 00:01:03.000]  所有他們成長帶來的限制 停滯不前
[00:01:03.000 --> 00:01:04.840]  所以他這裡他是一個反論
[00:01:04.840 --> 00:01:07.680]  就是說如果你不持定援手的話
[00:01:07.680 --> 00:01:09.560]  你就會像哥勒希人一樣
[00:01:09.560 --> 00:01:13.440]  他們生命的成長是受到非常大的限制
[00:01:13.440 --> 00:01:15.040]  甚至停滯的地步
[00:01:15.040 --> 00:01:19.040]  但是如果你全身靠著他
[00:01:19.040 --> 00:01:21.840]  就是靠著耶穌基督以為援手
[00:01:21.840 --> 00:01:24.320]  荊桀得以相助聯絡
[00:01:24.320 --> 00:01:28.600]  彼此肢體能夠之間得到聯絡和幫助的話
[00:01:28.600 --> 00:01:35.160]  那麼個人以及整體教會就會因神大德長進
[00:01:35.160 --> 00:01:38.320]  我們的生命因著互相的連結
[00:01:38.320 --> 00:01:41.160]  並且與援手基督連結
[00:01:41.160 --> 00:01:45.080]  我們的結果就是全身都靠神
[00:01:45.080 --> 00:01:47.640]  因神大德長進
[00:01:47.640 --> 00:01:53.000]  這是保羅的一句很重要的一句勸告
[00:01:53.000 --> 00:01:55.320]  對哥勒希人
[00:01:55.320 --> 00:02:00.720]  我想大家在座的都應該有智能手機是不是
[00:02:00.720 --> 00:02:05.000]  我在兩年前引進了我自己的財產
[00:02:05.000 --> 00:02:06.840]  這個智能手機
[00:02:06.840 --> 00:02:11.200]  是第一次引進 發覺實在是非常好用
[00:02:11.200 --> 00:02:14.960]  因為我的工作是經常要跟別人聯繫的
[00:02:14.960 --> 00:02:19.720]  結果一下子就在不受時空限制的情況下
[00:02:19.720 --> 00:02:22.280]  用這部小小的一部智能手機
[00:02:22.280 --> 00:02:26.320]  就一周之內就跟上百個人
[00:02:26.320 --> 00:02:28.560]  現在是幾百個了 聯繫上了
[00:02:28.560 --> 00:02:29.960]  讓我非常的高興
[00:02:29.960 --> 00:02:33.520]  從此以後我就手無力機了
[00:02:33.520 --> 00:02:35.880]  然後從此以後我又發覺
[00:02:35.880 --> 00:02:39.840]  原來我出門 就是下樓上街出門
[00:02:39.840 --> 00:02:43.600]  帶著這個手機比我帶的那個錢包要更重要一點
[00:02:43.600 --> 00:02:45.200]  如果兩個要選擇的話
[00:02:45.200 --> 00:02:47.120]  我應該還會帶手機
