
[00:00:00.000 --> 00:00:03.840]  泥土呢就有分好同壞肥同瘦
[00:00:03.840 --> 00:00:08.200]  泥土呢都會對種植呢有好大嘅影響
[00:00:08.200 --> 00:00:12.040]  我自己好鍾意呢一種植物叫做怕丑草
[00:00:12.040 --> 00:00:14.340]  曾經屋企裏面種過一棵
[00:00:14.340 --> 00:00:18.440]  就係嗰啲呢你掂到佢嘅葉呢佢就會摺埋嗰啲
[00:00:18.440 --> 00:00:22.020]  夜晚瞓覺啦佢哋係會都一樣瞓覺㗎
[00:00:22.020 --> 00:00:25.600]  啲葉係會收埋㗎有陽光出佢就會打翻開
[00:00:25.600 --> 00:00:28.420]  最初種嘅時候呢我就用一啲呢淺色
[00:00:28.680 --> 00:00:30.720]  鬆散嘅泥土去種
[00:00:30.720 --> 00:00:33.540]  不過發覺呢佢唔係好長呀
[00:00:33.540 --> 00:00:36.360]  都種嚟種去都係咁上下大細
[00:00:36.360 --> 00:00:38.920]  後來我就搵咗啲顏色深啲
[00:00:38.920 --> 00:00:40.460]  濕潤啲
[00:00:40.460 --> 00:00:43.520]  啲泥粒呢係有大有少嘅
[00:00:43.520 --> 00:00:44.800]  換咗喺個盤度
[00:00:44.800 --> 00:00:46.600]  咁樣一換咗之後呢
[00:00:46.600 --> 00:00:48.900]  嗰棵怕丑草就係咁長呀
[00:00:48.900 --> 00:00:50.960]  仲有花出嚟添呀
[00:00:50.960 --> 00:00:54.280]  之後大棵到呢係要換盤
[00:00:54.280 --> 00:00:55.560]  要遷居
[00:00:55.560 --> 00:00:57.100]  見到都好開心
[00:00:58.120 --> 00:01:00.680]  咁我哋所讀嘅路家福音第八章
[00:01:00.680 --> 00:01:04.000]  一至十五節呢個殺種嘅比喻
[00:01:04.000 --> 00:01:05.540]  我諗大家你
[00:01:05.540 --> 00:01:06.560]  都好熟悉㗎
[00:01:06.560 --> 00:01:09.120]  如果你睇過一次嘅四福音
[00:01:09.120 --> 00:01:12.460]  你就最少睇過有三次呢一個記載㗎啦
[00:01:12.460 --> 00:01:15.280]  因為喺馬太馬海路家
[00:01:15.280 --> 00:01:17.580]  三卷嘅對官方書裏面呢
[00:01:17.580 --> 00:01:19.620]  都有呢一段嘅比喻㗎
[00:01:19.620 --> 00:01:24.480]  但係今日喺路家當中呢一段嘅比喻路家想提我哋啲咩呢
[00:01:24.480 --> 00:01:27.560]  耶穌嘅福音有讓我哋明白啲咩呢
[00:01:28.320 --> 00:01:28.840]  我先講明
[00:01:28.840 --> 00:01:30.880]  今日嘅比喻好熟悉
[00:01:30.880 --> 00:01:32.420]  有既定嘅解說
[00:01:32.420 --> 00:01:36.260]  但係呢度有比喻唔單止係話緊
[00:01:36.260 --> 00:01:39.080]  人點樣去回應福音能夠得救
[00:01:39.080 --> 00:01:43.680]  唔單止係講緊呢唔好氣餒全福音呢總會有啲係失敗
[00:01:43.680 --> 00:01:45.740]  有啲呢係可以成功嘅
[00:01:45.740 --> 00:01:51.620]  亦都唔係呢我哋放眼將來永生百倍嘅獎賞
[00:01:51.620 --> 00:01:55.980]  呢一篇嘅比喻佢係讓我哋能夠實際喺生活裏面
[00:01:55.980 --> 00:01:57.520]  即刻可以實行出嚟
[00:01:58.800 --> 00:02:01.040]  我哋都將呢段時間再一次交託畀主
[00:02:01.040 --> 00:02:02.560]  讓我哋一同領受真道
[00:02:02.560 --> 00:02:06.420]  主耶穌基督我哋打開你比喻嘅華語
[00:02:06.420 --> 00:02:08.220]  求你讓我哋明白
[00:02:08.220 --> 00:02:10.260]  你神國嘅奧庇
[00:02:10.260 --> 00:02:11.800]  求你嘅靈
[00:02:11.800 --> 00:02:13.320]  對我哋耐心說話
[00:02:13.320 --> 00:02:15.120]  讓我哋能夠領受
[00:02:15.120 --> 00:02:16.400]  多謝主
[00:02:16.400 --> 00:02:17.940]  祈禱奉主耶穌基督
[00:02:17.940 --> 00:02:19.220]  得聖明節祈求
[00:02:19.220 --> 00:02:20.260]  阿門
[00:02:20.260 --> 00:02:25.620]  呢段比喻之前嘅經文呢就交代咗耶穌同十二門徒
[00:02:25.620 --> 00:02:27.920]  同埋一大班跟隨耶穌嘅婦女
[00:02:28.440 --> 00:02:33.200]  嚟到一個地方嗰時候呢第四節就話啦四方八面嚟搵耶穌嘅人呢
[00:02:33.200 --> 00:02:36.520]  喺各城出嚟嘅人就出嚟聚集喺耶穌面前
[00:02:36.520 --> 00:02:41.640]  於是耶穌就講咗一個比喻有個殺腫的人出去殺腫
[00:02:41.640 --> 00:02:44.460]  殺腫呢就同我哋中國人
[00:02:44.460 --> 00:02:46.240]  插秧嘅方式唔同㗎
[00:02:46.240 --> 00:02:51.560]  我哋種稻米呢就會插秧嘅一株一株一株放落去嗰啲濕潤
[00:02:51.560 --> 00:02:52.640]  有水嘅
[00:02:52.640 --> 00:02:53.660]  泥土當中
[00:02:53.660 --> 00:02:54.960]  殺腫呢
[00:02:55.720 --> 00:02:58.800]  就係嗰個殺腫嘅人揹住一袋嘅種子
[00:02:58.800 --> 00:03:04.180]  一路行一路喺個袋裏面一路拎出嚟一路灑灑灑灑佢行過個路旁
[00:03:04.180 --> 00:03:06.220]  就係咁樣嘅動作嚟㗎
[00:03:06.220 --> 00:03:11.340]  結果呢啲種子呢就會喺佢行嘅過程分別跌落咗四種唔同嘅泥土上面
[00:03:11.340 --> 00:03:13.140]  帶嚟咗兩種
[00:03:13.140 --> 00:03:16.720]  係兩種唔同嘅結果唔係四種係兩種唔同嘅結果
[00:03:16.720 --> 00:03:18.260]  咩結果呀
[00:03:18.260 --> 00:03:19.780]  一批就係
[00:03:19.780 --> 00:03:22.600]  完全生長唔到見唔到果實囉
[00:03:23.380 --> 00:03:26.200]  另一個結果就係佢能夠百倍嘅修成
[00:03:26.200 --> 00:03:28.760]  就係呢兩種嘅狀況
[00:03:28.760 --> 00:03:33.100]  耶穌嘅比喻就係用本身當時人眼見嘅一啲嘅實物
