
[00:00:00.000 --> 00:00:05.000]  我們已經講過主耶穌是天國的王
[00:00:05.000 --> 00:00:08.000]  馬太沒有直接說耶穌是王
[00:00:08.000 --> 00:00:11.000]  可能是由於當時的政治環境
[00:00:11.000 --> 00:00:14.000]  當時是羅馬人統治的時代
[00:00:14.000 --> 00:00:19.000]  如果馬太公開說耶穌是王的話
[00:00:19.000 --> 00:00:25.000]  可能會引起羅馬皇帝要消滅鎮壓基督徒
[00:00:25.000 --> 00:00:28.000]  事實上在公元七十年之後
[00:00:28.000 --> 00:00:31.000]  基督徒也受了很多政府的迫害
[00:00:31.000 --> 00:00:35.000]  無論如何馬太已經用了足夠的方法
[00:00:35.000 --> 00:00:38.000]  讓我們了解他要介紹的主耶穌
[00:00:38.000 --> 00:00:41.000]  就是天國的王
[00:00:41.000 --> 00:00:44.000]  上星期我們已經看過第八到九章
[00:00:44.000 --> 00:00:48.000]  記載了十個神蹟裏面的其中三個
[00:00:48.000 --> 00:00:51.000]  今天我們要看天國的王
[00:00:51.000 --> 00:00:53.000]  也是修國的王
[00:00:53.000 --> 00:00:57.000]  因為主耶穌用了一個農夫很熟悉的比喻說
[00:00:57.000 --> 00:01:00.000]  要修城的很多
[00:01:00.000 --> 00:01:04.000]  但是修國的工人太少
[00:01:04.000 --> 00:01:06.000]  那怎樣辦呢?
[00:01:06.000 --> 00:01:09.000]  怎樣辦才是最好呢?
[00:01:09.000 --> 00:01:11.000]  有兩個方法
[00:01:11.000 --> 00:01:13.000]  第一就是慢慢修
[00:01:13.000 --> 00:01:16.000]  工人少就慢慢修
[00:01:16.000 --> 00:01:19.000]  對城市長大的人來說
[00:01:19.000 --> 00:01:23.000]  這是一個可行的方法
[00:01:25.000 --> 00:01:32.000]  但是真正的農夫就不會用這個方法
[00:01:32.000 --> 00:01:40.000]  因為修國的季節一般都是乾旱
[00:01:40.000 --> 00:01:44.000]  乾旱季節過了之後
[00:01:44.000 --> 00:01:46.000]  接下來就是雨季
[00:01:46.000 --> 00:01:50.000]  雨季就不可以修國了
[00:01:50.000 --> 00:01:52.000]  農作物就會浪費了
[00:01:52.000 --> 00:01:54.000]  故此只有第二個方法
[00:01:54.000 --> 00:01:56.000]  就是主耶穌說的
[00:01:56.000 --> 00:02:03.000]  你們要求求農場的主人派工人來修國他的農作物
[00:02:03.000 --> 00:02:07.000]  我們一起看看今天這段經文
[00:02:07.000 --> 00:02:10.000]  看看天國的王是自己怎樣修國
[00:02:10.000 --> 00:02:15.000]  和他怎樣派工人去修國他的農作物
[00:02:15.000 --> 00:02:18.000]  先看九章三十五節
[00:02:18.000 --> 00:02:22.000]  我們看到主耶穌自己做修國的工作
[00:02:22.000 --> 00:02:23.000]  他怎樣做呢?
[00:02:23.000 --> 00:02:25.000]  有三方面
[00:02:25.000 --> 00:02:30.000]  第一,他是親身出去周遊各市鎮鄉村
[00:02:30.000 --> 00:02:34.000]  他不是坐在以色列的屋
[00:02:34.000 --> 00:02:36.000]  他不是坐在自己的家
[00:02:36.000 --> 00:02:40.000]  也不是去到所有以色列的市鎮鄉村
[00:02:40.000 --> 00:02:44.000]  只是在加利利附近的市鎮鄉村
[00:02:44.000 --> 00:02:47.000]  雖然主耶穌是可以坐在家裡
[00:02:47.000 --> 00:02:49.000]  都不會有人去找他
[00:02:49.000 --> 00:02:53.000]  但是他仍然是親自出去
[00:02:53.000 --> 00:02:56.000]  進入到人群當中
[00:02:56.000 --> 00:02:58.000]  第二點我們看到
[00:02:58.000 --> 00:03:05.000]  他去到會堂裡教導和宣講天國的福音
[00:03:05.000 --> 00:03:10.000]  會堂是猶太人聚集一起學習聖經的地方
[00:03:10.000 --> 00:03:12.000]  在新約的時代
[00:03:12.000 --> 00:03:14.000]  聖殿是仍然存在的
[00:03:14.000 --> 00:03:18.000]  猶太人會去到聖殿獻祭和敬拜
[00:03:18.000 --> 00:03:23.000]  但是也會在安息日去會堂
[00:03:23.000 --> 00:03:27.000]  聽聖經的宣讀和講解
[00:03:27.000 --> 00:03:30.000]  這裡說宣講天國的福音
[00:03:30.000 --> 00:03:34.000]  我們對天國又有什麼認識呢?
[00:03:34.000 --> 00:03:36.000]  從前面一到九章
[00:03:36.000 --> 00:03:40.000]  我們已經認識到主耶穌是天國的王
[00:03:40.000 --> 00:03:46.000]  而天國的王除了很有權威地宣告天國的法則之外
[00:03:46.000 --> 00:03:48.000]  也是很有權能的
[00:03:48.000 --> 00:03:52.000]  在第八至九章記載了十個神蹟
[00:03:52.000 --> 00:03:57.000]  讓我們看到天國君王在地上的權能
[00:03:57.000 --> 00:03:59.000]  他能夠治好病人
