
[00:00:00.000 --> 00:00:07.480]  當保羅在寫信給提摩太的時候,其實提摩太正是在以佛所做募匯的工作。
[00:00:07.480 --> 00:00:15.040]  以佛所在當時可以說是亞洲的第一大城,交通經濟都非常的繁榮,
[00:00:15.040 --> 00:00:20.960]  但正是因爲如此,教會也受世俗的影響非常的厲害。
[00:00:20.960 --> 00:00:25.840]  這爲什麼主耶穌在責備以佛所的教會里面,
[00:00:25.840 --> 00:00:31.600]  特別對以佛所的教會說,他們失去了起初的愛心。
[00:00:31.600 --> 00:00:34.920]  第二點,如果我們看現今的教會,
[00:00:34.920 --> 00:00:43.000]  我們就不難發現其實我們今天的光景跟以佛所教會的光景有很多類似的地方。
[00:00:43.000 --> 00:00:48.080]  今天的教會也是不斷地受世界的一個價值觀所影響,
[00:00:48.080 --> 00:00:52.360]  以至於我們靈性軟弱,生活失去見證。
[00:00:52.360 --> 00:00:57.880]  很多的信徒雖然信了主,但似乎永遠停留在屬靈、陰海的階段,
[00:00:57.880 --> 00:01:00.480]  不明白主的心意是什麼。
[00:01:00.480 --> 00:01:05.240]  我們想來想去還是想到一些眼前的事情而已。
[00:01:05.240 --> 00:01:09.200]  所以我們中國人最喜歡說,心想事成,
[00:01:09.200 --> 00:01:13.240]  最好讓我眼前的事情趕快解決就好了。
[00:01:13.240 --> 00:01:19.920]  但我們卻忽略了其實神在我們身上是一生的道路,一生的工作,
[00:01:19.920 --> 00:01:23.800]  不是只爲了要解決我們現在的問題,
[00:01:23.800 --> 00:01:28.560]  神更看重的是在我們生命當中的塑造。
[00:01:28.560 --> 00:01:32.040]  神要做的不只是眼前的工作,
[00:01:32.040 --> 00:01:35.760]  神更要在我們一生當中塑造我們,
[00:01:35.760 --> 00:01:40.360]  直到我們成爲一個成熟的器皿纔好。
[00:01:40.360 --> 00:01:45.400]  所以在今天的經文當中我們看見保羅就在這勸勉提摩泰,
[00:01:45.400 --> 00:01:50.440]  怎麼樣在主的裏面能夠成爲一個成熟的器皿呢?
[00:01:50.440 --> 00:01:52.240]  我們從三方面來思想。
[00:01:52.240 --> 00:01:56.320]  第一個,要在主的恩典上剛強。
[00:01:56.320 --> 00:02:00.640]  跟你旁邊說要在主的恩典上剛強。
[00:02:00.640 --> 00:02:03.400]  第一節保羅就勸勉提摩泰說,
[00:02:03.400 --> 00:02:09.080]  提摩泰爾你要在基督耶穌的恩典上剛強起來。
[00:02:09.080 --> 00:02:12.360]  要注意在這裏,保羅並沒有對提摩泰說,
[00:02:12.360 --> 00:02:15.720]  提摩泰爾你要剛強起來。
[00:02:15.720 --> 00:02:19.920]  他說你要在基督耶穌的恩典上剛強。
[00:02:19.920 --> 00:02:21.800]  因爲按照提摩泰的個性來講,
[00:02:21.800 --> 00:02:24.880]  他本來就不是剛強的人。
[00:02:24.880 --> 00:02:29.480]  保羅跟提摩泰是截然兩種不同個性的人。
[00:02:29.480 --> 00:02:32.520]  保羅是一個剛烈型的人,
[00:02:32.520 --> 00:02:35.920]  果決勇敢,充滿精力。
[00:02:35.920 --> 00:02:38.920]  提摩泰是更好相反,
[00:02:38.920 --> 00:02:42.520]  常常猶豫不決,身體又不大好。
[00:02:42.520 --> 00:02:44.840]  你若是要保羅剛強,
[00:02:44.840 --> 00:02:46.920]  那不是很困難的事情。
[00:02:46.920 --> 00:02:51.080]  可是要提摩泰剛強,那就不大容易了。
[00:02:51.080 --> 00:02:53.680]  但感謝神保羅在這裏沒有說,
[00:02:53.680 --> 00:02:57.160]  我兒啊,你要剛強啊,沒有。
[00:02:57.160 --> 00:03:03.000]  他說你要在基督耶穌的恩典上剛強。
[00:03:03.000 --> 00:03:04.720]  什麼是恩典?
[00:03:04.720 --> 00:03:08.120]  恩典就是本來你所沒有的嘛。
[00:03:08.120 --> 00:03:11.840]  但因着你在基督耶穌裏面的緣故,
[00:03:11.840 --> 00:03:16.880]  耶穌基督就成爲你一切力量的源頭嘛。
[00:03:16.880 --> 00:03:19.280]  感謝神,我們看見這裏讓我們明白一件事情,
[00:03:19.280 --> 00:03:22.920]  真正的一個屬靈的剛強,
[00:03:22.920 --> 00:03:26.600]  不是這種人的這種血氣之勇,
[00:03:26.600 --> 00:03:29.240]  也不是皮膚之勇。
[00:03:29.240 --> 00:03:31.680]  真正屬靈的剛強,
[00:03:31.680 --> 00:03:35.760]  是從主而來的一個剛強。
[00:03:35.760 --> 00:03:39.880]  換句話說與你天然的本性是無關的。
[00:03:39.880 --> 00:03:41.240]  很多時候我們常會埋怨,
[00:03:41.240 --> 00:03:44.440]  爲什麼主不把我撞得像保羅一樣呢?
[00:03:44.440 --> 00:03:46.440]  爲什麼像提摩泰呢?
[00:03:46.440 --> 00:03:50.000]  爲什麼我想像保羅一樣剛強壯膽呢?
[00:03:50.000 --> 00:03:51.600]  其實你錯了。
[00:03:51.600 --> 00:03:55.000]  整本聖經當中你看見神可以使用保羅,
