
[00:00:00.000 --> 00:00:01.800]  我們今天的經文
[00:00:01.800 --> 00:00:06.040]  就是《馬克福音》十二章四十一到四十四節
[00:00:06.040 --> 00:00:09.560]  就很出名 窮寡富的奉獻
[00:00:09.560 --> 00:00:12.640]  在講窮寡富的奉獻之前
[00:00:12.640 --> 00:00:16.600]  我們要先看《馬克福音》的第十一章
[00:00:16.600 --> 00:00:18.560]  其實在《馬克福音》裏面
[00:00:18.560 --> 00:00:22.920]  第十一章到第十三章是一段
[00:00:22.920 --> 00:00:25.040]  這一段是非常重要的
[00:00:25.040 --> 00:00:28.240]  我們一起揭開《馬克福音》十一章
[00:00:30.800 --> 00:00:33.880]  新約的第二卷書《馬克福音》
[00:00:33.880 --> 00:00:36.360]  《馬克福音》第十一章一開始講什麼
[00:00:36.360 --> 00:00:38.520]  一節到第十一節
[00:00:38.520 --> 00:00:41.800]  就是耶穌進入耶路撒冷
[00:00:41.800 --> 00:00:45.680]  這個王者的姿態進城
[00:00:45.680 --> 00:00:47.360]  我告訴你
[00:00:47.360 --> 00:00:51.560]  第十一章的第一節到第十一節
[00:00:51.560 --> 00:00:55.360]  是講耶穌進入耶路撒冷的第一天
[00:00:55.360 --> 00:00:58.720]  但第一天他做過什麼呢
[00:00:58.720 --> 00:01:01.760]  看看第十一章的十一節
[00:01:01.760 --> 00:01:03.240]  耶穌到了耶路撒冷
[00:01:03.240 --> 00:01:04.640]  進了聖殿
[00:01:04.640 --> 00:01:07.240]  看了周圍的一切
[00:01:07.240 --> 00:01:08.920]  天色已晚
[00:01:08.920 --> 00:01:12.040]  他和十二使徒出城
[00:01:12.040 --> 00:01:14.960]  往伯達尼去
[00:01:14.960 --> 00:01:17.560]  第一天只做了一件事
[00:01:17.560 --> 00:01:19.000]  去哪裏
[00:01:19.000 --> 00:01:20.400]  去聖殿
[00:01:20.400 --> 00:01:23.200]  兜了一圈
[00:01:23.200 --> 00:01:26.520]  接着從第十二節開始
[00:01:26.520 --> 00:01:29.800]  整個的第十一章
[00:01:29.800 --> 00:01:32.280]  到整個的第十二章
[00:01:32.280 --> 00:01:34.560]  到整個的第十三章
[00:01:34.560 --> 00:01:38.880]  都是第二天發生的事情
[00:01:38.880 --> 00:01:40.280]  所以可以說
[00:01:40.280 --> 00:01:43.960]  第十一章到第十三章是講主耶穌
[00:01:43.960 --> 00:01:46.080]  第一天和第二天所發生的事
[00:01:46.080 --> 00:01:48.600]  重點放在第二天
[00:01:48.600 --> 00:01:51.000]  看看第二天發生什麼事
[00:01:51.000 --> 00:01:53.480]  第十一章的第十二節
[00:01:53.480 --> 00:01:55.040]  到第十四節
[00:01:55.040 --> 00:01:57.320]  大家莫名其妙的一段經文
[00:01:57.320 --> 00:01:59.560]  是什麼呢
[00:01:59.560 --> 00:02:01.360]  耶穌去到無花果樹下
[00:02:01.360 --> 00:02:02.760]  想找東西喫
[00:02:02.760 --> 00:02:04.680]  找不到
[00:02:04.680 --> 00:02:07.280]  就在那棵無花果樹
[00:02:07.280 --> 00:02:10.880]  其實那棵無花果樹也挺冤枉的
[00:02:10.880 --> 00:02:12.360]  因爲聖經說明
[00:02:12.360 --> 00:02:14.680]  還沒到結果的時候
[00:02:14.680 --> 00:02:17.840]  沒到結果的時候當然沒有東西喫
[00:02:17.840 --> 00:02:21.040]  沒有東西喫就無端端被耶穌就在
[00:02:21.040 --> 00:02:23.120]  這個無妄之災
[00:02:23.120 --> 00:02:25.600]  被屈 簡單點
[00:02:25.600 --> 00:02:29.200]  但是爲什麼會記住一段這樣的經文呢
[00:02:29.200 --> 00:02:31.080]  有點奇怪吧
[00:02:31.080 --> 00:02:33.000]  大家記住一句話
[00:02:33.000 --> 00:02:34.840]  這段經文只講一樣東西
[00:02:34.840 --> 00:02:38.560]  耶穌去到那棵無花果樹下
[00:02:38.560 --> 00:02:40.960]  想找耶穌想找的東西
[00:02:40.960 --> 00:02:44.120]  不過找不到
[00:02:44.120 --> 00:02:46.080]  捉不捉得這句話
[00:02:46.080 --> 00:02:48.440]  耶穌去到無花果樹下
[00:02:48.440 --> 00:02:50.640]  去找祂想找的東西
[00:02:50.640 --> 00:02:52.040]  祂找不到
[00:02:52.040 --> 00:02:56.200]  但是祂是無花果樹的創造主
[00:02:56.200 --> 00:02:59.880]  祂是這棵無花果樹的主人
[00:02:59.880 --> 00:03:03.400]  接着 接着那段講什麼
[00:03:03.400 --> 00:03:07.680]  第十五節開始
[00:03:07.680 --> 00:03:09.480]  去到第十九節
[00:03:09.480 --> 00:03:12.720]  耶穌結證聖殿
[00:03:12.720 --> 00:03:14.120]  耶穌去到聖殿
[00:03:14.120 --> 00:03:15.920]  經過無花果樹那一刻
[00:03:15.920 --> 00:03:20.280]  這件事件之後 耶穌去到聖殿
[00:03:20.280 --> 00:03:24.880]  耶穌做什麼 很生氣 很憤怒
[00:03:24.880 --> 00:03:27.840]  接着罵那些人
[00:03:27.840 --> 00:03:30.840]  就說這個殿應該稱爲萬國土地的殿
[00:03:30.840 --> 00:03:33.960]  說那些人要將它成爲插窩
[00:03:33.960 --> 00:03:35.960]  插窩是什麼
[00:03:35.960 --> 00:03:37.280]  插窩
[00:03:37.280 --> 00:03:41.400]  就是說有人偷了聖殿裏面的東西
[00:03:41.400 --> 00:03:43.040]  就是說耶穌在聖殿裏面
[00:03:43.040 --> 00:03:45.600]  其實在找一些東西
[00:03:45.600 --> 00:03:50.720]  他好像在無花果樹下一樣 他找不到
[00:03:50.720 --> 00:03:53.120]  主耶穌發怒
[00:03:53.120 --> 00:03:55.760]  應該在聖殿裏面發生的事情
[00:03:55.760 --> 00:03:59.240]  或者耶穌找到的東西應該在聖殿裏面
[00:03:59.240 --> 00:04:01.880]  但是沒有
[00:04:01.880 --> 00:04:06.160]  所以 耶穌結證聖殿
[00:04:06.160 --> 00:04:11.760]  接着又回到那棵無花果樹
[00:04:11.760 --> 00:04:15.320]  接着那棵無花果樹發生了什麼事情
[00:04:15.320 --> 00:04:19.320]  富幹
[00:04:19.320 --> 00:04:21.080]  就是說
[00:04:21.080 --> 00:04:22.840]  他滿足不了
[00:04:22.840 --> 00:04:28.440]  他不能夠成就創造他主想要的東西
[00:04:28.440 --> 00:04:30.560]  富幹
[00:04:30.560 --> 00:04:32.080]  接着說到信心
[00:04:32.080 --> 00:04:35.040]  撇開一點 因爲主耶穌有時候就是這樣
[00:04:35.040 --> 00:04:36.520]  有些借題發揮
[00:04:36.520 --> 00:04:38.960]  這裏很明顯借題發揮說信心
[00:04:38.960 --> 00:04:42.120]  不過這裏去到第十三章是有點用的
[00:04:42.120 --> 00:04:44.040]  OK
[00:04:44.040 --> 00:04:48.360]  接着回到第二十七節
[00:04:48.360 --> 00:04:50.920]  其實也是回到聖殿
[00:04:50.920 --> 00:04:54.880]  主耶穌結證完聖殿
[00:04:54.880 --> 00:04:57.320]  耶穌在聖殿裏行走的時候
[00:04:57.320 --> 00:05:00.040]  接着祭司長和民事就問耶穌
[00:05:00.040 --> 00:05:05.200]  你憑什麼事去結證聖殿 你有什麼權
[00:05:05.200 --> 00:05:06.600]  很簡單
