
[00:00:00.000 --> 00:00:02.560]  不知道大家如何理解信復呢?
[00:00:02.560 --> 00:00:05.560]  今天的題目是《瑪麗亞的信復》
[00:00:05.560 --> 00:00:07.160]  我相信大家都同意
[00:00:07.160 --> 00:00:12.080]  通常我們如何理解一個事物呢?
[00:00:12.080 --> 00:00:13.920]  那個事物呢
[00:00:13.920 --> 00:00:15.960]  我們如何看法
[00:00:15.960 --> 00:00:19.960]  就會決定我們究竟會不會接受或者拒絕那個事物
[00:00:19.960 --> 00:00:23.120]  或者我們會喜歡或者不喜歡那個東西
[00:00:23.120 --> 00:00:24.600]  今天我們都同意了
[00:00:24.600 --> 00:00:25.440]  我們都明白
[00:00:25.440 --> 00:00:28.320]  特別在我們今天所處的世界
[00:00:28.320 --> 00:00:29.560]  我們都講求什麼呢?
[00:00:29.560 --> 00:00:30.800]  我們講求獨立
[00:00:30.800 --> 00:00:31.680]  自主
[00:00:31.680 --> 00:00:33.000]  我們講求自強
[00:00:33.000 --> 00:00:34.800]  千萬不要被其他人看低
[00:00:34.800 --> 00:00:35.640]  是不是?
[00:00:35.640 --> 00:00:40.120]  所以很多時候這個社會給我們的觀感就是
[00:00:40.120 --> 00:00:40.880]  信復
[00:00:40.880 --> 00:00:46.280]  我們講信復很多時候帶著負面的質素
[00:00:46.280 --> 00:00:51.720]  我們很多時候都被視為一種弱者的一個象徵
[00:00:51.720 --> 00:00:53.720]  特別今天我們的世界是講什麼呢?
[00:00:53.720 --> 00:00:54.480]  講人權
[00:00:54.480 --> 00:00:55.320]  講平等
[00:00:55.320 --> 00:00:57.960]  你們跟我說信復的時候是什麼呢?
[00:00:58.600 --> 00:01:00.680]  就是阻礙我自我
[00:01:00.680 --> 00:01:03.360]  阻礙我們都是自我實現
[00:01:03.360 --> 00:01:06.000]  我們這樣來看這個信復
[00:01:06.000 --> 00:01:08.600]  當《聖經》提到信復的時候
[00:01:08.600 --> 00:01:11.600]  可以說有四方面的信復
[00:01:11.600 --> 00:01:13.240]  我們說是信復神
[00:01:13.240 --> 00:01:15.120]  我們婚姻裡面要信復
[00:01:15.120 --> 00:01:17.120]  我們弟兄姊妹彼此信復
[00:01:17.120 --> 00:01:20.200]  我們也要信復我們的掌權者
[00:01:20.200 --> 00:01:23.280]  如果我們看《聖經》的時候
[00:01:23.280 --> 00:01:28.680]  特別講到我們信復神是其他三種信復的基礎
