
[00:00:00.000 --> 00:00:04.200]  頂子妹,我們首先做一個禱告
[00:00:04.200 --> 00:00:06.500]  天父啊,求祢幫助我們
[00:00:06.500 --> 00:00:09.300]  主,幫助我們有聆聽的耳朵
[00:00:09.300 --> 00:00:13.400]  幫助我們有預備好接受祢話語的心靈
[00:00:13.400 --> 00:00:14.800]  主,願祢的說話
[00:00:14.800 --> 00:00:18.900]  今天再一次來跟我們講祢的心意
[00:00:18.900 --> 00:00:21.500]  也讓我們明白的時候
[00:00:21.500 --> 00:00:25.100]  我們的心越誠服的願意去跟從
[00:00:25.100 --> 00:00:26.400]  願意去實踐
[00:00:26.400 --> 00:00:27.700]  願祢帶領我們
[00:00:27.700 --> 00:00:29.900]  我們這樣禱告奉耶穌基督的名祈求
[00:00:29.900 --> 00:00:30.800]  阿門
[00:00:30.800 --> 00:00:33.100]  好,頂子妹
[00:00:33.100 --> 00:00:36.200]  今天就跟大家開始一個新的系列
[00:00:36.200 --> 00:00:38.500]  來講解聖經的時候
[00:00:38.500 --> 00:00:42.400]  這次就想跟大家一起來思想羅馬書
[00:00:42.400 --> 00:00:45.200]  今天是講羅馬書的第一講
[00:00:45.200 --> 00:00:47.900]  當我去預備,當我去想的時候
[00:00:47.900 --> 00:00:50.900]  為什麼會想起要講羅馬書呢
[00:00:50.900 --> 00:00:52.100]  雖然之前已經
[00:00:52.100 --> 00:00:55.400]  我想都差不多十年前都講過
[00:00:55.400 --> 00:00:56.900]  但是我發覺
[00:00:56.900 --> 00:01:00.500]  今天這個社會非常之混亂
[00:01:00.500 --> 00:01:05.000]  而我們在一個混亂動盪的社會當中
[00:01:05.000 --> 00:01:07.300]  我們更加需要明白
[00:01:07.300 --> 00:01:09.400]  去聽福音
[00:01:09.400 --> 00:01:11.300]  而福音的內容是什麼呢
[00:01:11.300 --> 00:01:14.500]  需要更加去反思
[00:01:14.500 --> 00:01:18.100]  我記得在很多年前
[00:01:18.100 --> 00:01:22.300]  有一次經過一個高速公路
[00:01:22.300 --> 00:01:26.500]  高速公路其實周圍附近都沒有什麼建築物
[00:01:26.500 --> 00:01:32.300]  只是有時零零碎碎有一些貨倉
[00:01:32.300 --> 00:01:35.300]  其中經過高速公路的時候
[00:01:35.300 --> 00:01:41.300]  有一個貨倉前面有一個很大的廣告牌
[00:01:41.300 --> 00:01:43.100]  在牆上遊了
[00:01:43.100 --> 00:01:45.700]  那個廣告牌寫了一句話
[00:01:45.700 --> 00:01:46.900]  它就說
[00:01:46.900 --> 00:01:50.900]  Jesus is the answer
[00:01:50.900 --> 00:01:53.700]  耶穌基督就是答案
[00:01:53.700 --> 00:01:54.700]  當我看到的時候
[00:01:54.700 --> 00:01:55.900]  我當然就明白了
[00:01:55.900 --> 00:01:57.500]  因為這是一個基督徒的
[00:01:57.500 --> 00:01:59.100]  可能是基督徒的老闆
[00:01:59.100 --> 00:02:05.300]  他就弄了一個去傳揚福音的廣告牌給人
[00:02:05.300 --> 00:02:06.900]  Jesus is the answer
[00:02:06.900 --> 00:02:11.700]  可能你都見過有類似的T恤
[00:02:11.700 --> 00:02:15.300]  或者其他的廣告
[00:02:15.300 --> 00:02:17.700]  但當我看到這個廣告牌的時候
[00:02:17.700 --> 00:02:21.500]  我心裡面就有另一個問題
[00:02:21.500 --> 00:02:22.900]  我就在想
[00:02:22.900 --> 00:02:25.700]  既然Jesus is the answer
[00:02:25.700 --> 00:02:28.300]  耶穌基督就是答案的時候
[00:02:28.300 --> 00:02:31.300]  究竟那條問題是什麼呢?
[00:02:31.300 --> 00:02:33.100]  What is the question?
[00:02:33.100 --> 00:02:35.300]  究竟那條問題是什麼?
[00:02:35.300 --> 00:02:36.500]  因為你有答案的時候
[00:02:36.500 --> 00:02:38.900]  你當然有條問題才有答案的
[00:02:38.900 --> 00:02:41.900]  而這個都讓我自己去反省
[00:02:41.900 --> 00:02:47.300]  其實現在很多人對於福音
[00:02:47.300 --> 00:02:49.500]  都覺得我已經明白了
[00:02:49.500 --> 00:02:50.700]  我已經知道了
[00:02:50.700 --> 00:02:53.500]  甚至乎不信耶穌的人
[00:02:53.500 --> 00:02:54.900]  也不太關懷福音
[00:02:54.900 --> 00:02:56.900]  因為覺得福音的答案
[00:02:56.900 --> 00:02:59.100]  其實似乎對他們來說
[00:02:59.100 --> 00:03:01.500]  不是這麼多東西
[00:03:01.500 --> 00:03:04.900]  他們真的覺得重要
[00:03:04.900 --> 00:03:07.900]  我所關注的問題
[00:03:07.900 --> 00:03:10.100]  福音沒有答案
[00:03:10.100 --> 00:03:11.500]  而福音的答案
[00:03:11.500 --> 00:03:15.300]  根本就不是我所關注的問題
[00:03:15.300 --> 00:03:17.500]  當我這樣想的時候
[00:03:17.500 --> 00:03:18.900]  我就去思想
[00:03:18.900 --> 00:03:23.700]  究竟福音究竟是什麼意思呢?
[00:03:23.700 --> 00:03:27.900]  究竟為什麼需要福音呢?
[00:03:27.900 --> 00:03:32.300]  究竟得著了福音之後又如何呢?
[00:03:32.300 --> 00:03:33.900]  我相信這個都是很值得
[00:03:33.900 --> 00:03:35.900]  我們去思想的問題
[00:03:35.900 --> 00:03:39.100]  究竟福音是什麼意思
[00:03:39.100 --> 00:03:43.300]  而福音得著又如何呢?
[00:03:43.300 --> 00:03:44.300]  對於基督徒來說
[00:03:44.300 --> 00:03:45.700]  可能很多人都已經覺得
[00:03:45.700 --> 00:03:47.500]  福音我一定知道是什麼意思
[00:03:47.500 --> 00:03:48.700]  我也都得著了福音
[00:03:48.700 --> 00:03:50.100]  但是
[00:03:50.100 --> 00:03:52.300]  是不是真的這樣呢?
[00:03:52.300 --> 00:03:54.300]  坦白講對於現在每天的新聞
[00:03:54.300 --> 00:03:57.300]  你看到這個世界好像急劇的轉變
[00:03:57.300 --> 00:03:59.100]  是與非、黑與白
[00:03:59.100 --> 00:04:02.500]  人的行事為人的準則
[00:04:02.500 --> 00:04:05.100]  判斷的標準
[00:04:05.100 --> 00:04:06.300]  這一切
[00:04:06.300 --> 00:04:09.700]  福音能否給我們啟示
[00:04:09.700 --> 00:04:13.500]  如何去面對呢?
[00:04:13.500 --> 00:04:16.900]  如果在一個這麼動盪的社會
[00:04:16.900 --> 00:04:18.900]  一個動盪的環境
[00:04:18.900 --> 00:04:24.500]  人不是在福音那裡得到他的力量
[00:04:24.500 --> 00:04:27.500]  得到他在福音給他們的指引
