
[00:00:00.000 --> 00:00:04.420]  感謝神 在這個疫情裏面
[00:00:04.420 --> 00:00:10.340]  我們仍然可以安定的在上帝的面前去敬拜祂
[00:00:10.340 --> 00:00:15.200]  首先周生帶我們唱那首平安的詩歌
[00:00:15.200 --> 00:00:20.080]  我相信弟兄姊妹都很有同感
[00:00:20.080 --> 00:00:25.900]  就算這個世界有這個風暴
[00:00:25.900 --> 00:00:31.500]  我們的心仍然穩妥安舒
[00:00:31.500 --> 00:00:37.040]  我們的心仍然在上帝的面前可以有平安
[00:00:37.040 --> 00:00:42.320]  很盼望雖然疫情很嚴峻
[00:00:42.320 --> 00:00:50.320]  我自己所住的座數都有人確診
[00:00:50.320 --> 00:00:58.700]  有弟兄姊妹所住的地方要強檢、要圍封
[00:00:58.700 --> 00:01:00.820]  甚至有確診
[00:01:00.820 --> 00:01:07.860]  但讓我們的心仍然在上帝的面前有這個平安
[00:01:07.860 --> 00:01:12.380]  今天想跟大家一齊思想彼得前書
[00:01:12.380 --> 00:01:17.380]  第一章二十三節到第二章三節
[00:01:17.380 --> 00:01:24.240]  我們一起打開聖經或者我們看螢幕
[00:01:24.240 --> 00:01:28.200]  我們一起讀出這幾節的聖經
[00:01:28.200 --> 00:01:34.280]  你們夢了重生,不是由於能壞的種子
[00:01:34.280 --> 00:01:40.940]  乃是由於不能壞的種子,是藉著神活潑上傳的道
[00:01:40.940 --> 00:01:45.220]  因為凡有血氣的,盡道如草
[00:01:45.220 --> 00:01:48.740]  它的榮美都像草上的花
[00:01:48.740 --> 00:01:52.260]  草別枯乾,花別凋謝
[00:01:52.260 --> 00:01:55.120]  唯有主的道是永存的
[00:01:55.120 --> 00:02:00.160]  所傳給你們的福音就是這道
[00:02:00.160 --> 00:02:07.160]  所以你們既除去一切的惡毒、詭詐並假善、
[00:02:07.160 --> 00:02:10.640]  嫉妒和一切毀謗的話
[00:02:10.640 --> 00:02:17.620]  就要愛慕那純正的靈奶,像財生的鷹鞋愛慕奶一樣
[00:02:17.620 --> 00:02:22.620]  叫你們因此漸長,以致得救
[00:02:22.620 --> 00:02:28.620]  你們若上過主恩的滋味,就別如此
[00:02:28.620 --> 00:02:33.620]  我們一起低頭,我們來到同心的祈禱
[00:02:33.620 --> 00:02:41.420]  親愛的天父,多謝祢,多謝祢讓我們一起同心的仰望祢
[00:02:41.420 --> 00:02:48.420]  雖然在疫情嚴峻之中,求祢讓我們心中有平安
[00:02:48.420 --> 00:02:53.220]  讓我們因著已靠神,我們在耶穌基督之中
[00:02:53.220 --> 00:02:57.220]  有從上而來的平安
[00:02:57.220 --> 00:03:07.220]  求祢用祢的話光照我們,也光照要為祢的命出口的
[00:03:07.220 --> 00:03:12.220]  祢自己的僕人,幫助我們一起去敬拜祢
[00:03:12.220 --> 00:03:14.220]  幫助我們一起去仰望祢
[00:03:14.220 --> 00:03:19.220]  我們這樣禱告,奉耶穌的聖名祈禱,阿們
[00:03:19.220 --> 00:03:23.220]  有一間美國的教會
[00:03:23.220 --> 00:03:27.220]  他們在教會裏面做了一個這樣的調查
[00:03:27.220 --> 00:03:34.220]  發現大部分的會友,他們差不多有一半以上
[00:03:34.220 --> 00:03:38.220]  他們都沒有看聖經
[00:03:38.220 --> 00:03:49.220]  他們其實這個會眾,看聖經的次數很少
[00:03:49.220 --> 00:03:55.220]  每一天能夠有人看聖經只有13%
[00:03:55.220 --> 00:04:00.220]  每星期有22%
[00:04:00.220 --> 00:04:05.220]  每月看一次聖經有7%
[00:04:05.220 --> 00:04:11.220]  大部分的弟兄姊妹都很少拿起聖經來看
[00:04:11.220 --> 00:04:14.220]  為什麼我們要看聖經呢?
[00:04:14.220 --> 00:04:21.220]  究竟讀聖經和沒有讀聖經的弟兄姊妹有沒有分別呢?
[00:04:21.220 --> 00:04:24.220]  我不知道你們有沒有這樣想
[00:04:24.220 --> 00:04:26.220]  讀聖經的弟兄姊妹
[00:04:26.220 --> 00:04:33.220]  讀聖經的基督徒和沒有讀聖經的基督徒究竟有沒有分別呢?
[00:04:33.220 --> 00:04:41.220]  在十多年前,美國曾經做了一個比較大型的調查
[00:04:41.220 --> 00:04:52.220]  調查讀聖經和我們屬靈生命的成長有什麼關係呢?
[00:04:52.220 --> 00:05:00.220]  他們調查了四萬個教會的弟兄姊妹
