
[00:00:00.000 --> 00:00:04.000]  呢段天文呢,仲有一個同佢對照嘅天文,
[00:00:04.000 --> 00:00:08.500]  係喺《徒勞福音》,係一條對《官福音》嘅《勞家福音》,
[00:00:08.500 --> 00:00:10.000]  佢有唔同嘅講法嘅,
[00:00:10.000 --> 00:00:12.000]  不過讀埋呢段天文好冇呀?
[00:00:12.000 --> 00:00:16.000]  「沒有人儉不用氣面蓋上,
[00:00:16.000 --> 00:00:18.000]  或放在斗底下,
[00:00:18.000 --> 00:00:20.000]  而是放在金台上,
[00:00:20.000 --> 00:00:23.500]  讓眾內的人看見陽光,
[00:00:23.500 --> 00:00:25.500]  因為掩藏的事,
[00:00:25.500 --> 00:00:27.500]  沒有不顯出來的,
[00:00:27.500 --> 00:00:30.500]  隱緣的事,也沒有不露出來,
[00:00:30.500 --> 00:00:33.000]  被人知道的。
[00:00:33.000 --> 00:00:36.500]  你們是地上的臉,
[00:00:36.500 --> 00:00:39.000]  世上的光。」
[00:00:39.000 --> 00:00:50.500]  有一本書係一個日本人寫嘅,
[00:00:50.500 --> 00:00:54.000]  佢叫做《世界曾經是樂園》,
[00:00:54.000 --> 00:00:56.500]  咁即係而家唔係啦,
[00:00:57.500 --> 00:01:00.000]  世界曾經是樂園,即係而家唔係,
[00:01:00.000 --> 00:01:03.000]  咁佢話如果世界有條村嘅話,
[00:01:03.000 --> 00:01:06.000]  嗰條村有一百個居民嘅話呢,
[00:01:06.000 --> 00:01:08.000]  佢話有六十個人呀,
[00:01:08.000 --> 00:01:11.500]  係飢餓嘅,冇屋住嘅,
[00:01:11.500 --> 00:01:14.500]  貧窮嘅,落後嘅,
[00:01:14.500 --> 00:01:19.000]  佢話,呢個世界如果係咁嘅話,
[00:01:19.000 --> 00:01:22.000]  如果條村係咁嘅話,係咪樂園呢?
[00:01:22.000 --> 00:01:24.500]  當然唔係啦!
[00:01:27.500 --> 00:01:29.000]  啲日本人咁講嘅,
[00:01:29.000 --> 00:01:30.500]  古村先成嘅話,
[00:01:30.500 --> 00:01:32.500]  而家大家開始察覺到啦,
[00:01:32.500 --> 00:01:36.500]  世界呢,係唔應該咁樣繼續落去嘅。
[00:01:36.500 --> 00:01:41.000]  如果你覺得呢個世界,
[00:01:41.000 --> 00:01:43.500]  唔應該咁繼續落去嘅話呢,
[00:01:43.500 --> 00:01:45.500]  代表呢種嘅心,
[00:01:45.500 --> 00:01:49.500]  正在開始改變緊世界。
[00:01:49.500 --> 00:01:52.000]  我知大家,你嘅心,
[00:01:52.000 --> 00:01:54.000]  有冇呢個嘅心,
[00:01:54.000 --> 00:02:00.500]  而你嘅心係知道,係正在開始改變呢個世界呢?
[00:02:00.500 --> 00:02:04.500]  我哋喺一個明光照耀呢個暗示上面,
[00:02:04.500 --> 00:02:08.500]  大家知唔知我哋係藉住呢個明光照耀,
[00:02:08.500 --> 00:02:13.500]  係開始去改變呢個嘅世界呢?
[00:02:13.500 --> 00:02:16.500]  如果我哋嘅心改變,
[00:02:16.500 --> 00:02:19.500]  佢話,世界都會改變。
[00:02:19.500 --> 00:02:22.500]  我哋嘅心改變,世界都會改變。
