
[00:00:00.000 --> 00:00:03.340]  今晚和大家看《事實記》第十講
[00:00:03.340 --> 00:00:06.260]  就是失敗之父
[00:00:06.260 --> 00:00:08.260]  是講參宣的
[00:00:08.260 --> 00:00:11.580]  不知道大家有沒有看《事實記》第八章
[00:00:11.580 --> 00:00:13.180]  我們很熟悉的一句話是
[00:00:13.180 --> 00:00:14.780]  「失敗乃成功之母」
[00:00:14.780 --> 00:00:16.460]  經過很多次失敗
[00:00:16.460 --> 00:00:18.460]  你吸收到經驗之後
[00:00:18.460 --> 00:00:21.000]  然後你自己有改變
[00:00:21.000 --> 00:00:23.380]  這時候可能你就會成功了
[00:00:23.380 --> 00:00:24.960]  但是有另外一句說話
[00:00:24.960 --> 00:00:25.680]  我直接說就是
[00:00:25.680 --> 00:00:27.380]  「成功是失敗之父」
[00:00:27.380 --> 00:00:28.220]  為什麼呢?
[00:00:28.220 --> 00:00:30.040]  因為很多時候我們的失敗
[00:00:30.040 --> 00:00:31.800]  是因為我們的成功
[00:00:31.800 --> 00:00:33.200]  當我們成功的時候
[00:00:33.200 --> 00:00:34.680]  我們就會沾沾自喜
[00:00:34.680 --> 00:00:35.960]  我們放鬆自己
[00:00:35.960 --> 00:00:38.520]  於是我們就慢慢墮落了
[00:00:38.520 --> 00:00:41.720]  正如有錢的人就會飽斷私淫慾
[00:00:41.720 --> 00:00:44.360]  蘇羅是被神揀選第一個的王
[00:00:44.360 --> 00:00:46.840]  但是後來當他有權有勢的時候
[00:00:46.840 --> 00:00:48.120]  他著重物質
[00:00:48.120 --> 00:00:50.920]  結果就被神帶入去放棄
[00:00:50.920 --> 00:00:53.760]  大衛作王的時候他不需要逃亡
[00:00:53.760 --> 00:00:55.560]  結果他的生活糜爛
[00:00:55.560 --> 00:00:58.520]  他睡到日上三竿
[00:00:58.520 --> 00:01:00.360]  日頭平西斜起身
[00:01:00.360 --> 00:01:04.200]  他在皇宮的平台悠悠閒來閒去
[00:01:04.200 --> 00:01:06.140]  但是其實那時候要打仗
[00:01:06.140 --> 00:01:08.140]  他看到人其實是很遠的
[00:01:08.140 --> 00:01:10.540]  他出獄於是動了人臉
[00:01:10.540 --> 00:01:13.040]  結果就陷自己在這個沉獄當中
[00:01:13.040 --> 00:01:17.360]  所以原來成功往往就是帶來失敗
[00:01:17.360 --> 00:01:19.480]  問題就是我們有沒有警醒
[00:01:19.480 --> 00:01:21.720]  這封聖經就讓我們看到
[00:01:21.720 --> 00:01:26.120]  機電如何逐步逐步地走下坡
[00:01:26.120 --> 00:01:30.760]  而且他的人生的失敗不僅影響他
[00:01:30.760 --> 00:01:32.760]  是影響到他的家族
[00:01:32.760 --> 00:01:34.200]  還有一件事是什麼呢?
[00:01:34.200 --> 00:01:38.320]  就是機電是所有的事司裡面
[00:01:38.320 --> 00:01:42.760]  帶來危害性最大的一個事司
[00:01:42.760 --> 00:01:45.000]  因為很多時候我們只是集中在機電
[00:01:45.000 --> 00:01:46.840]  只是以小贏大
[00:01:46.840 --> 00:01:48.840]  就是這個事蹟
[00:01:48.840 --> 00:01:50.840]  但是我們沒有跟進下去
[00:01:50.840 --> 00:01:54.920]  就算我們很熟悉的參孫去放縱
[00:01:54.920 --> 00:01:56.600]  但是他的影響
[00:01:56.600 --> 00:02:00.020]  壞的影響都不及機電那麼厲害
[00:02:00.020 --> 00:02:01.620]  今天我們會看下去
[00:02:01.620 --> 00:02:05.040]  在這裡我們看到機電打贏仗之後
[00:02:05.040 --> 00:02:09.720]  有三類的人是對機電不滿意的
[00:02:09.720 --> 00:02:14.160]  而我們看到機電對這三種人
[00:02:14.160 --> 00:02:18.240]  至少有兩種是不同的對待
[00:02:18.240 --> 00:02:24.020]  其實就看到機電的政治手腕和他的皮性
[00:02:24.020 --> 00:02:26.020]  這三類人就是以法戀人
[00:02:26.020 --> 00:02:28.440]  梳割人和比奴以納人
[00:02:28.440 --> 00:02:30.440]  我們先來看看
[00:02:30.440 --> 00:02:33.020]  機電是游釋紛爭
[00:02:33.020 --> 00:02:38.440]  我記得在海報裡面講了這個題目
[00:02:38.440 --> 00:02:40.440]  但當我繼續研究下去的時候
[00:02:40.440 --> 00:02:42.200]  就不會用這個題目了
[00:02:42.200 --> 00:02:43.760]  這個只是一個分題
[00:02:43.760 --> 00:02:46.820]  以往都問我今晚的題目是什麼
[00:02:46.820 --> 00:02:49.760]  機電要追殺米電人的時候
[00:02:49.760 --> 00:02:53.900]  於是他就呼喚一些支派來幫助他
