
[00:00:00.000 --> 00:00:02.880]  好 再一次 頂止滿萬安
[00:00:02.880 --> 00:00:05.060]  好 歡迎大家回來
[00:00:05.060 --> 00:00:07.040]  今天進入到十月了
[00:00:07.040 --> 00:00:10.960]  已經不知不覺來到今年的最後一季
[00:00:10.960 --> 00:00:13.680]  也就是代表著我們今年
[00:00:13.680 --> 00:00:16.600]  其實是說我們分別要認識神的屬性
[00:00:16.600 --> 00:00:19.160]  和認識自己的兩部分
[00:00:19.160 --> 00:00:21.720]  都已經進入到尾聲了
[00:00:21.720 --> 00:00:24.480]  今晚我們又開始一個新的系列
[00:00:24.480 --> 00:00:28.640]  它的名字叫做「行動力滿滿的主」
[00:00:28.640 --> 00:00:31.480]  是屬於神屬性的那部分
[00:00:31.480 --> 00:00:36.040]  這個系列我們說的是神的行動
[00:00:36.040 --> 00:00:40.040]  可能你會想 神的行動是一個屬性嗎?
[00:00:40.040 --> 00:00:45.400]  不是內在的特質才叫做屬性嗎?
[00:00:45.400 --> 00:00:49.040]  神的行動好像是一些外顯的行為
[00:00:49.040 --> 00:00:51.640]  那為什麼會將它成為屬性呢?
[00:00:51.640 --> 00:00:54.880]  我不知道大家有沒有這樣的問號
[00:00:54.880 --> 00:00:58.120]  也給我一點時間去解釋一下
[00:00:58.120 --> 00:01:00.720]  這兩者的關係是什麼
[00:01:00.720 --> 00:01:04.440]  的確 屬性和行動
[00:01:04.440 --> 00:01:08.520]  兩者之間其實是多多少少有些區別的
[00:01:08.520 --> 00:01:12.120]  屬性其實是指神本身的內在
[00:01:12.120 --> 00:01:14.520]  一些很不變的特質
[00:01:14.520 --> 00:01:16.080]  例如是指什麼呢?
[00:01:16.080 --> 00:01:19.080]  例如神是永恆的 是全知的
[00:01:19.080 --> 00:01:21.120]  是慈愛的 是公義的
[00:01:21.120 --> 00:01:23.520]  這些是叫做神的屬性
[00:01:23.520 --> 00:01:29.840]  行動是指神因為他本身有的屬性
[00:01:29.840 --> 00:01:31.960]  而採取的一些行為
[00:01:31.960 --> 00:01:34.640]  或者一些行動 或者一些作為
[00:01:34.640 --> 00:01:36.840]  這就叫做神的行動
[00:01:36.840 --> 00:01:37.840]  例如是什麼呢?
[00:01:37.840 --> 00:01:40.440]  就是神對這個世界的創造
[00:01:40.440 --> 00:01:43.640]  去差遣耶穌基督來到這個世界上
[00:01:43.640 --> 00:01:47.640]  去回應信徒的祈禱等等
[00:01:47.640 --> 00:01:51.160]  這一切都是上帝的一些行動
[00:01:51.160 --> 00:01:53.840]  兩者之間的關係是什麼呢?
[00:01:53.840 --> 00:01:56.760]  就是其實神的行動
[00:01:56.760 --> 00:02:00.760]  是祂的屬性的一個表現
[00:02:00.760 --> 00:02:07.480]  就是說 神的屬性會透過一些很實際的情況的顯現
[00:02:07.480 --> 00:02:10.080]  是會流露出來讓我們知道的
[00:02:10.080 --> 00:02:11.800]  例如是什麼呢?
[00:02:11.800 --> 00:02:14.360]  例如我們說神是慈愛的
[00:02:14.360 --> 00:02:17.000]  那麼神的慈愛的這個屬性
[00:02:17.000 --> 00:02:22.960]  就令到神會做的就是創造這個天地萬物
[00:02:22.960 --> 00:02:25.800]  賜福給這個世界的天地萬物
[00:02:25.800 --> 00:02:28.360]  那麼我們又會說 例如神的另一個屬性是說
[00:02:28.360 --> 00:02:30.000]  神是公義的
[00:02:30.000 --> 00:02:33.840]  那麼所以按照上帝的公義屬性的時候
[00:02:33.840 --> 00:02:35.880]  祂就會有審判
[00:02:35.880 --> 00:02:40.280]  祂也都會在末日裡面按著各人的所作所為
