
[00:00:00.000 --> 00:00:02.000]  今天想跟你們說什麼呢?
[00:00:02.000 --> 00:00:05.000]  你看到周刊寫著「年終崇拜」
[00:00:05.000 --> 00:00:06.000]  我要解釋一下
[00:00:06.000 --> 00:00:08.000]  其實每一次當我預備一篇講道
[00:00:08.000 --> 00:00:10.000]  或者在想要說什麼的時候
[00:00:10.000 --> 00:00:12.000]  其實我都會祈禱
[00:00:12.000 --> 00:00:15.000]  會問上帝到底在這個時間
[00:00:15.000 --> 00:00:18.000]  跟弟兄姊妹分享什麼比較合適呢
[00:00:18.000 --> 00:00:21.000]  不是整天馬上收到的
[00:00:21.000 --> 00:00:25.000]  有時候收不到就想一想有沒有詩歌適合
[00:00:25.000 --> 00:00:27.000]  很奇妙的是在我還沒想到
[00:00:27.000 --> 00:00:30.000]  原來可以出我的樣子了
[00:00:30.000 --> 00:00:33.000]  因為在預備的過程中
[00:00:33.000 --> 00:00:35.000]  其實我想不到要說什麼經文
[00:00:35.000 --> 00:00:37.000]  又想不到要說什麼題目
[00:00:37.000 --> 00:00:43.000]  因為聖誕節要我多做一個禮拜教功課
[00:00:43.000 --> 00:00:44.000]  我就想詩歌
[00:00:44.000 --> 00:00:48.000]  一邊聽詩歌就聽到一首我不認識的歌
[00:00:48.000 --> 00:00:51.000]  我說這首很有意思
[00:00:51.000 --> 00:00:52.000]  這首很厲害
[00:00:52.000 --> 00:00:55.000]  這首是在你手中
[00:00:55.000 --> 00:00:57.000]  我就選了這首詩歌
[00:00:57.000 --> 00:00:58.000]  發給敬拜隊
[00:00:58.000 --> 00:01:00.000]  問他們會不會唱這首歌
[00:01:00.000 --> 00:01:01.000]  他們說會
[00:01:01.000 --> 00:01:03.000]  你看不看到我們這星期唱什麼歌
[00:01:03.000 --> 00:01:06.000]  最後那首就是這首
[00:01:06.000 --> 00:01:09.000]  原來在兩個不同的時空
[00:01:09.000 --> 00:01:15.000]  上帝感動我和感動敬拜隊的是同一個靈獸
[00:01:15.000 --> 00:01:17.000]  很想透過今天的訊息
[00:01:17.000 --> 00:01:19.000]  無論讀多少經文
[00:01:19.000 --> 00:01:21.000]  說多少故事都好
[00:01:21.000 --> 00:01:23.000]  我們再一次學習
