
[00:00:00.000 --> 00:00:03.560]  好,各位親愛的兄弟姊妹,你們好,很開心又可以和大家一齊
[00:00:03.560 --> 00:00:05.560]  去研讀神的話語
[00:00:05.560 --> 00:00:08.360]  在敬拜的裏面,雖然我們不同地域
[00:00:08.360 --> 00:00:12.080]  但是我們可以一齊去敬拜,所以很感謝主
[00:00:12.080 --> 00:00:16.200]  好,我們首先來看看這次的題目
[00:00:16.200 --> 00:00:19.800]  就是「神的信實,言出必行」
[00:00:19.800 --> 00:00:24.640]  在上兩次和大家分享的時候,就講到神的慈愛
[00:00:24.640 --> 00:00:26.640]  這個是很重要的
[00:00:26.640 --> 00:00:29.320]  聖經裏面就提到神的信實
[00:00:29.320 --> 00:00:31.880]  超過了六十次以上
[00:00:31.880 --> 00:00:33.960]  所以我們知道
[00:00:33.960 --> 00:00:37.400]  原來神的信實是很重要
[00:00:37.400 --> 00:00:42.920]  但是其實這六十次都不足以公平反映這個課題
[00:00:42.920 --> 00:00:47.880]  因為如果我們看整個聖經裏面所記載的歷史和現在的歷史
[00:00:47.880 --> 00:00:51.920]  我們就知道神是一位言出必行的神
[00:00:51.920 --> 00:00:55.040]  如果神言而無信的話
[00:00:55.040 --> 00:00:58.800]  我們沒有這個把握,可以得救
[00:00:58.800 --> 00:01:02.640]  他答應我們的事情,可能會失落
[00:01:02.640 --> 00:01:06.320]  那我們怎樣面對我們的救恩
[00:01:06.320 --> 00:01:09.240]  怎樣面對我們的挑戰呢?
[00:01:09.240 --> 00:01:13.160]  那麼信實是代表什麼呢?
[00:01:13.160 --> 00:01:16.560]  代表了堅定、可靠
[00:01:16.560 --> 00:01:20.800]  那麼在字典裏面,如果你查「信實」的時候
[00:01:20.800 --> 00:01:25.400]  就是代表了那個人是堅守他的承諾
[00:01:25.400 --> 00:01:28.000]  他會盡忠職守
[00:01:28.000 --> 00:01:31.640]  同義詞就是可信賴、可靠
[00:01:31.640 --> 00:01:34.440]  值得信任和忠誠
[00:01:34.440 --> 00:01:40.080]  那麼這裏很清楚表示到神是絕對不會說謊的
[00:01:40.080 --> 00:01:44.080]  聖經裏面常常宣告神是一個信實的神
[00:01:44.080 --> 00:01:47.960]  我們看看文素記二十三章第十九節
[00:01:47.960 --> 00:01:50.160]  文素記二十三章第十九節
[00:01:50.160 --> 00:01:56.440]  「神非人必不至說謊,也非人子必不至後悔」
[00:01:56.440 --> 00:01:59.440]  「他説話豈不照著行呢?」
[00:01:59.440 --> 00:02:03.680]  「他發言豈不要成就呢?」
[00:02:03.680 --> 00:02:07.720]  這裏很清楚說神是絕對不會食言
[00:02:07.720 --> 00:02:12.040]  神是絕對不會像人那樣反覆無常的
[00:02:12.040 --> 00:02:16.040]  祂說了的事情就一定會執行的
[00:02:16.040 --> 00:02:18.000]  我經常都這樣說
[00:02:18.000 --> 00:02:20.800]  今天很多時候
[00:02:20.800 --> 00:02:26.040]  我們說神是無所不知、無所不在、無所不能
[00:02:26.040 --> 00:02:28.280]  神是無所不知
[00:02:28.280 --> 00:02:31.600]  我們無論如何都隱藏不了我們的東西
[00:02:31.600 --> 00:02:35.760]  很簡單,現在科學更加能夠引證這句話
[00:02:35.760 --> 00:02:38.080]  你想想在很遠的地方
[00:02:38.080 --> 00:02:41.040]  我們可能透過衛星電視
[00:02:41.040 --> 00:02:45.120]  就可以看到那個情況是怎樣的
[00:02:45.120 --> 00:02:49.000]  我昨天就在利物浦這個地方裏面
[00:02:49.000 --> 00:02:50.760]  講完道就出去走走
[00:02:50.760 --> 00:02:56.120]  在廣場有一個很大的螢光幕
[00:02:56.120 --> 00:02:59.080]  正在播映足球直播
[00:02:59.080 --> 00:03:01.760]  原來就是利物浦對阿仙奴
[00:03:01.760 --> 00:03:05.600]  我不是在球場,是在現場看到的
[00:03:05.600 --> 00:03:06.680]  所以你留意到
[00:03:06.680 --> 00:03:09.120]  原來今天我們都逃避不了神的監察
[00:03:09.120 --> 00:03:10.760]  神是無所不知
