
[00:00:00.000 --> 00:00:05.240]  今天我們的題目都回到我們的季題裏面
[00:00:05.240 --> 00:00:06.720]  就是作主零供
[00:00:06.720 --> 00:00:07.920]  稍後姊妹就會問
[00:00:07.920 --> 00:00:09.080]  一加一等於三
[00:00:09.080 --> 00:00:11.520]  姊妹你想說甚麼
[00:00:11.520 --> 00:00:12.520]  是的
[00:00:12.520 --> 00:00:14.320]  如果你問要計錯數
[00:00:14.320 --> 00:00:15.200]  小朋友都知道
[00:00:15.200 --> 00:00:16.320]  不對勁
[00:00:16.320 --> 00:00:17.680]  一加一等於甚麼
[00:00:17.680 --> 00:00:18.800]  等於二
[00:00:18.800 --> 00:00:21.560]  究竟我想說甚麼呢
[00:00:21.560 --> 00:00:24.280]  事實上我們在這段時間裏面
[00:00:24.280 --> 00:00:27.080]  很多小組的整頓
[00:00:27.080 --> 00:00:29.480]  大家心中都是有數的
[00:00:29.480 --> 00:00:31.960]  發現我們走了一段時間
[00:00:31.960 --> 00:00:34.360]  在網上很沉寂的
[00:00:34.360 --> 00:00:36.640]  叫做All Night小組之後
[00:00:36.640 --> 00:00:40.400]  突然間幸福小組就全部打回地上
[00:00:40.400 --> 00:00:41.720]  但又感恩
[00:00:41.720 --> 00:00:44.160]  我們看到有很多朋友信主
[00:00:44.160 --> 00:00:45.760]  我們很興奮很開心
[00:00:45.760 --> 00:00:48.200]  很多沒可能沒可能的時候
[00:00:48.200 --> 00:00:50.480]  做著做著又多開心
[00:00:50.480 --> 00:00:53.320]  但八個星期很快就過去了
[00:00:53.320 --> 00:00:56.480]  我們在十月份就開始了細胞小組
[00:00:56.480 --> 00:00:59.360]  當我們面對著在這個過程
[00:00:59.360 --> 00:01:00.440]  月的時間
[00:01:00.440 --> 00:01:03.120]  我們心中的團隊就有句
[00:01:03.120 --> 00:01:04.440]  說不出的說話
[00:01:04.440 --> 00:01:07.160]  好像真的計錯數
[00:01:07.160 --> 00:01:08.520]  甚麼叫計錯數呢
[00:01:08.520 --> 00:01:12.120]  可能當中有些剛回黎之脈的頂姊妹
[00:01:12.120 --> 00:01:13.280]  初信主
[00:01:13.280 --> 00:01:15.240]  或者很久沒回教會
[00:01:15.240 --> 00:01:17.360]  終於想找回家教會落地
[00:01:17.360 --> 00:01:21.520]  我們都會覺得在那個氛圍裏面
[00:01:21.520 --> 00:01:22.920]  好像很幸福
[00:01:22.920 --> 00:01:24.240]  一直都在說幸福
[00:01:24.240 --> 00:01:26.200]  參加你們那些幸福小組
[00:01:26.200 --> 00:01:27.920]  又真的挺開心的
[00:01:27.920 --> 00:01:29.520]  很簡單
[00:01:29.520 --> 00:01:31.280]  以為很悶又不悶
[00:01:31.280 --> 00:01:33.120]  聽聽你們的故事
[00:01:33.120 --> 00:01:34.160]  說說你們的見證
[00:01:34.160 --> 00:01:35.720]  很感動很powerful
[00:01:35.720 --> 00:01:37.360]  你們很有心機
[00:01:37.360 --> 00:01:38.680]  報紙很有心機
[00:01:38.680 --> 00:01:40.000]  煮東西吃很有心機
[00:01:40.000 --> 00:01:41.760]  每次都有禮物
[00:01:41.760 --> 00:01:43.520]  真的很開心
[00:01:43.520 --> 00:01:47.040]  但慢慢就覺得不太對勁
[00:01:47.040 --> 00:01:50.440]  因為叫我回崇拜
[00:01:50.440 --> 00:01:52.480]  回崇拜就坐在那裏
[00:01:52.480 --> 00:01:53.840]  都挺累的
[00:01:53.840 --> 00:01:55.400]  坐在那裏很不習慣
[00:01:55.400 --> 00:01:58.960]  接著就叫我回小組
[00:01:58.960 --> 00:02:00.880]  好像很恐怖
[00:02:00.880 --> 00:02:02.760]  又說小組優先
[00:02:02.760 --> 00:02:05.960]  每個星期都要回來
[00:02:05.960 --> 00:02:07.720]  幸福小組又不是這樣說
[00:02:07.720 --> 00:02:09.200]  你來就來
[00:02:09.200 --> 00:02:11.520]  不來也無所謂
[00:02:11.520 --> 00:02:13.400]  計算下來大家都很心足
[00:02:13.400 --> 00:02:17.160]  好像很忐忑
[00:02:17.160 --> 00:02:18.040]  我也想說
[00:02:18.040 --> 00:02:20.720]  可能我們當中大部份的組長和組員
[00:02:20.720 --> 00:02:22.480]  都同樣會這樣
[00:02:22.480 --> 00:02:25.720]  其實在Zoom要落地已經很艱難
[00:02:25.720 --> 00:02:28.360]  我們好像拿著弓箭射你們下來
[00:02:28.360 --> 00:02:29.360]  好了幸福小組
[00:02:29.360 --> 00:02:30.440]  我們說得像傳福音一樣
[00:02:30.440 --> 00:02:31.120]  都沒有辦法
[00:02:31.120 --> 00:02:34.520]  大家就下來試一下
[00:02:34.520 --> 00:02:36.360]  但試一下又興奮
[00:02:36.360 --> 00:02:38.720]  因為突然間很久沒有見到
[00:02:38.720 --> 00:02:42.120]  突然之間這麼同心去做一件事
[00:02:42.120 --> 00:02:43.880]  所以整個感覺
[00:02:43.880 --> 00:02:47.440]  連自己突然間都覺得很幸福
[00:02:47.440 --> 00:02:50.400]  但同樣心情一樣
