
[00:00:00.000 --> 00:00:04.040]  我稍後會讀一句電影的對白
[00:00:04.040 --> 00:00:05.840]  我不知道你們能否猜到
[00:00:05.840 --> 00:00:07.880]  或者是否記得這套電影
[00:00:07.880 --> 00:00:09.120]  很簡單的
[00:00:09.120 --> 00:00:12.120]  You Jump, I Jump
[00:00:12.120 --> 00:00:14.200]  知道是哪一套電影嗎?
[00:00:14.200 --> 00:00:16.240]  很多人都知道
[00:00:16.240 --> 00:00:18.560]  其實我沒有看過這套電影
[00:00:18.560 --> 00:00:19.760]  我告訴你一個秘密
[00:00:19.760 --> 00:00:23.560]  我從小到大都很害怕看愛情片
[00:00:23.560 --> 00:00:25.320]  特別是那些
[00:00:25.320 --> 00:00:28.480]  當戲回場的經典愛情片
[00:00:28.480 --> 00:00:30.120]  我一聽到就害怕
[00:00:30.120 --> 00:00:33.480]  所以我從來沒有看過這套電影
[00:00:33.480 --> 00:00:34.840]  但我知道這句對白
[00:00:34.840 --> 00:00:37.200]  因為這句對白我相信
[00:00:37.200 --> 00:00:41.280]  已經是在二十世紀的愛情電影中
[00:00:41.280 --> 00:00:44.240]  一句很經典的對白
[00:00:44.240 --> 00:00:46.080]  You Jump, I Jump
[00:00:46.080 --> 00:00:48.480]  大家知道它在說甚麼
[00:00:48.480 --> 00:00:51.920]  前陣子又有一套關於跳舞的電影
[00:00:51.920 --> 00:00:53.600]  我不知道你有沒有看
[00:00:53.600 --> 00:00:54.880]  我都沒有看
[00:00:54.880 --> 00:00:56.760]  但我知道那套電影又有一個對白
[00:00:56.760 --> 00:00:58.680]  又成為一個新的經典
[00:00:58.680 --> 00:01:00.680]  就是你可以為了跳舞
[00:01:00.680 --> 00:01:04.080]  去到多盡
[00:01:04.080 --> 00:01:05.400]  意思就是說
[00:01:05.400 --> 00:01:06.520]  為了要跳舞
[00:01:06.520 --> 00:01:09.120]  當然這是電影中的對白
[00:01:09.120 --> 00:01:12.080]  你會付上多大的代價
[00:01:12.080 --> 00:01:14.720]  各位這是一個很重要的挑戰
[00:01:14.720 --> 00:01:16.400]  因為今天這個世代裏
[00:01:16.400 --> 00:01:18.480]  有人問你為了一件事
[00:01:18.480 --> 00:01:22.520]  你會付多大的代價
[00:01:22.520 --> 00:01:26.040]  我今天很想將兩句經典的對白
[00:01:26.040 --> 00:01:27.880]  放在一起
[00:01:27.880 --> 00:01:30.720]  如果我們用You Jump, I Jump
[00:01:30.720 --> 00:01:34.160]  配合今天香港的處境
[00:01:34.160 --> 00:01:36.640]  我覺得可以這樣翻譯
[00:01:36.640 --> 00:01:39.160]  如果你去到多盡
[00:01:39.160 --> 00:01:43.400]  我就願意跟你去到多盡
