
[00:00:00.000 --> 00:00:05.440]  各位聽眾 今天是我們御苦期操練的第三個星期開始
[00:00:05.440 --> 00:00:07.920]  這個星期我們的主題是
[00:00:07.920 --> 00:00:09.560]  原諒
[00:00:09.560 --> 00:00:11.000]  是不是很熟悉
[00:00:11.000 --> 00:00:12.400]  原諒
[00:00:12.400 --> 00:00:15.480]  我記得我近一年都好像說了兩次
[00:00:15.480 --> 00:00:20.440]  但是原諒在我們基督教裏面也是一個很重要的題目
[00:00:20.440 --> 00:00:22.680]  原諒
[00:00:22.680 --> 00:00:24.760]  何止原諒這麼簡單
[00:00:24.760 --> 00:00:29.240]  就是我們今天的題目
[00:00:29.240 --> 00:00:31.960]  這個也是我上年問過的同一條問題
[00:00:31.960 --> 00:00:34.480]  不知道你們記不記得答案
[00:00:34.480 --> 00:00:38.320]  當你被同一個人一次又一次地傷害你
[00:00:38.320 --> 00:00:41.040]  得罪你
[00:00:41.040 --> 00:00:44.400]  你還可不可以原諒他
[00:00:44.400 --> 00:00:48.320]  舊的傷口還沒復原就來新的傷口
[00:00:48.320 --> 00:00:50.040]  你可不可以接納他
[00:00:50.040 --> 00:00:53.280]  恢復跟他原本的關係
[00:00:53.280 --> 00:01:00.200]  好像以前那樣如常地去相處
[00:01:00.200 --> 00:01:01.320]  想一想
[00:01:01.320 --> 00:01:05.560]  你可不可以呢
[00:01:05.560 --> 00:01:08.400]  上年我們就問多一條問題
[00:01:08.400 --> 00:01:11.600]  如果是耶穌的話
[00:01:11.600 --> 00:01:15.520]  耶穌會怎麼做
[00:01:15.520 --> 00:01:17.720]  記不記得答案
[00:01:17.720 --> 00:01:23.400]  上年我們問什麼 耶穌會怎麼做
[00:01:23.400 --> 00:01:25.880]  即使傷過無數次
[00:01:25.880 --> 00:01:29.280]  耶穌仍會說祂願意
[00:01:29.280 --> 00:01:30.560]  記得嗎
[00:01:30.560 --> 00:01:32.200]  這個是耶穌
[00:01:32.200 --> 00:01:34.920]  馬太福音18章21至22節
[00:01:34.920 --> 00:01:36.040]  我們一起再讀
[00:01:36.040 --> 00:01:37.680]  1 2 3
[00:01:37.680 --> 00:01:41.600]  那時彼得進前來對耶穌說
[00:01:41.600 --> 00:01:44.080]  主啊 我弟兄得罪我
[00:01:44.080 --> 00:01:46.520]  我當饒恕他幾次
[00:01:46.520 --> 00:01:48.560]  到七次可以嗎
[00:01:48.560 --> 00:01:50.960]  耶穌說 我對你說
[00:01:50.960 --> 00:01:52.640]  不是到七次
[00:01:52.640 --> 00:01:55.360]  乃是到七十個七次
[00:01:55.360 --> 00:01:58.160]  當時的猶太人
[00:01:58.160 --> 00:02:00.040]  七是一個完整的數目
[00:02:00.040 --> 00:02:02.960]  七是一個很完整的數目
[00:02:02.960 --> 00:02:06.480]  原諒他七次很好
[00:02:06.480 --> 00:02:08.480]  但耶穌說不是七次
[00:02:08.480 --> 00:02:11.640]  是七十個七次
[00:02:11.640 --> 00:02:16.160]  即是四百九十次
[00:02:16.160 --> 00:02:18.920]  不是 耶穌的意思是
[00:02:18.920 --> 00:02:22.280]  我們不是這樣計算多少次數
[00:02:22.280 --> 00:02:24.680]  而是我們願意
[00:02:24.680 --> 00:02:26.840]  繼續用愛去愛這個人
[00:02:26.840 --> 00:02:32.800]  才是重點
[00:02:32.800 --> 00:02:36.320]  耶穌是怎麼做到的呢
[00:02:36.320 --> 00:02:38.320]  而耶穌 今天我們看這段經文
[00:02:38.320 --> 00:02:40.440]  路加福音23章34節
[00:02:40.440 --> 00:02:45.960]  祂不只是原諒這麼簡單
[00:02:45.960 --> 00:02:49.720]  路加福音23章34節剛才讀的經文
[00:02:49.720 --> 00:02:51.600]  其實就是主耶穌基督
[00:02:51.600 --> 00:02:53.760]  被釘在十字架上
[00:02:53.760 --> 00:02:56.440]  最後又說了七句說話
[00:02:56.440 --> 00:02:59.480]  聖經裏面記載了七句說話
[00:02:59.480 --> 00:03:02.120]  而剛才那句是第一句
[00:03:02.120 --> 00:03:03.800]  父啊赦免他們
[00:03:03.800 --> 00:03:05.840]  因為他們所做的
[00:03:05.840 --> 00:03:10.360]  他們不曉得
[00:03:10.360 --> 00:03:12.720]  我們再讀一次好不好 預備 1 2 3
[00:03:12.720 --> 00:03:15.000]  父啊赦免他們
[00:03:15.000 --> 00:03:17.280]  因為他們所做的
[00:03:17.280 --> 00:03:19.440]  他們不曉得
[00:03:19.440 --> 00:03:22.640]  這句是第一句
[00:03:22.640 --> 00:03:26.320]  你想想當時耶穌的身體
[00:03:26.320 --> 00:03:29.120]  祂的心 祂的靈
[00:03:29.120 --> 00:03:32.800]  祂的狀況是很虛弱的
[00:03:32.800 --> 00:03:34.760]  但祂這裏不是說
[00:03:34.760 --> 00:03:38.200]  我氣不氣你 我願不願意原諒你
[00:03:38.200 --> 00:03:40.760]  耶穌已經超越了這個層次
[00:03:40.760 --> 00:03:43.200]  不是說願不願意原諒 氣不氣
[00:03:43.200 --> 00:03:46.040]  祂竟然為迫害祂的人
[00:03:46.040 --> 00:03:48.040]  向天父求情
[00:03:48.040 --> 00:03:52.960]  求天父原諒他們 赦免他們的罪
[00:03:52.960 --> 00:03:57.000]  耶穌是怎樣做到的
[00:03:57.000 --> 00:03:59.400]  我們今天試一下從耶穌
[00:03:59.400 --> 00:04:01.120]  祂這個經歷
[00:04:01.120 --> 00:04:03.440]  從耶穌身上
[00:04:03.440 --> 00:04:06.680]  我們說今天我們與主同行這條十架的路
[00:04:06.680 --> 00:04:09.320]  我們作為信耶穌的人
[00:04:09.320 --> 00:04:12.000]  我們可以怎樣在地上去生活
[00:04:12.000 --> 00:04:13.760]  特別當我們面對一些人
[00:04:13.760 --> 00:04:16.080]  一次一次的傷害我們
[00:04:16.080 --> 00:04:20.000]  又或者我們自己一次一次的傷害其他人
[00:04:20.000 --> 00:04:22.000]  我們怎樣去面對呢
[00:04:22.000 --> 00:04:25.120]  我們一起去祈禱
[00:04:25.120 --> 00:04:32.600]  各位親愛的弟兄姊妹 你預備好
[00:04:32.600 --> 00:04:35.520]  聽神的話沒有
[00:04:35.520 --> 00:04:37.400]  你的心裏面
[00:04:37.400 --> 00:04:41.280]  願不願意開放自己給神呢
[00:04:41.280 --> 00:04:43.280]  的說話教導你
[00:04:43.280 --> 00:04:46.960]  鼓勵你 督責你呢
[00:04:46.960 --> 00:04:48.960]  我們安靜一分鐘
[00:04:48.960 --> 00:04:50.960]  你自己和神去祈禱
[00:05:10.480 --> 00:05:11.960]  天父我們求祢的靈
[00:05:11.960 --> 00:05:15.480]  親自引導我們和我們講說話
[00:05:15.480 --> 00:05:17.960]  開我們的耳朵
[00:05:17.960 --> 00:05:20.360]  開我們的眼 開我們的心
[00:05:20.360 --> 00:05:21.840]  讓我們聽得明白
[00:05:21.840 --> 00:05:23.720]  亦都願意去接受
[00:05:23.720 --> 00:05:26.080]  帶領我們這一段時間
[00:05:26.080 --> 00:05:28.560]  禱告奉耶穌基督聖名求
[00:05:28.560 --> 00:05:29.640]  阿們
[00:05:29.640 --> 00:05:31.320]  我們跟耶穌學習一下
[00:05:31.320 --> 00:05:33.520]  學習甚麼 第一樣東西
[00:05:33.520 --> 00:05:35.400]  我們跟耶穌學習一下
[00:05:35.400 --> 00:05:36.960]  愛
[00:05:36.960 --> 00:05:38.960]  愛人愛到底
[00:05:38.960 --> 00:05:42.360]  堅持實踐愛的使命
[00:05:42.360 --> 00:05:44.160]  堅持到底
[00:05:44.160 --> 00:05:46.160]  愛到底
[00:05:46.160 --> 00:05:48.560]  父啊 赦免他們
[00:05:48.560 --> 00:05:50.680]  他們所作的 他們不曉得
[00:05:50.680 --> 00:05:52.360]  他們不知道自己在做甚麼
[00:05:52.360 --> 00:05:55.520]  父啊 赦免他們
[00:05:55.520 --> 00:05:58.200]  耶穌在這裡呼求
[00:05:58.200 --> 00:05:59.200]  不是叫其他人
[00:05:59.200 --> 00:06:00.600]  他很痛苦的時候
[00:06:00.600 --> 00:06:02.320]  他不是和身邊的人 下面的人說
[00:06:02.320 --> 00:06:03.680]  喂 你幫幫我吧
[00:06:03.680 --> 00:06:06.040]  你給我飲料吧 給我吃吧
[00:06:06.040 --> 00:06:07.200]  你救我吧
[00:06:07.200 --> 00:06:10.440]  不是啊 耶穌在他痛苦的時候
[00:06:10.440 --> 00:06:13.680]  他呼求天父
[00:06:13.680 --> 00:06:15.480]  我們認識耶穌
[00:06:15.480 --> 00:06:17.800]  他是天父獨生的兒子
[00:06:17.800 --> 00:06:20.600]  他最聽天父的話
[00:06:20.600 --> 00:06:23.000]  天父差派他來這個地上
[00:06:23.000 --> 00:06:24.640]  成為人
[00:06:24.640 --> 00:06:26.960]  他降卑成為人
[00:06:26.960 --> 00:06:30.600]  去完成他的使命
[00:06:30.600 --> 00:06:33.040]  父啊 赦免他們
[00:06:33.040 --> 00:06:37.000]  他們 他們是指甚麼人
[00:06:37.000 --> 00:06:39.880]  他們 就是指當時
[00:06:39.880 --> 00:06:42.120]  逼迫耶穌的人
[00:06:42.120 --> 00:06:44.680]  那些人要釘耶穌在十字架上面
[00:06:44.680 --> 00:06:46.640]  如果我們看回四福音
[00:06:46.640 --> 00:06:49.200]  馬太 馬可 路加 約翰福音裡面
[00:06:49.200 --> 00:06:52.440]  有不同相同類似的記載
[00:06:52.440 --> 00:06:55.360]  當時有很多的群眾
[00:06:55.360 --> 00:06:57.120]  到處在叫囂
[00:06:57.120 --> 00:06:58.800]  當耶穌被審判的時候
[00:06:58.800 --> 00:07:01.600]  他們要求當地的官
[00:07:01.600 --> 00:07:03.320]  要釘耶穌在十字架上面
[00:07:03.320 --> 00:07:04.680]  不要放過他
[00:07:04.680 --> 00:07:08.200]  他們寧願選另外一個罪大惡極的強盜
[00:07:08.200 --> 00:07:11.360]  都不放過耶穌
[00:07:11.360 --> 00:07:14.880]  耶穌就是這樣被無理地去審判
[00:07:14.880 --> 00:07:18.360]  甚至耶穌被鞭打
[00:07:18.360 --> 00:07:19.640]  如果你記得的時候
[00:07:19.640 --> 00:07:21.320]  以前用的那些不只是一條鞭
[00:07:21.320 --> 00:07:23.480]  是有勾的 有爪的鞭
[00:07:23.480 --> 00:07:24.680]  所以每鞭打一下
[00:07:24.680 --> 00:07:27.320]  皮膚就會爛出來
[00:07:27.320 --> 00:07:31.160]  耶穌被鞭打
[00:07:31.160 --> 00:07:37.800]  接著要耶穌揹著十字架走上山
[00:07:37.800 --> 00:07:41.080]  釘耶穌在十字架上面
[00:07:41.080 --> 00:07:43.240]  一口一口釘著
[00:07:43.240 --> 00:07:46.120]  手腳釘著
[00:07:46.120 --> 00:07:47.920]  在耶穌的十字架上面
