
[00:00:00.000 --> 00:00:03.460]  如果我在這裡問的話 有多少人
[00:00:03.460 --> 00:00:07.740]  有沒有人做過一些
[00:00:07.740 --> 00:00:10.240]  你很不高興的事情
[00:00:10.240 --> 00:00:12.520]  得罪你的事情 有沒有
[00:00:12.520 --> 00:00:15.720]  有的話 我們舉舉手 好不好
[00:00:15.720 --> 00:00:16.720]  沒有啊
[00:00:16.720 --> 00:00:20.860]  有沒有人做了一些事情
[00:00:20.860 --> 00:00:23.880]  你很不高興 得罪了你 有沒有
[00:00:23.880 --> 00:00:26.260]  有 每一個都有啊
[00:00:26.260 --> 00:00:27.620]  好 另外一個問題
[00:00:28.200 --> 00:00:30.240]  你有沒有做過一些事情
[00:00:30.240 --> 00:00:33.020]  令到人家很不高興呢
[00:00:33.020 --> 00:00:36.000]  得罪了人家呢 有沒有
[00:00:36.000 --> 00:00:38.080]  那我就不叫你舉手了
[00:00:38.080 --> 00:00:39.920]  因為我
[00:00:39.920 --> 00:00:43.740]  我是第一個 我會舉手
[00:00:43.740 --> 00:00:45.220]  真的
[00:00:45.220 --> 00:00:48.640]  所以我們禱告 最大的
[00:00:48.640 --> 00:00:51.860]  最主要的 就是這個原因
[00:00:51.860 --> 00:00:54.400]  我們謙卑我們自己
[00:00:54.400 --> 00:00:57.120]  來到上帝的面前 說 上帝啊
[00:00:57.120 --> 00:00:59.440]  沒有你 我不行 還有
[00:00:59.440 --> 00:01:03.100]  很多時候 我是做錯了事情
[00:01:03.100 --> 00:01:05.780]  求你 赦免我
[00:01:05.780 --> 00:01:09.000]  那還有第二個那個原因
[00:01:09.000 --> 00:01:12.000]  為什麼我們要禱告呢 我們就
[00:01:12.000 --> 00:01:15.720]  要跟上帝有一個美好的溝通
[00:01:15.720 --> 00:01:18.880]  用一個
[00:01:18.880 --> 00:01:21.040]  名字來講就是說 我們要通電
[00:01:21.040 --> 00:01:23.540]  那你知道嗎 你們買那個現在
[00:01:23.540 --> 00:01:26.520]  iPad也好 iPhone啊 什麼的
[00:01:26.520 --> 00:01:29.840]  那個電腦了 還有那個電器了
[00:01:29.840 --> 00:01:32.720]  你會知道那個troubleshooting
[00:01:32.720 --> 00:01:34.960]  就是說 如果有問題的話
[00:01:34.960 --> 00:01:38.100]  你可以看看 比如說 那個電腦
[00:01:38.100 --> 00:01:41.100]  它開不了了 什麼什麼的
[00:01:41.100 --> 00:01:43.820]  然後呢 你知道嗎 最普遍的
[00:01:43.820 --> 00:01:45.140]  一個問題
[00:01:45.140 --> 00:01:48.340]  不是說呢 那個機器有問題哦
