
[00:00:00.000 --> 00:00:02.700]  今天我們就去思考
[00:00:02.700 --> 00:00:06.100]  這個「貼薩羅尼加」的後書
[00:00:06.100 --> 00:00:09.680]  「安靜做工」這個講題
[00:00:09.680 --> 00:00:10.800]  弟兄姊妹
[00:00:10.800 --> 00:00:14.360]  今天我們都需要去安靜做工
[00:00:14.360 --> 00:00:17.200]  不是說叫我們不理世事
[00:00:17.200 --> 00:00:18.280]  不理族務
[00:00:18.280 --> 00:00:20.200]  或者我們要去對
[00:00:20.200 --> 00:00:25.600]  發生在我們周遭一些不公義的事情去沉默
[00:00:25.600 --> 00:00:27.100]  絕對不是這樣
[00:00:27.100 --> 00:00:28.500]  所謂「安靜做工」
[00:00:28.500 --> 00:00:31.400]  在保羅的描述裏面
[00:00:31.400 --> 00:00:35.400]  其實是叫我們去專注我們的本份
[00:00:35.400 --> 00:00:41.400]  專注我們作為基督徒應該要守的那個本業
[00:00:41.400 --> 00:00:45.300]  話說其實在一個
[00:00:45.300 --> 00:00:49.700]  有看一些網絡媒體的報導的時候
[00:00:49.700 --> 00:00:51.000]  都有提及過
[00:00:51.000 --> 00:00:58.600]  其實現在我們所經歷是一個自1997政權移交以來
[00:00:58.600 --> 00:01:01.800]  一個大型的移民潮
[00:01:01.800 --> 00:01:05.800]  我們會知道在香港的很多家庭
[00:01:05.800 --> 00:01:09.600]  因著近幾年的社會、教育
[00:01:09.600 --> 00:01:12.800]  以至經濟、自由等等的狀況
[00:01:12.800 --> 00:01:18.200]  對未來都有不少的一些恐懼或者考慮
[00:01:18.200 --> 00:01:22.700]  有一些香港的家庭就選擇移民
[00:01:22.700 --> 00:01:26.100]  去尋求一個盼望
[00:01:26.100 --> 00:01:28.500]  有網媒在今年7月
[00:01:28.500 --> 00:01:33.700]  開始很勤力地在一個機場的離境大堂
[00:01:33.700 --> 00:01:38.100]  或者登機櫃位那裏去留意、去拍攝
[00:01:38.100 --> 00:01:41.700]  我們會發現自7月1日起
[00:01:41.700 --> 00:01:45.200]  在機場的一些地方
[00:01:45.200 --> 00:01:47.800]  離境大堂和登機櫃位
[00:01:47.800 --> 00:01:49.400]  其實都大排長龍
[00:01:49.400 --> 00:01:55.000]  似乎大家都很趕著在7月中的時候
[00:01:55.000 --> 00:01:58.400]  能夠去到他們所想去的地方
[00:01:58.400 --> 00:02:02.200]  引述《立場新聞》一篇的報導
[00:02:02.200 --> 00:02:06.300]  在這篇報導裏面就提及過一個家庭
[00:02:06.300 --> 00:02:11.200]  這個家庭一家三口將會移民去英國
