
[00:00:00.000 --> 00:00:02.000]  各位弟妹 復活節的主日
[00:00:02.000 --> 00:00:04.000]  我們一齊要再同心禱告
[00:00:04.000 --> 00:00:06.000]  仰望主引導我們
[00:00:06.000 --> 00:00:14.000]  主耶穌 我們感謝祢
[00:00:14.000 --> 00:00:17.000]  祢不單止為我們
[00:00:17.000 --> 00:00:19.000]  受死在十字架上
[00:00:19.000 --> 00:00:22.000]  主祢為我們復活過來
[00:00:22.000 --> 00:00:25.000]  以大能顯明出祢是神的兒子
[00:00:25.000 --> 00:00:27.000]  以大能顯明出
[00:00:27.000 --> 00:00:30.000]  祢勝過了罪惡的權勢
[00:00:30.000 --> 00:00:33.000]  勝過了死亡的權勢
[00:00:33.000 --> 00:00:35.000]  我們今天在復活節的主日
[00:00:35.000 --> 00:00:37.000]  一同到祢的面前來
[00:00:37.000 --> 00:00:39.000]  思念祢自己的恩惠
[00:00:39.000 --> 00:00:42.000]  祢的奇妙 祢的作為
[00:00:42.000 --> 00:00:44.000]  我們祈求因主祢自己
[00:00:44.000 --> 00:00:46.000]  賜下祢真理的聖靈
[00:00:46.000 --> 00:00:49.000]  在我們心中引導我們
[00:00:49.000 --> 00:00:51.000]  讓我們明白祢所賜的
[00:00:51.000 --> 00:00:54.000]  是何等大的榮耀的盼望
[00:00:54.000 --> 00:00:56.000]  就叫我們上上快樂
[00:00:56.000 --> 00:00:59.000]  堅固地跟隨祢
[00:00:59.000 --> 00:01:02.000]  求祢帶領致福這段時間
[00:01:02.000 --> 00:01:04.000]  奉耶穌的聖名求
[00:01:04.000 --> 00:01:05.000]  阿們
[00:01:27.000 --> 00:01:29.000]  有些很大的樹葉
[00:01:29.000 --> 00:01:31.000]  但留意到在樹葉的下面
[00:01:31.000 --> 00:01:33.000]  有很多很小塊的新的樹葉
[00:01:33.000 --> 00:01:35.000]  一直長出來
[00:01:35.000 --> 00:01:37.000]  我都沒有留意到
[00:01:37.000 --> 00:01:38.000]  今天早上一看的時候
[00:01:38.000 --> 00:01:39.000]  一見到
[00:01:39.000 --> 00:01:41.000]  心就馬上想起
[00:01:41.000 --> 00:01:44.000]  今天是復活節主日
[00:01:44.000 --> 00:01:48.000]  是一個好像對我心靈的提醒
[00:01:48.000 --> 00:01:50.000]  生命的復生
[00:01:50.000 --> 00:01:52.000]  生命的出現
[00:01:52.000 --> 00:01:53.000]  各位電影姐妹
[00:01:53.000 --> 00:01:54.000]  今天是復活節主日
[00:01:54.000 --> 00:01:56.000]  我們一齊來到紀念主耶穌
[00:01:56.000 --> 00:01:59.000]  祂從死裡復活過來
[00:01:59.000 --> 00:02:01.000]  聖經告訴我們
[00:02:01.000 --> 00:02:04.000]  耶穌基督的復活是初熟的果子
[00:02:04.000 --> 00:02:07.000]  也意味著有其他將會熟的果子
[00:02:07.000 --> 00:02:09.000]  會繼續出現
[00:02:09.000 --> 00:02:11.000]  因為基督耶穌復活
[00:02:11.000 --> 00:02:13.000]  祂應許信靠祂的人
[00:02:13.000 --> 00:02:16.000]  都領受復活的生命
[00:02:16.000 --> 00:02:19.000]  而我們在當中領受恩惠的時候
[00:02:19.000 --> 00:02:21.000]  我們也祈禱
[00:02:21.000 --> 00:02:24.000]  好像聖經勉勵我們
[00:02:24.000 --> 00:02:25.000]  求主藉著祂的靈
[00:02:25.000 --> 00:02:29.000]  叫我們心中的眼睛可以開啟
[00:02:29.000 --> 00:02:31.000]  能夠看見祂自己的恩兆
[00:02:31.000 --> 00:02:35.000]  有何等大的指望
[00:02:35.000 --> 00:02:38.000]  神給我們有榮耀的盼望
[00:02:38.000 --> 00:02:41.000]  有些時候我們生活太忙碌
[00:02:41.000 --> 00:02:44.000]  忘記了一個這麼重要的事實
[00:02:44.000 --> 00:02:47.000]  就是你和我屬神的人
[00:02:47.000 --> 00:02:50.000]  要領受神給我們榮耀的盼望
[00:02:50.000 --> 00:02:53.000]  要領受神給我們榮耀的復活
[00:02:53.000 --> 00:02:55.000]  讓我們心裡明白
[00:02:55.000 --> 00:02:57.000]  也叫我們在世上
[00:02:57.000 --> 00:02:59.000]  我們生活的時候
[00:02:59.000 --> 00:03:01.000]  也能夠以屬靈的眼光
[00:03:01.000 --> 00:03:03.000]  復活的眼光
[00:03:03.000 --> 00:03:06.000]  來看今天的一事一物
[00:03:06.000 --> 00:03:08.000]  而我們今天讀的聖經
[00:03:08.000 --> 00:03:10.000]  正是將這種榮耀的復活
[00:03:10.000 --> 00:03:12.000]  來向我們解明
[00:03:12.000 --> 00:03:16.000]  我們一起來再讀剛才的十五章
[00:03:16.000 --> 00:03:21.000]  我們先看第三十七節
[00:03:21.000 --> 00:03:23.000]  十五章的三十七節
[00:03:23.000 --> 00:03:25.000]  聖經說你們所種的
[00:03:25.000 --> 00:03:28.000]  不是那將來要長成的形體
[00:03:28.000 --> 00:03:30.000]  只不過是一粒種子
[00:03:30.000 --> 00:03:33.000]  也許是麥子說別的種子
[00:03:33.000 --> 00:03:36.000]  是神隨著自己的意思
[00:03:36.000 --> 00:03:38.000]  給他一個形體
[00:03:38.000 --> 00:03:40.000]  各樣的種子或者下面所說
[00:03:40.000 --> 00:03:46.000]  各樣的動物植物都有不同的形體
[00:03:46.000 --> 00:03:49.000]  聖經用種子來描述一件事實
[00:03:49.000 --> 00:03:53.000]  就是種子和後來長出來的樹木
[00:03:53.000 --> 00:03:56.000]  是截然不同的事情
[00:03:56.000 --> 00:03:57.000]  因此聖經說到
[00:03:57.000 --> 00:04:00.000]  我們有的地上的身體
