
[00:00:00.000 --> 00:00:05.520]  今天選擇的主題是獻上感恩
[00:00:05.520 --> 00:00:09.260]  也用詩篇103篇
[00:00:09.260 --> 00:00:11.560]  詩篇103篇的特色就是
[00:00:11.560 --> 00:00:13.760]  大衛在晚年的時候
[00:00:13.760 --> 00:00:14.960]  作了這篇詩篇
[00:00:14.960 --> 00:00:16.760]  就是回望他的一生
[00:00:16.760 --> 00:00:20.520]  究竟他的一生體驗的經歷是甚麼
[00:00:20.520 --> 00:00:23.800]  我們今天年中感恩有借助詩篇103
[00:00:23.800 --> 00:00:26.460]  我們分開幾個角度去看
[00:00:26.460 --> 00:00:28.900]  每次年底
[00:00:28.900 --> 00:00:32.800]  我都會看看究竟有甚麼大事回顧
[00:00:32.800 --> 00:00:38.300]  特別Yahoo的新聞每年都有選擇大事回顧
[00:00:38.300 --> 00:00:42.160]  包括當然每年都有好的有不好的
[00:00:42.160 --> 00:00:43.800]  有艱難的有中性的
[00:00:43.800 --> 00:00:45.800]  有些個人的關於大衛
[00:00:45.800 --> 00:00:50.260]  例如剛剛我們看回香港過了疫情
[00:00:50.260 --> 00:00:51.960]  短短未夠一年
[00:00:51.960 --> 00:00:54.460]  剛剛才好像通關
[00:00:54.460 --> 00:00:59.120]  又看到楊梓瓊拿奧斯卡我也很開心
[00:00:59.120 --> 00:01:01.020]  不知道大家有沒有看過這部電影
[00:01:01.020 --> 00:01:02.320]  《奇異旅行》
[00:01:02.320 --> 00:01:04.220]  有沒有 舉個手
[00:01:04.220 --> 00:01:05.520]  很少而已
[00:01:05.520 --> 00:01:07.020]  我看過兩次
[00:01:07.020 --> 00:01:07.960]  很厲害吧
[00:01:07.960 --> 00:01:10.360]  有人形容它為《雙喜臨門》
[00:01:10.360 --> 00:01:10.920]  為甚麼
[00:01:10.920 --> 00:01:13.460]  因為事業他拿了奧斯卡
[00:01:13.460 --> 00:01:18.260]  並且拍了多年伴侶2023年結婚
[00:01:18.260 --> 00:01:19.960]  《愛情事業大人家》
[00:01:19.960 --> 00:01:23.220]  繼續裡面也有不同的新聞
[00:01:23.220 --> 00:01:25.020]  例如醫護人員抵港
[00:01:25.020 --> 00:01:29.520]  一方面會覺得舒緩了人手壓力
[00:01:29.520 --> 00:01:31.760]  同時也有醫護人員擔心
[00:01:31.760 --> 00:01:33.620]  質素會不會有影響
[00:01:33.620 --> 00:01:35.820]  有些都會是中中間間不知道
[00:01:35.820 --> 00:01:37.620]  當然也有些比較可憐的
[00:01:37.620 --> 00:01:40.020]  《鑽石山慘人案》
