
[00:00:00.000 --> 00:00:03.380]  各位弟兄姊妹,聖誕平安!
[00:00:03.380 --> 00:00:10.640]  很感恩,在大家當中,和大家一起過聖誕
[00:00:10.640 --> 00:00:15.060]  剛才施蕃獻了一首詩
[00:00:15.060 --> 00:00:21.200]  我很留意,很留心地聽和看那些歌詞
[00:00:21.200 --> 00:00:27.140]  我發覺它和我今天的講道是出奇地吻合
[00:00:27.140 --> 00:00:28.820]  真是同感一零
[00:00:28.820 --> 00:00:31.460]  待會我講完的時候,你再看那首詩歌
[00:00:31.460 --> 00:00:34.200]  你會覺得,真是非常吻合
[00:00:34.200 --> 00:00:37.800]  其實有很多聖誕歌,他選擇了這一首
[00:00:37.800 --> 00:00:43.280]  我今天的題目是耶穌的出生和祂的一生
[00:00:43.280 --> 00:00:45.280]  放大一點來說
[00:00:45.280 --> 00:00:47.280]  我們先有一個禱告
[00:00:47.280 --> 00:00:51.180]  親愛主,在祢誕降,紀念祢誕降的日子
[00:00:51.180 --> 00:00:55.920]  我們一起聚集,一起思想這個奇妙的救恩
[00:00:55.920 --> 00:01:01.680]  更加思想祢的降生和祢很特別的一生
[00:01:01.680 --> 00:01:05.980]  這和我們每一個人,特別是每一個基督徒
[00:01:05.980 --> 00:01:09.920]  都是非常息息相掛
[00:01:09.920 --> 00:01:16.220]  求主今日藉著聖經幫助我們
[00:01:16.220 --> 00:01:18.220]  讓我們更加明白
[00:01:18.220 --> 00:01:22.480]  祢降生,祢的救恩,祢的一生
[00:01:22.480 --> 00:01:25.820]  我們這樣祈禱,奉耶穌基督的名
[00:01:25.820 --> 00:01:27.820]  誠心所願
[00:01:27.820 --> 00:01:38.980]  我曾經講過耶穌的一生有兩個定格
[00:01:38.980 --> 00:01:41.980]  一個是十字架,大家也知道
[00:01:41.980 --> 00:01:45.820]  基督教的記號,icon就是十字架
[00:01:45.820 --> 00:01:47.260]  去到哪裡都見到
[00:01:47.260 --> 00:01:52.460]  另外一個就是包著布,臥在馬槽裡
[00:01:52.460 --> 00:01:58.860]  一出生的時候,很清楚,這就是記號了
[00:01:58.860 --> 00:02:03.260]  這就是認出耶穌的記號
[00:02:03.260 --> 00:02:06.860]  很樸素,很簡單,甚至很卑微
