
[00:00:00.000 --> 00:00:07.000]  七位天父,我們感謝祢,讓我們在新的一年裏面都能夠一同來敬拜祢,
[00:00:07.000 --> 00:00:16.000]  祈求聖靈在我們當中幫助我們認識我們的主耶穌更多,奉耶穌基督的名祈禱,阿門。
[00:00:16.000 --> 00:00:24.000]  今天是新的一年,2017年1月1日,先祝福大家新年快樂,
[00:00:24.000 --> 00:00:31.000]  尤其是屬靈生命在新的一年裏面有大躍進,更得到聖靈充滿,
[00:00:31.000 --> 00:00:38.000]  讓聖靈的活水在我們的心裏面湧流出來,直湧到永生。
[00:00:38.000 --> 00:00:44.000]  上星期我們已經看過了約翰福音一章,一至十八節,
[00:00:44.000 --> 00:00:49.000]  不過只是集中去看主耶穌降生,帶來些什麼。
[00:00:49.000 --> 00:00:54.000]  今天我想先介紹一下約翰福音的目的,
[00:00:54.000 --> 00:00:58.000]  知道約翰為什麼要寫這本福音書,
[00:00:58.000 --> 00:01:04.000]  已經有了其他三本福音書了,還不夠嗎?為什麼要寫多一本呢?
[00:01:04.000 --> 00:01:11.000]  這個問題其實很容易找到答案的,而且沒有哪位神學家會反對,
[00:01:11.000 --> 00:01:15.000]  因為這個目的是作者自己說的,
[00:01:15.000 --> 00:01:19.000]  就在約翰福音第二十章三十一節,
[00:01:19.000 --> 00:01:27.000]  「本書記述的目的是要你們信耶穌是基督,是上帝的兒子,
[00:01:27.000 --> 00:01:32.000]  並且要你們因信他而獲得生命。」
[00:01:32.000 --> 00:01:39.000]  作者為什麼用了二十一章的聖經,這麼長的篇幅來介紹耶穌呢?
[00:01:39.000 --> 00:01:42.000]  一章一至十八節還不夠嗎?
[00:01:42.000 --> 00:01:47.000]  我相信作者是耶穌十二使徒之一的約翰,
[00:01:47.000 --> 00:01:54.000]  在一章一至十八節其實他已經介紹我們認識耶穌的七重身份了,
[00:01:54.000 --> 00:01:58.000]  包括耶穌是道,
[00:01:58.000 --> 00:02:04.000]  他就是道,耶穌是上帝,在第一節都說了,
[00:02:04.000 --> 00:02:07.000]  耶穌是萬物的創造者,
[00:02:07.000 --> 00:02:11.000]  耶穌是生命的根源,
[00:02:11.000 --> 00:02:15.000]  耶穌是光,強調真光,
[00:02:15.000 --> 00:02:18.000]  耶穌又是恩典和真理,
[00:02:18.000 --> 00:02:23.000]  還有更加重要的,耶穌是上帝的獨子。
[00:02:23.000 --> 00:02:27.000]  已經介紹了七重的身份了,
[00:02:27.000 --> 00:02:32.000]  然後使徒約翰就用了其餘的二十一章經文介紹耶穌,
[00:02:32.000 --> 00:02:34.000]  真是上帝的獨子,
[00:02:34.000 --> 00:02:41.000]  並且藉著神蹟將上帝的榮耀彰顯出來,
[00:02:41.000 --> 00:02:45.000]  很多神學家將約翰福音分成兩大部分,
[00:02:45.000 --> 00:02:49.000]  一至十一章就稱為神蹟之書,
[00:02:49.000 --> 00:02:55.000]  因為在這裡記載了主耶穌所行的七個神蹟,
[00:02:55.000 --> 00:03:03.000]  當然神蹟是要彰顯出耶穌是萬物創造者的榮耀,
[00:03:03.000 --> 00:03:07.000]  很多現代人不相信聖經記載的神蹟,
[00:03:07.000 --> 00:03:12.000]  他們認為神蹟是不可能發生的,
[00:03:12.000 --> 00:03:18.000]  其實決定神蹟是否有可能發生,
[00:03:18.000 --> 00:03:22.000]  關鍵在於有沒有神,
[00:03:22.000 --> 00:03:25.000]  究竟這個世界有沒有神,
[00:03:25.000 --> 00:03:27.000]  還有人對神的定義,
[00:03:27.000 --> 00:03:31.000]  如果我們不相信神的存在,
[00:03:31.000 --> 00:03:34.000]  當然不可能有神蹟,
[00:03:34.000 --> 00:03:37.000]  沒有神又何來神蹟呢?
[00:03:37.000 --> 00:03:43.000]  如果我們相信神只不過是坐在廟宇裡的偶像,
[00:03:43.000 --> 00:03:45.000]  那也不可能有神蹟,
[00:03:45.000 --> 00:03:49.000]  因為偶像只不過是人的雕刻藝術品,
[00:03:49.000 --> 00:03:52.000]  放在那裡給人看,
[00:03:52.000 --> 00:03:54.000]  正如聖經所說,
[00:03:54.000 --> 00:03:57.000]  他們有嘴巴,卻不能講話,
[00:03:57.000 --> 00:04:00.000]  有眼睛,卻不能觀看,
[00:04:00.000 --> 00:04:04.000]  他們有手,卻不能觸摸,
[00:04:04.000 --> 00:04:07.000]  有腳,卻不能行走,
[00:04:07.000 --> 00:04:11.000]  不過,司徒約翰揀選了的七個神蹟,
[00:04:11.000 --> 00:04:14.000]  是要彰顯上帝的榮耀,
[00:04:14.000 --> 00:04:16.000]  是超自然的,
[00:04:16.000 --> 00:04:19.000]  證明耶穌真是上帝的獨生子,
[00:04:19.000 --> 00:04:22.000]  和萬物的創造主,
[00:04:22.000 --> 00:04:30.000]  除此之外,神蹟還要彰顯出上帝的恩典和真理,
[00:04:30.000 --> 00:04:33.000]  這也是約翰福音的特色,
[00:04:33.000 --> 00:04:38.000]  他每逢記載了一個或最多兩件神蹟之後,
[00:04:38.000 --> 00:04:43.000]  就一定有一段經文講解真理,
[00:04:43.000 --> 00:04:49.000]  這些記載都是要讀者了解耶穌的身份,
[00:04:49.000 --> 00:04:53.000]  肯定耶穌是上帝的獨子,
[00:04:53.000 --> 00:04:58.000]  信祂的人就有特權成為上帝的兒女,
[00:04:58.000 --> 00:05:06.000]  這樣我們才能夠安心地將自己生命的主權交給耶穌,
[00:05:06.000 --> 00:05:09.000]  接受祂成為我們生命的主。
[00:05:09.000 --> 00:05:12.000]  我們看今天的經文,
[00:05:12.000 --> 00:05:16.000]  認識耶穌的另一個身份,
[00:05:16.000 --> 00:05:21.000]  這個身份和他的任務息息相關,
[00:05:21.000 --> 00:05:25.000]  他就是神的羔羊。
[00:05:25.000 --> 00:05:30.000]  我們先看今天的經文第1章19至28節,
[00:05:30.000 --> 00:05:35.000]  這段經文是關於施洗約翰的見證,
[00:05:35.000 --> 00:05:38.000]  在1章6節裏,
[00:05:38.000 --> 00:05:42.000]  作者已經簡單地介紹過約翰,
[00:05:42.000 --> 00:05:50.000]  這裏亦強調施洗約翰是來為耶穌做一個見證人,
[00:05:50.000 --> 00:05:55.000]  作者似乎是很強調見證人這個身份,
[00:05:55.000 --> 00:06:01.000]  我相信是由於摩西律法裏面其實是有規定,
[00:06:01.000 --> 00:06:04.000]  不單止叫我們不要作假見證,
[00:06:04.000 --> 00:06:08.000]  其實第二樣東西摩西律法裏面說,
[00:06:08.000 --> 00:06:11.000]  見證人最少要有兩個,
[00:06:11.000 --> 00:06:15.000]  一個不夠,兩個才算合法,
[00:06:15.000 --> 00:06:17.000]  所以當他介紹耶穌的時候,
[00:06:17.000 --> 00:06:20.000]  作者本身是一個見證人,
[00:06:20.000 --> 00:06:24.000]  施洗約翰是另一個見證人。
[00:06:24.000 --> 00:06:33.000]  在19至28節沒有詳細講施洗約翰的工作,
[00:06:33.000 --> 00:06:41.000]  似乎作者已經假設讀者是很熟悉施洗約翰的工作。
[00:06:41.000 --> 00:06:44.000]  根據其他福音書的記載,
[00:06:44.000 --> 00:06:50.000]  施洗約翰主要的工作是傳一個悔改的道理,
[00:06:50.000 --> 00:06:55.000]  以及為猶太人洗禮。
[00:06:55.000 --> 00:06:59.000]  我們聽到施洗約翰為猶太人洗禮,
[00:06:59.000 --> 00:07:02.000]  可能不會覺得很奇怪,
[00:07:02.000 --> 00:07:04.000]  但是我們要知道,
[00:07:04.000 --> 00:07:08.000]  猶太人加入猶太教,
[00:07:08.000 --> 00:07:14.000]  其實是不應該,也不必要接受洗禮。
[00:07:14.000 --> 00:07:17.000]  每一個猶太人一出生,
[00:07:17.000 --> 00:07:23.000]  第八天他會接受一個割禮,
