
[00:00:00.000 --> 00:00:02.020]  願你們大有盼望
[00:00:02.020 --> 00:00:04.600]  弟兄姊妹你有沒有盼望呢?
[00:00:04.600 --> 00:00:07.900]  那你又不用舉手回答我
[00:00:07.900 --> 00:00:10.180]  你心裏回答就可以了
[00:00:10.180 --> 00:00:12.380]  盼望重不重要呀?
[00:00:12.380 --> 00:00:16.680]  盼望很重要
[00:00:16.680 --> 00:00:19.040]  盼望是人生存的動力
[00:00:19.040 --> 00:00:21.120]  沒有盼望就沒有動力
[00:00:21.120 --> 00:00:24.080]  盼望是和將來有關的
[00:00:24.080 --> 00:00:25.380]  你已經得到的東西
[00:00:25.380 --> 00:00:26.720]  你不會盼望了
[00:00:26.720 --> 00:00:29.960]  基督徒的盼望更加指向永恆
[00:00:29.960 --> 00:00:32.320]  我們要留意
[00:00:32.320 --> 00:00:35.560]  基督徒的盼望和世人所講的盼望
[00:00:35.560 --> 00:00:37.880]  或者世人所講的希望是不同的
[00:00:37.880 --> 00:00:40.360]  有一個廣告播了很多年
[00:00:40.360 --> 00:00:43.960]  那個廣告講兩個年青人的對話
[00:00:43.960 --> 00:00:46.960]  他說打球才來下雨
[00:00:46.960 --> 00:00:49.540]  難道連上天都不喜歡我嗎?
[00:00:49.540 --> 00:00:52.420]  我們明天再打過吧
[00:00:52.420 --> 00:00:54.280]  明天一定會好天的
[00:00:54.280 --> 00:00:56.840]  然後隔了一天
[00:00:56.840 --> 00:00:59.140]  你怎知道今天會好天呢?
[00:00:59.140 --> 00:01:00.920]  不知道的
[00:01:00.920 --> 00:01:02.720]  希望在明天吧
[00:01:02.720 --> 00:01:05.040]  好一句
[00:01:05.040 --> 00:01:06.300]  不知道的
[00:01:06.300 --> 00:01:07.840]  希望在明天吧
[00:01:07.840 --> 00:01:11.180]  就指出了一般人所講的希望
[00:01:11.180 --> 00:01:12.720]  只是一種
[00:01:12.720 --> 00:01:16.300]  不知道能否達成一種願望
[00:01:16.300 --> 00:01:18.080]  只是一個意願
[00:01:18.080 --> 00:01:20.900]  就好像希望明天不會下雨一樣
[00:01:20.900 --> 00:01:22.940]  其實是沒有把握的
[00:01:22.940 --> 00:01:27.560]  基督徒的盼望是帶著信心和期待
[00:01:27.560 --> 00:01:30.360]  不是純粹一種樂觀的態度
[00:01:30.360 --> 00:01:33.440]  因為這個盼望是神所賜
[00:01:33.440 --> 00:01:36.260]  神是使人有盼望的神
[00:01:36.260 --> 00:01:39.340]  在羅馬書15章13節裏面
[00:01:39.340 --> 00:01:41.120]  一開始就講到
[00:01:41.120 --> 00:01:43.940]  但願使人有盼望的神
[00:01:43.940 --> 00:01:47.520]  神要我們大有盼望地生活
[00:01:47.520 --> 00:01:49.580]  有盼望的人
[00:01:49.580 --> 00:01:52.140]  也是充滿平安喜樂的人
[00:01:52.140 --> 00:01:55.720]  基督徒有很多不同的盼望
[00:01:55.720 --> 00:01:59.560]  在人生的不同階段有不同的盼望
[00:01:59.560 --> 00:02:05.960]  關於個人、家庭、工作、侍奉
[00:02:05.960 --> 00:02:08.520]  但我們會有一個終極的盼望
[00:02:08.520 --> 00:02:11.840]  基督徒終極的盼望是什麼呢?
[00:02:11.840 --> 00:02:15.680]  在提多書第2章13節裏說
[00:02:15.680 --> 00:02:19.280]  「等候所盼望的福
[00:02:19.280 --> 00:02:25.160]  並等候至大的神和我們救主耶穌基督的榮耀顯現」
[00:02:25.160 --> 00:02:29.260]  這裏說到基督徒的終極盼望是
[00:02:29.260 --> 00:02:33.860]  等候神和救主耶穌基督的榮耀顯現
[00:02:33.860 --> 00:02:36.680]  所以簡單來說是一個住在內的日子
[00:02:36.680 --> 00:02:38.460]  我們是終極的盼望
[00:02:38.460 --> 00:02:41.020]  在啟示錄裏面也說到
[00:02:41.020 --> 00:02:43.840]  將來我們會有新天新地
[00:02:43.840 --> 00:02:48.200]  我們在不同的場合可能都聽過關於啟示錄的記載
[00:02:48.200 --> 00:02:53.580]  或者我們早前教會同工也說過啟示錄的講道
[00:02:53.580 --> 00:02:57.940]  這個終極的盼望就是住在內
[00:02:57.940 --> 00:03:00.740]  就是說到天國的傳言實現
[00:03:00.740 --> 00:03:03.820]  天國的傳言實現有兩方面
[00:03:03.820 --> 00:03:06.380]  第一就是永生的實現
[00:03:06.380 --> 00:03:10.220]  是說到義人能夠得到永遠的福祿
[00:03:10.220 --> 00:03:12.260]  說到義人不是那些好人
[00:03:12.260 --> 00:03:14.580]  不是做了好事做了善事的人
