
[00:00:00.000 --> 00:00:03.000]  弟兄姊妹 祝你喜樂平安
[00:00:03.000 --> 00:00:05.500]  歡迎來到生命樹宣教網絡
[00:00:05.500 --> 00:00:07.500]  我是靈脩士文
[00:00:07.500 --> 00:00:09.500]  鼓勵你記得敬拜
[00:00:09.500 --> 00:00:12.000]  讀經 禱告 默想
[00:00:12.000 --> 00:00:13.500]  時時爲主而活
[00:00:13.500 --> 00:00:16.000]  傳道宣教 拓展天國
[00:00:16.000 --> 00:00:18.500]  記得等候主耶穌再來
[00:00:18.500 --> 00:00:21.000]  祂真的很快會回來
[00:00:21.000 --> 00:00:25.500]  2025年預俘祈靈脩40日
[00:00:25.500 --> 00:00:27.000]  主吩咐我
[00:00:27.000 --> 00:00:29.500]  我主我神這個主題
[00:00:29.500 --> 00:00:33.000]  我就由40個角度去更多認識主耶穌
[00:00:33.000 --> 00:00:35.000]  可能有些人發覺
[00:00:35.000 --> 00:00:37.000]  以前都沒有留意到原來是這樣的
[00:00:37.000 --> 00:00:39.000]  是的 原來主耶穌是這樣
[00:00:39.000 --> 00:00:42.000]  來到第20日或者第20講
[00:00:42.000 --> 00:00:44.000]  聖周第四
[00:00:44.000 --> 00:00:47.000]  斥責無花果樹
[00:00:47.000 --> 00:00:49.000]  在聖周裏第四件事
[00:00:49.000 --> 00:00:51.000]  我簡選出來特別給大家看
[00:00:51.000 --> 00:00:53.000]  就是斥責無花果樹
[00:00:53.000 --> 00:00:55.000]  多數就是
[00:00:55.000 --> 00:00:57.000]  其實主耶穌在聖周裏
[00:00:57.000 --> 00:01:00.000]  趕出聖殿裏面做買賣的人
[00:01:00.000 --> 00:01:02.000]  多數最一般來說
[00:01:02.000 --> 00:01:04.000]  就是結證聖殿
[00:01:04.000 --> 00:01:06.000]  爲什麼說結證聖殿呢?
[00:01:06.000 --> 00:01:08.000]  是因爲我們聖經裏面
[00:01:08.000 --> 00:01:10.000]  給他的標題叫結證聖殿
[00:01:10.000 --> 00:01:12.000]  於是我們每個人都用了
[00:01:12.000 --> 00:01:14.000]  其實那些標題你知道
[00:01:14.000 --> 00:01:18.000]  在聖經裏面著作的時候並沒有
[00:01:18.000 --> 00:01:22.000]  這裏就來到斥責無花果樹
