
[00:00:00.000 --> 00:00:02.000]  一同低頭祈禱
[00:00:30.000 --> 00:00:34.500]  在香港有關基本法23條有很多爭論
[00:00:34.500 --> 00:00:40.500]  結果就要人大來解釋基本法23條的運用
[00:00:40.500 --> 00:00:45.500]  因為人大是最高的最有權威的釋法機構
[00:00:45.500 --> 00:00:49.000]  其實對聖經的解釋
[00:00:49.000 --> 00:00:56.500]  也都會影響我們怎樣將聖經應用到生活裏面
[00:00:56.500 --> 00:01:02.500]  解釋錯誤就會引致錯誤的應用
[00:01:02.500 --> 00:01:04.500]  舉個例子來講
[00:01:04.500 --> 00:01:12.500]  耶華見證人是很堅持相信全本聖經是上帝的啟示
[00:01:12.500 --> 00:01:16.500]  即是新舊約所有66卷書都是上帝的啟示
[00:01:16.500 --> 00:01:20.500]  他們也都堅持信徒的生活準則
[00:01:20.500 --> 00:01:23.500]  傳道方法是應該效法聖經
[00:01:23.500 --> 00:01:27.500]  還要回到公元一世紀的基督教
[00:01:27.500 --> 00:01:32.500]  他們也都相信耶穌是上帝的兒子
[00:01:32.500 --> 00:01:36.500]  但是他們不相信耶穌是全能的上帝
[00:01:36.500 --> 00:01:40.500]  也都不相信三位一體的教義
[00:01:40.500 --> 00:01:44.500]  我們也都相信全本聖經是上帝的啟示
[00:01:44.500 --> 00:01:45.500]  耶穌是上帝的兒子
[00:01:45.500 --> 00:01:48.500]  並且相信耶穌是上帝
[00:01:48.500 --> 00:01:49.500]  聖靈也是上帝
[00:01:49.500 --> 00:01:53.500]  故此我們相信三位一體的教義
[00:01:53.500 --> 00:01:56.500]  為什麼會產生分歧呢?
[00:01:56.500 --> 00:02:01.500]  其實就是在乎我們對聖經的解釋
[00:02:01.500 --> 00:02:05.500]  今天我們跳過了第二章一至十七節
[00:02:05.500 --> 00:02:09.500]  其實在馬克思第二章一至十二節
[00:02:09.500 --> 00:02:14.500]  記載了耶穌要一位太子的神蹟
[00:02:14.500 --> 00:02:20.500]  這個神蹟不但表現出耶穌有醫病的能力
[00:02:20.500 --> 00:02:23.500]  同時耶穌藉著這個神蹟
[00:02:23.500 --> 00:02:27.500]  好像拿了一張名片出來給人看
[00:02:27.500 --> 00:02:30.500]  祂就是上帝的化身
[00:02:30.500 --> 00:02:33.500]  祂不是普通的先知
[00:02:33.500 --> 00:02:37.500]  祂是有權赦罪的上帝化身
[00:02:37.500 --> 00:02:40.500]  在古時代
[00:02:40.500 --> 00:02:44.500]  猶太人在舊約記載了
[00:02:44.500 --> 00:02:48.500]  其實很多先知都行過大神蹟
[00:02:48.500 --> 00:02:52.500]  甚至叫死人復活的神蹟都有發生過
[00:02:52.500 --> 00:02:55.500]  但是那些先知從來沒有說
[00:02:55.500 --> 00:02:58.500]  我赦免人的罪
[00:02:58.500 --> 00:03:00.500]  唯獨耶穌
[00:03:00.500 --> 00:03:04.500]  祂是來到人間的上帝
[00:03:04.500 --> 00:03:08.500]  是猶太人熱切盼望要來的微塞
[00:03:08.500 --> 00:03:11.500]  祂不單止可以行神蹟
[00:03:11.500 --> 00:03:18.500]  祂更加有權赦免赦罪的上帝
[00:03:18.500 --> 00:03:23.500]  如果人的罪不被上帝赦免的話
[00:03:23.500 --> 00:03:29.500]  就會永遠沉淪在地獄裡面
[00:03:29.500 --> 00:03:31.500]  在今天所讀的經文
[00:03:31.500 --> 00:03:33.500]  三章十一節也說
[00:03:33.500 --> 00:03:36.500]  你是上帝的兒子
