
[00:00:00.000 --> 00:00:05.200]  多謝牧師給我有機會來到教會
[00:00:05.200 --> 00:00:09.120]  來到分享神的華語
[00:00:09.120 --> 00:00:12.880]  介紹了羅牧師
[00:00:12.880 --> 00:00:15.680]  羅師母大家都看到在前面
[00:00:15.680 --> 00:00:19.280]  羅師母就是箍住我的那個
[00:00:19.280 --> 00:00:21.120]  我是羅師 她是羅師母
[00:00:21.120 --> 00:00:25.840]  我們還有兩顆螺絲釘
[00:00:25.840 --> 00:00:29.840]  那兩顆螺絲釘都很大顆了
[00:00:30.400 --> 00:00:30.960]  大顆了
[00:00:30.960 --> 00:00:33.960]  螺絲釘就卡了
[00:00:33.960 --> 00:00:35.880]  就生了兩顆螺絲孫
[00:00:35.880 --> 00:00:41.680]  我們退休本來就在溫哥華
[00:00:41.680 --> 00:00:46.160]  因為我們姑父為孫過多
[00:00:46.160 --> 00:00:51.800]  大女兒叫我們回去香港照顧孫子
[00:00:51.800 --> 00:00:57.200]  我們就為孫子逗留回香港
[00:00:58.400 --> 00:01:02.640]  後來小螺絲釘這邊又多了兩顆螺絲孫
[00:01:02.640 --> 00:01:05.320]  又叫我們來這邊
[00:01:05.320 --> 00:01:09.920]  我們為孫子過多的人就沒辦法拒絕
[00:01:09.920 --> 00:01:13.600]  這次就是飄流
[00:01:13.600 --> 00:01:16.560]  飄流到多倫多
[00:01:16.560 --> 00:01:20.440]  由多倫多飄流到新市
[00:01:20.440 --> 00:01:23.080]  來這裡也很近 二十分鐘
[00:01:23.920 --> 00:01:29.200]  好 今天主能夠飄流來到基督徒和弟兄姐妹
[00:01:29.200 --> 00:01:30.920]  一起分享的時候
[00:01:30.920 --> 00:01:34.280]  今天的講題就是
[00:01:34.280 --> 00:01:37.440]  今天的經文的重點就是
[00:01:37.440 --> 00:01:42.240]  你們上帝的國有多近
[00:01:42.240 --> 00:01:44.960]  可以這麼說 有多遠
[00:01:44.960 --> 00:01:46.840]  這麼近 那麼遠
[00:01:46.840 --> 00:01:49.600]  Are we there yet?
[00:01:50.040 --> 00:01:54.800]  到最後 如果有些螺絲釘
[00:01:54.800 --> 00:01:59.120]  有些小朋友跟著你去長途旅行
[00:01:59.120 --> 00:02:02.440]  你一定是聽到後面的人問你的
[00:02:02.440 --> 00:02:03.800]  兩個小朋友 三個小朋友說
[00:02:03.800 --> 00:02:07.360]  爸爸媽媽 阿公阿婆 阿爺阿嬤
[00:02:07.360 --> 00:02:08.960]  Are we there yet?
[00:02:08.960 --> 00:02:13.640]  有沒有人這樣聽過
[00:02:13.640 --> 00:02:14.920]  Are we there yet? 有吧
[00:02:14.920 --> 00:02:17.600]  那你會怎麼回答他呢
[00:02:17.920 --> 00:02:21.600]  你會說 還有一百二十一公里
[00:02:21.600 --> 00:02:23.680]  在路上吧
[00:02:23.680 --> 00:02:29.600]  不會的 因為小朋友是沒有地理距離的觀念的
[00:02:29.600 --> 00:02:33.040]  一百二十一公里是什麼來的呢
[00:02:33.040 --> 00:02:35.760]  你就會這樣回答他
[00:02:35.760 --> 00:02:38.200]  雖然還有八百公里 你就說
[00:02:38.200 --> 00:02:40.400]  就快到了
[00:02:40.400 --> 00:02:44.240]  很近的了
[00:02:47.240 --> 00:02:50.280]  其實遠和近是一個什麼概念呢
[00:02:50.280 --> 00:02:52.960]  在這段經文裡面
[00:02:52.960 --> 00:02:55.800]  不是一個地理概念
[00:02:55.800 --> 00:02:59.560]  是一個神學概念
[00:02:59.560 --> 00:03:01.800]  信仰概念
[00:03:01.800 --> 00:03:04.360]  是一個心靈的距離
[00:03:04.360 --> 00:03:07.520]  近一點
[00:03:07.520 --> 00:03:11.080]  因為多近多遠都是心靈的問題
[00:03:11.080 --> 00:03:13.480]  八百公里和一百公里
[00:03:13.480 --> 00:03:15.200]  視乎你用什麼心情去吧
[00:03:18.240 --> 00:03:22.920]  耶穌面對一個很友善的民事
[00:03:22.920 --> 00:03:24.440]  那時候在聖殿裡面
[00:03:24.440 --> 00:03:27.200]  有一群猶太人的領袖
[00:03:27.200 --> 00:03:31.880]  輪著來一群又一群的跟他辯論
[00:03:31.880 --> 00:03:34.920]  他想用一些刁鑽的問題
[00:03:34.920 --> 00:03:37.960]  用一些答YES又死
[00:03:37.960 --> 00:03:39.160]  答NO又死
[00:03:39.160 --> 00:03:41.240]  那些問題想弄死他
[00:03:41.240 --> 00:03:45.600]  但是耶穌就一一地回答
[00:03:45.840 --> 00:03:49.360]  令到其中一位民事很佩服他
[00:03:49.360 --> 00:03:51.120]  於是他就向前走了
[00:03:51.120 --> 00:03:53.040]  就問耶穌一個問題
[00:03:53.040 --> 00:03:56.800]  就是《誡命》當中第一是什麼呢
[00:03:56.800 --> 00:04:03.640]  然後耶穌就跟他有對答
[00:04:03.640 --> 00:04:05.440]  對答完之後
[00:04:05.440 --> 00:04:06.360]  耶穌就說
[00:04:06.360 --> 00:04:10.160]  「你離上帝不遠了」
[00:04:10.160 --> 00:04:12.560]  故事就是這麼簡單
[00:04:14.800 --> 00:04:17.640]  「離上帝的國有多遠呢」
[00:04:17.640 --> 00:04:22.800]  教堂或者我們這個列治文山堂
[00:04:22.800 --> 00:04:24.320]  聖基督堂
[00:04:24.320 --> 00:04:27.440]  可能是離天國最近的地方
[00:04:27.440 --> 00:04:28.480]  是不是啊
[00:04:28.480 --> 00:04:31.240]  怎麼沒有人回答我呢
[00:04:31.240 --> 00:04:32.840]  你離這裡最遠
[00:04:32.840 --> 00:04:34.520]  那麼你不會來這間吧
[00:04:34.520 --> 00:04:36.920]  那間是比較近的
[00:04:36.920 --> 00:04:40.880]  那你是不是覺得
[00:04:40.880 --> 00:04:44.720]  聖堂是離上帝國最近的地方呢
[00:04:44.800 --> 00:04:47.840]  (聖堂是離上帝國最近的地方)
[00:04:47.840 --> 00:04:48.440]  不要騙我了
[00:04:48.440 --> 00:04:50.000]  你當然是這麼想的
[00:04:50.000 --> 00:04:52.120]  你不會回頭的
[00:04:52.120 --> 00:04:56.200]  你們是不是比起在家裡聽直播的
[00:04:56.200 --> 00:04:57.320]  那些「大英之媒」
[00:04:57.320 --> 00:04:58.040]  是比較近的呢
[00:04:58.040 --> 00:05:02.920]  當然是比較近了
[00:05:02.920 --> 00:05:04.760]  那你聽直播了
[00:05:04.760 --> 00:05:07.520]  你是不是比起還在睡覺的
[00:05:07.520 --> 00:05:10.480]  那些那個
[00:05:10.480 --> 00:05:12.400]  他還沒起床
[00:05:14.000 --> 00:05:14.920]  你比起他是不是
[00:05:14.920 --> 00:05:15.800]  你又近一點
[00:05:15.800 --> 00:05:21.680]  這個信仰問題
[00:05:21.680 --> 00:05:25.480]  就是誡命哪條是第一呢
