
[00:00:00.000 --> 00:00:04.320]  大家好 首先我們有一個禱告
[00:00:04.320 --> 00:00:07.280]  天父我們求主你開我們的眼睛
[00:00:07.280 --> 00:00:09.540]  讓我們看到你律法的奇妙
[00:00:09.540 --> 00:00:12.060]  特別這段經文講到我們
[00:00:12.060 --> 00:00:15.600]  聖靈在我們生命裏面的工作是很大
[00:00:15.600 --> 00:00:18.560]  幫助我們怎樣去學習
[00:00:18.560 --> 00:00:19.900]  怎樣去信服聖靈
[00:00:19.900 --> 00:00:24.080]  以致我們的生命沒出不一樣的一種活潑
[00:00:24.080 --> 00:00:26.740]  我們多謝祢 祈禱奉主耶穌基督的名
[00:00:26.740 --> 00:00:28.980]  阿門
[00:00:28.980 --> 00:00:32.940]  我想每個基督徒都有一些掙扎
[00:00:32.940 --> 00:00:36.880]  我們一方面活在一個很現實的社會裏面
[00:00:36.880 --> 00:00:38.540]  我們很忙的生活
[00:00:38.540 --> 00:00:40.660]  我們有很多事情要擔憂
[00:00:40.660 --> 00:00:44.200]  另一方面我們又是一個屬靈的生命
[00:00:44.200 --> 00:00:46.920]  在教會裏面我們彼此學習成長
[00:00:46.920 --> 00:00:50.940]  有時我們的生命有很多事情要催促我們去做
[00:00:50.940 --> 00:00:53.140]  譬如有時我侍奉也是
[00:00:53.140 --> 00:00:55.440]  有時很趕急的時候
[00:00:55.440 --> 00:00:58.960]  本來想看聖經靈修一會兒
[00:00:58.960 --> 00:01:02.000]  很忙碌的侍奉
[00:01:02.000 --> 00:01:03.760]  可能說遲一點
[00:01:03.760 --> 00:01:07.000]  有時去到晚上
[00:01:07.000 --> 00:01:08.240]  我有些時間靜一靜
[00:01:08.240 --> 00:01:10.240]  不過很累了
[00:01:10.240 --> 00:01:12.740]  慢慢這樣
[00:01:12.740 --> 00:01:17.000]  這些當然我做牧師不是經常這樣
[00:01:17.000 --> 00:01:19.520]  不然大家說 哇 糟糕
[00:01:19.520 --> 00:01:22.300]  不過你要知道
[00:01:22.300 --> 00:01:23.620]  我們的生命或多或少
[00:01:23.620 --> 00:01:25.560]  我們都會經歷過這些掙扎
[00:01:25.560 --> 00:01:27.140]  我相信這個是我也有掙扎
[00:01:27.140 --> 00:01:28.980]  大家都有掙扎
[00:01:28.980 --> 00:01:32.080]  我們怎樣去看回我們屬靈的生命呢
[00:01:32.080 --> 00:01:33.300]  我們今天看這篇經文
[00:01:33.300 --> 00:01:34.600]  有一位人物
[00:01:34.600 --> 00:01:37.520]  撒瑪利亞婦人的一個情況
[00:01:37.520 --> 00:01:40.500]  你看到她為了生活很忙碌
[00:01:40.500 --> 00:01:42.100]  要拿水
[00:01:42.100 --> 00:01:47.380]  她的心裏面完全是生活上的需要
[00:01:47.380 --> 00:01:47.980]  很忙碌
[00:01:47.980 --> 00:01:55.060]  但屬靈的生命卻是看不到迫切性或重要性
[00:01:55.060 --> 00:01:57.380]  以至於耶穌基督跟她說了一番對話
[00:01:57.380 --> 00:02:01.800]  慢慢引導她從一個現實生活的情況
