
[00:00:00.000 --> 00:00:05.540]  剛剛過去的禮拜四是復活節之後的四十一
[00:00:05.540 --> 00:00:10.400]  也是傳統教會紀念耶穌升天的日子
[00:00:10.400 --> 00:00:16.700]  因為升天日通常都是禮拜四
[00:00:16.700 --> 00:00:19.400]  所以大家平日上班的時候
[00:00:19.400 --> 00:00:22.400]  一般教會不會有什麼特別的聚會
[00:00:22.400 --> 00:00:23.900]  因為大家來不及
[00:00:23.900 --> 00:00:28.400]  不過這是提醒我們
[00:00:28.400 --> 00:00:32.900]  耶穌基督是結束了在地上的時宮
[00:00:32.900 --> 00:00:36.600]  升到天上
[00:00:36.600 --> 00:00:38.700]  耶穌升天是表明
[00:00:38.700 --> 00:00:43.600]  從此以後沒有人在地上看見祂在走動
[00:00:43.600 --> 00:00:46.100]  或者耶穌在哪裡
[00:00:46.100 --> 00:00:48.300]  聽祂說話
[00:00:48.300 --> 00:00:51.600]  也不能夠有人宣稱
[00:00:51.600 --> 00:00:54.100]  耶穌的化身
[00:00:54.100 --> 00:00:57.400]  再來世界
[00:00:57.400 --> 00:01:01.400]  第一次基督來的時候就是猶太人耶穌
[00:01:01.400 --> 00:01:03.400]  現在這個時代就是我了
[00:01:03.400 --> 00:01:04.400]  基督來到了
[00:01:04.400 --> 00:01:06.900]  我就是祂的化身
[00:01:06.900 --> 00:01:10.400]  我今天是在韓國的
[00:01:10.400 --> 00:01:13.900]  韓國真的有些邪教是這樣宣稱的
[00:01:13.900 --> 00:01:16.900]  第一次基督來的時候就是猶太人
[00:01:16.900 --> 00:01:22.200]  第二次基督來的時候就是韓國人
[00:01:22.200 --> 00:01:26.100]  我們不是這樣看
[00:01:26.100 --> 00:01:30.300]  我們認為耶穌基督是同一位耶穌
[00:01:30.300 --> 00:01:31.900]  祂來到世界上面
[00:01:31.900 --> 00:01:34.200]  也是同一位耶穌會升天
[00:01:34.200 --> 00:01:35.600]  將來來到世界
[00:01:35.600 --> 00:01:36.800]  再來世界的時候
[00:01:36.800 --> 00:01:39.400]  也是那位耶穌
[00:01:39.400 --> 00:01:42.900]  所以《約翰福音》第三章第十三節
[00:01:42.900 --> 00:01:45.400]  除了從天降下的人子
[00:01:45.400 --> 00:01:48.300]  沒有人升過天
[00:01:48.300 --> 00:01:50.200]  這裡是指人子耶穌基督
[00:01:50.200 --> 00:01:53.100]  本來是來自天上的
