
[00:00:00.000 --> 00:00:09.000]  (安息)
[00:00:09.000 --> 00:00:13.600]  弟兄姊妹,現在我們一起以以下的禱文同心禱告
[00:00:30.000 --> 00:00:35.440]  祢也傳言知道我們心裡所記掛、所憂心的事情
[00:00:35.440 --> 00:00:36.960]  求祢教導我們
[00:00:36.960 --> 00:00:40.880]  使我們懂得如何將這些憂慮、愁煩
[00:00:40.880 --> 00:00:42.480]  帶到祢的面前
[00:00:42.480 --> 00:00:44.120]  求祢憐憫我們
[00:00:44.120 --> 00:00:47.920]  幫我們除去這些困擾著我們的事情
[00:00:47.920 --> 00:00:50.480]  並且賜下祢的平安
[00:00:50.480 --> 00:00:54.560]  主啊,求祢幫助我們重拾對祢的信心
[00:00:54.560 --> 00:01:00.480]  因為祢必救我們脫離報鳥人的網羅和毒害的瘟疫
[00:01:00.480 --> 00:01:03.440]  祢要為我們吩咐祢的使者
[00:01:03.440 --> 00:01:06.640]  在我們行過的道路上保護我們
[00:01:06.640 --> 00:01:08.960]  求祢遂聽我們的哀求
[00:01:08.960 --> 00:01:11.600]  奉主耶穌基督的名祈求
[00:01:11.600 --> 00:01:13.600]  阿們
[00:01:13.600 --> 00:01:16.960]  弟兄姊妹,如果你有感動的話
[00:01:16.960 --> 00:01:19.680]  可以向其他人送上你的慰問
[00:01:19.680 --> 00:01:21.440]  就算你戴著口罩
[00:01:21.440 --> 00:01:26.080]  也可以用眼神來表達你的笑容和關懷
