
[00:00:00.000 --> 00:00:01.740]  在這個黑暗的世界裡面
[00:00:01.740 --> 00:00:04.200]  我們一起的禱告
[00:00:04.200 --> 00:00:08.040]  天父我們求祢使用以下的時間
[00:00:08.040 --> 00:00:11.800]  祢的聖靈在我們會總當中運行
[00:00:11.800 --> 00:00:13.200]  無論在家庭裡面
[00:00:13.200 --> 00:00:14.680]  無論在不同的地方
[00:00:14.680 --> 00:00:16.160]  在教會
[00:00:16.160 --> 00:00:19.160]  主比我們同被聖靈的感動
[00:00:19.160 --> 00:00:21.360]  一同領受祢自己的話語
[00:00:21.360 --> 00:00:23.080]  一起得著幫助
[00:00:23.080 --> 00:00:25.160]  看到我們自己的角色
[00:00:25.160 --> 00:00:26.560]  求祢帶領我們
[00:00:26.560 --> 00:00:28.340]  祈禱奉主耶穌基督的名
[00:00:28.340 --> 00:00:30.080]  祢的聖靈在我們身上
[00:00:30.080 --> 00:00:32.080]  祢的聖靈在我們身上
[00:00:32.080 --> 00:00:34.080]  祢的聖靈在我們身上
[00:00:34.080 --> 00:00:36.080]  祢的聖靈在我們身上
[00:00:36.080 --> 00:00:38.080]  祢的聖靈在我們身上
[00:00:38.080 --> 00:00:40.080]  祢的聖靈在我們身上
[00:00:40.080 --> 00:00:42.080]  祢的聖靈在我們身上
[00:00:42.080 --> 00:00:44.080]  祢的聖靈在我們身上
[00:00:44.080 --> 00:00:46.080]  祢的聖靈在我們身上
[00:00:46.080 --> 00:00:48.080]  祢的聖靈在我們身上
[00:00:48.080 --> 00:00:50.080]  祢的聖靈在我們身上
[00:00:50.080 --> 00:00:52.080]  祢的聖靈在我們身上
[00:00:52.080 --> 00:00:54.080]  祢的聖靈在我們身上
[00:00:54.080 --> 00:00:56.080]  祢的聖靈在我們身上
[00:00:56.080 --> 00:00:58.080]  祢的聖靈在我們身上
[00:00:58.080 --> 00:01:00.080]  祢的聖靈在我們身上
[00:01:00.080 --> 00:01:02.080]  祢的聖靈在我們身上
[00:01:02.080 --> 00:01:04.080]  祢的聖靈在我們身上
[00:01:04.080 --> 00:01:06.080]  祢的聖靈在我們身上
[00:01:06.080 --> 00:01:08.080]  祢的聖靈在我們身上
[00:01:08.080 --> 00:01:10.080]  祢的聖靈在我們身上
[00:01:10.080 --> 00:01:12.080]  祢的聖靈在我們身上
[00:01:12.080 --> 00:01:14.080]  祢的聖靈在我們身上
[00:01:14.080 --> 00:01:16.080]  祢的聖靈在我們身上
[00:01:16.080 --> 00:01:18.080]  祢的聖靈在我們身上
[00:01:18.080 --> 00:01:20.080]  祢的聖靈在我們身上
[00:01:20.080 --> 00:01:22.080]  祢的聖靈在我們身上
[00:01:22.080 --> 00:01:24.080]  祢的聖靈在我們身上
[00:01:24.080 --> 00:01:26.080]  祢的聖靈在我們身上
[00:01:26.080 --> 00:01:28.080]  祢的聖靈在我們身上
[00:01:28.080 --> 00:01:30.080]  祢的聖靈在我們身上
[00:01:30.080 --> 00:01:32.080]  祢的聖靈在我們身上
[00:01:32.080 --> 00:01:34.080]  祢的聖靈在我們身上
[00:01:34.080 --> 00:01:36.080]  祢的聖靈在我們身上
[00:01:36.080 --> 00:01:38.080]  祢的聖靈在我們身上
[00:01:38.080 --> 00:01:40.080]  祢的聖靈在我們身上
[00:01:40.080 --> 00:01:42.080]  祢的聖靈在我們身上
