
[00:00:00.000 --> 00:00:03.800]  感謝陳美娥在這裡跟大家分享她的說話
[00:00:03.800 --> 00:00:10.680]  我講到英文的style 形式或者習慣
[00:00:10.680 --> 00:00:16.700]  希望台下的會眾也有一些反應
[00:00:16.700 --> 00:00:22.680]  大家對話上的交流有什麼好處呢?
[00:00:22.680 --> 00:00:25.920]  當我說問你問題你有反應的時候
[00:00:25.920 --> 00:00:29.720]  表示你專心聽我說 支持我
[00:00:29.720 --> 00:00:34.560]  另外 如果你有反應的時候
[00:00:34.560 --> 00:00:37.400]  你就會覺得對這篇文章的角度
[00:00:37.400 --> 00:00:40.560]  是有深入的認識的
[00:00:40.560 --> 00:00:44.160]  大家一起祈禱
[00:00:44.160 --> 00:00:45.960]  天父我們多謝祢恩待我們
[00:00:45.960 --> 00:00:47.480]  求祢祝福我們
[00:00:47.480 --> 00:00:50.160]  讓我們在主的日子裡面
[00:00:50.160 --> 00:00:52.840]  能夠彼此心靈有相交
[00:00:52.840 --> 00:00:55.520]  與神的靈有相會
[00:00:55.520 --> 00:00:59.280]  以致我們能夠明白神的說話
[00:00:59.280 --> 00:01:01.160]  求天父您帶領我們
[00:01:01.160 --> 00:01:02.960]  讓講道的時候
[00:01:02.960 --> 00:01:06.080]  講和聽都能夠得到幫助
[00:01:06.080 --> 00:01:09.080]  奉耶穌名祈禱 阿們
[00:01:09.080 --> 00:01:12.400]  我想問 在這個世界上
[00:01:12.400 --> 00:01:16.040]  你心目中有多少種愛?
[00:01:16.040 --> 00:01:18.040]  你可以講 沒人講一樣
[00:01:18.040 --> 00:01:20.040]  有多少種愛?
[00:01:20.040 --> 00:01:23.440]  不是 我講世上
[00:01:23.440 --> 00:01:28.280]  父母愛 朋友愛
[00:01:28.280 --> 00:01:31.800]  家人、兄弟、姐妹愛
[00:01:31.800 --> 00:01:36.080]  男女的愛 夫妻的愛
[00:01:36.080 --> 00:01:39.960]  還有沒有?是鄰舍的愛
[00:01:39.960 --> 00:01:41.840]  大家想想
[00:01:41.840 --> 00:01:45.600]  在我們剛才所講的所有的愛裡面
[00:01:45.600 --> 00:01:49.480]  有一樣共同的特質是什麼?
[00:01:49.480 --> 00:01:53.640]  有沒有想到?人是一種
[00:01:53.640 --> 00:01:56.280]  有關係是一種
[00:01:56.280 --> 00:02:00.040]  還有一種很特別的東西
[00:02:00.040 --> 00:02:04.160]  付出
[00:02:04.160 --> 00:02:07.120]  但是有一樣的東西
[00:02:07.120 --> 00:02:10.840]  這個愛不是永恆的 是吧?
[00:02:10.840 --> 00:02:12.920]  有時候你會說 我愛我的老公
[00:02:12.920 --> 00:02:14.920]  我愛我的太太
[00:02:14.920 --> 00:02:17.080]  但是在這些環境裡面
[00:02:17.080 --> 00:02:19.640]  是會影響你對她的愛的
[00:02:19.640 --> 00:02:24.040]  可能你會失去這種愛的 是吧?
[00:02:24.040 --> 00:02:25.920]  所以現在我們要說
[00:02:25.920 --> 00:02:30.240]  究竟我們怎樣去保持我們世間
[00:02:30.240 --> 00:02:33.240]  人與人之間的愛
[00:02:33.240 --> 00:02:36.840]  能夠保持到我們天父那裡
[00:02:36.840 --> 00:02:39.040]  我們要找一個方法
[00:02:39.040 --> 00:02:42.840]  讓我們對人的愛保持
[00:02:42.840 --> 00:02:47.680]  讓我們能夠見神、見耶穌、見到祂的時候
[00:02:47.680 --> 00:02:50.160]  我們毫無羞愧 是吧?
[00:02:50.160 --> 00:02:54.600]  所以我今天希望
[00:02:54.600 --> 00:02:56.400]  透過《養虎音》三章十六節
[00:02:56.400 --> 00:02:58.400]  大家都很熟悉的了
[00:02:58.400 --> 00:03:01.200]  我在這一節裡面
[00:03:01.200 --> 00:03:04.680]  我們要找出怎樣去愛人
[00:03:04.680 --> 00:03:06.480]  怎樣去愛神
[00:03:06.480 --> 00:03:13.000]  怎樣保持我們愛人愛神的心
[00:03:13.000 --> 00:03:14.840]  神愛世人
[00:03:14.840 --> 00:03:20.480]  這個愛是什麼愛呢?
[00:03:20.480 --> 00:03:22.680]  這個愛是薄愛
[00:03:22.680 --> 00:03:24.920]  就是說無論你是什麼膚色
[00:03:24.920 --> 00:03:26.400]  你是什麼人種
[00:03:26.400 --> 00:03:27.960]  你是什麼階級
[00:03:27.960 --> 00:03:30.680]  你是什麼人
[00:03:30.680 --> 00:03:33.680]  凡人好 有錢好 窮人好
[00:03:33.680 --> 00:03:35.560]  神都說我愛你
[00:03:35.560 --> 00:03:38.040]  如果你有愛 很有趣的
