
[00:00:00.000 --> 00:00:02.000]  我們一起低頭祈禱吧
[00:00:30.000 --> 00:00:34.000]  讓無論聽的或說的都得著上主理的教導
[00:00:34.000 --> 00:00:37.000]  我們這樣禱告奉主耶穌的獨特性的名祈求
[00:00:37.000 --> 00:00:39.000]  阿們
[00:00:39.000 --> 00:00:41.000]  我們今天讀的經文
[00:00:41.000 --> 00:00:44.000]  剛才主席也幫我們讀了
[00:00:44.000 --> 00:00:47.000]  我相信大家一點也不陌生
[00:00:47.000 --> 00:00:49.000]  如果回教會很久
[00:00:49.000 --> 00:00:52.000]  是先知爾賽亞蒙召的經文
[00:00:52.000 --> 00:00:55.000]  通常在教會裏面的猜拳主日
[00:00:55.000 --> 00:00:57.000]  或者宣教士猜顯禮
[00:00:57.000 --> 00:00:59.000]  或者宣教士回來分享的時候
[00:00:59.000 --> 00:01:01.000]  我們會中毒
[00:01:01.000 --> 00:01:03.000]  很多呢
[00:01:03.000 --> 00:01:06.000]  不知道你是否熟悉爾賽亞的侍奉
[00:01:06.000 --> 00:01:09.000]  其實很多有著作的先知
[00:01:09.000 --> 00:01:11.000]  都會在書的一開始
[00:01:11.000 --> 00:01:14.000]  就說自己的蒙召經歷
[00:01:14.000 --> 00:01:16.000]  但是爾賽亞書很特別
[00:01:16.000 --> 00:01:19.000]  爾賽亞沒有將自己的蒙召經歷
[00:01:19.000 --> 00:01:21.000]  第一章裏面說出來
[00:01:21.000 --> 00:01:23.000]  反而留到第六章
[00:01:23.000 --> 00:01:25.000]  可見爾賽亞將耶華的信息
[00:01:25.000 --> 00:01:27.000]  都放在首位
[00:01:27.000 --> 00:01:29.000]  自己的經歷
[00:01:29.000 --> 00:01:31.000]  要在第六章才說出來
[00:01:31.000 --> 00:01:33.000]  剛才主席幫我們讀的時候
[00:01:33.000 --> 00:01:35.000]  一開始經文是這樣說
[00:01:35.000 --> 00:01:39.000]  當烏西亞王賓的那一年
[00:01:39.000 --> 00:01:42.000]  原來爾賽亞蒙召的時候
[00:01:42.000 --> 00:01:44.000]  就是這一年
[00:01:44.000 --> 00:01:46.000]  烏西亞王賓的那一年
[00:01:46.000 --> 00:01:48.000]  清楚告訴我們
[00:01:48.000 --> 00:01:51.000]  爾賽亞蒙召的年份
[00:01:51.000 --> 00:01:53.000]  首先我要交代一下
[00:01:53.000 --> 00:01:55.000]  烏西亞是誰
[00:01:55.000 --> 00:01:58.000]  今天會講多一點歷史
[00:01:58.000 --> 00:02:00.000]  希望大家有耐心去聽
