
[00:00:00.000 --> 00:00:02.000]  逢秋季我們都知道
[00:00:02.000 --> 00:00:04.000]  我們掛會三堂
[00:00:04.000 --> 00:00:06.000]  都會是有同一個
[00:00:06.000 --> 00:00:08.000]  讀同一部書
[00:00:08.000 --> 00:00:11.000]  我們知道其實今年我們是讀馬太福音
[00:00:11.000 --> 00:00:12.000]  在今年的開始
[00:00:12.000 --> 00:00:15.000]  我其實已經和大家講了《主土文》
[00:00:15.000 --> 00:00:17.000]  是馬太福音第五章
[00:00:17.000 --> 00:00:19.000]  今天要和大家講的是
[00:00:19.000 --> 00:00:22.000]  馬太福音第十三章
[00:00:22.000 --> 00:00:23.000]  天國的比喻
[00:00:23.000 --> 00:00:26.000]  一個相信是大家很熟悉的
[00:00:26.000 --> 00:00:28.000]  一些比喻
[00:00:28.000 --> 00:00:30.000]  但是和我們所講但爾利書
[00:00:30.000 --> 00:00:32.000]  又不是完全沒有關係
[00:00:32.000 --> 00:00:34.000]  如果大家還記得的話
[00:00:34.000 --> 00:00:35.000]  我說過
[00:00:35.000 --> 00:00:37.000]  舊約先知都看不到
[00:00:37.000 --> 00:00:39.000]  我們有一段時間
[00:00:39.000 --> 00:00:42.000]  這段時間是什麼
[00:00:42.000 --> 00:00:44.000]  是我們現在教會的時期
[00:00:44.000 --> 00:00:46.000]  是舊約先知看不到
[00:00:46.000 --> 00:00:50.000]  而這個天國的奧祕所講的
[00:00:50.000 --> 00:00:53.000]  就是正正是這段時間
[00:00:53.000 --> 00:00:55.000]  是舊約先知所看不到
[00:00:55.000 --> 00:00:57.000]  所以你想在舊約去找
[00:00:57.000 --> 00:01:00.000]  究竟有關現在我們這個奧祕天國
[00:01:00.000 --> 00:01:02.000]  的情形究竟是怎樣
[00:01:02.000 --> 00:01:03.000]  你找不到
[00:01:03.000 --> 00:01:05.000]  在馬太福音第十三章
[00:01:05.000 --> 00:01:08.000]  我們見到耶穌基督親自來教我們
[00:01:08.000 --> 00:01:09.000]  這個天國
[00:01:09.000 --> 00:01:11.000]  這個奧祕的天國
[00:01:11.000 --> 00:01:13.000]  是會怎樣
[00:01:13.000 --> 00:01:17.000]  其實到了馬太福音第十三章
[00:01:17.000 --> 00:01:21.000]  猶太人已經是拒絕接受他們的王
[00:01:21.000 --> 00:01:24.000]  我們知道馬太這個作者
[00:01:24.000 --> 00:01:27.000]  他是很小心地描述
[00:01:27.000 --> 00:01:30.000]  耶穌基督就是猶太人的王
[00:01:30.000 --> 00:01:31.000]  在第一章
[00:01:31.000 --> 00:01:35.000]  他告訴我們耶穌基督的家譜
[00:01:35.000 --> 00:01:37.000]  耶穌基督是大魏的後人
