
[00:00:00.000 --> 00:00:02.520]  今天給弟兄姊妹分享的題目是
[00:00:02.520 --> 00:00:04.880]  恕難從命
[00:00:04.880 --> 00:00:06.880]  還有一個問號
[00:00:06.880 --> 00:00:09.240]  我們常常所講的寬恕
[00:00:09.240 --> 00:00:10.960]  我不曉得弟兄姊妹
[00:00:10.960 --> 00:00:14.880]  會不會覺得這個是非常困難的一件事情
[00:00:14.880 --> 00:00:17.480]  我們來放眼這個世界
[00:00:17.480 --> 00:00:18.840]  看到這個世界的格局
[00:00:18.840 --> 00:00:20.760]  現在的這個情況就是
[00:00:20.760 --> 00:00:22.520]  因為你看大的方面
[00:00:22.520 --> 00:00:23.960]  我與國之間的戰爭
[00:00:23.960 --> 00:00:26.720]  其實也是因為仇恨
[00:00:26.720 --> 00:00:29.000]  沒有寬恕所帶來的
[00:00:29.000 --> 00:00:31.160]  從小的方面來看
[00:00:31.160 --> 00:00:32.640]  小到一個家庭
[00:00:32.640 --> 00:00:34.640]  家庭裡面的糾紛
[00:00:34.640 --> 00:00:37.280]  家庭成員之間的這種的矛盾
[00:00:37.280 --> 00:00:38.960]  撕裂等等
[00:00:38.960 --> 00:00:42.200]  都是因為沒有這個堯數在當中
[00:00:42.200 --> 00:00:45.200]  所以呢 會越演越烈
[00:00:45.200 --> 00:00:46.680]  有很多的問題不能解決
[00:00:46.680 --> 00:00:48.680]  所以不管是從小到大
[00:00:48.680 --> 00:00:49.800]  還是從大到小
[00:00:49.800 --> 00:00:50.960]  都是同樣的問題
[00:00:50.960 --> 00:00:54.840]  就是當中沒有真正的堯數
[00:00:54.840 --> 00:00:57.520]  但是要做到真正的堯數是何等的困難
[00:00:57.520 --> 00:00:59.560]  我們都深有體會
[00:00:59.560 --> 00:01:04.560]  最近大家知道日本有一個很出名的漫畫家
[00:01:04.560 --> 00:01:06.960]  叫鳥三菱 有聽過嗎
[00:01:06.960 --> 00:01:09.680]  我相信你應該有看過他的作品
[00:01:09.680 --> 00:01:11.280]  叫《七龍珠》
[00:01:11.280 --> 00:01:14.200]  有看過《七龍珠》的可以舉一下手嗎
[00:01:14.200 --> 00:01:15.400]  哇 還不少
[00:01:15.400 --> 00:01:20.080]  有一些真的出乎我的預料
[00:01:20.080 --> 00:01:21.760]  這個《七龍珠》也是我小時候
[00:01:21.760 --> 00:01:24.920]  很喜歡看的一個動畫片吧
[00:01:24.920 --> 00:01:28.360]  它是從漫畫後來搬上電視的屏幕
[00:01:28.360 --> 00:01:33.240]  一個很長的連續的一個動漫
[00:01:33.240 --> 00:01:36.360]  然後我小時候也是看著它長大的
[00:01:36.360 --> 00:01:39.200]  所以也蠻受這部漫畫的影響
[00:01:39.200 --> 00:01:42.240]  也是我最喜歡的一部漫畫吧
[00:01:42.240 --> 00:01:45.640]  那當中當然這個主角叫孫悟空
[00:01:45.640 --> 00:01:50.040]  他是也用了我們中國的西遊記的人物的名字
[00:01:50.040 --> 00:01:51.840]  孫悟空在當中
[00:01:51.840 --> 00:01:55.040]  他的個性是我蠻佩服的一個人
[00:01:55.040 --> 00:01:57.960]  你知道他一次又一次又一次
[00:01:57.960 --> 00:02:00.040]  拯救了世界很多次
[00:02:00.040 --> 00:02:02.520]  每次到最後都是他出手
[00:02:02.520 --> 00:02:04.160]  但是到最後呢
[00:02:04.160 --> 00:02:09.440]  結果別人都不知道原來是他拯救了世界
[00:02:09.440 --> 00:02:12.240]  都說是那個撒旦先生
[00:02:12.240 --> 00:02:17.920]  撒旦先生竊取了他英雄的位分
[00:02:17.920 --> 00:02:20.560]  因為所有的人都以為是撒旦打敗那個
[00:02:20.560 --> 00:02:22.520]  摸人樸屋的
[00:02:22.520 --> 00:02:26.920]  但是其實只有少數人知道原來是孫悟空打敗的
[00:02:26.920 --> 00:02:31.800]  但是我看到不管是多少次他打敗敵人也好
[00:02:31.800 --> 00:02:33.520]  他最後他都是很樂觀
[00:02:33.520 --> 00:02:37.160]  而且他都能夠寬恕他的敵人
[00:02:37.160 --> 00:02:40.480]  就跟他打來打去的那些敵人
[00:02:40.480 --> 00:02:44.920]  到最後就算他消滅了那個摸人樸屋之後
[00:02:44.920 --> 00:02:46.320]  他還是許了個願
[00:02:46.320 --> 00:02:48.680]  希望他來世可以再來
[00:02:48.680 --> 00:02:50.480]  他跟他再比武
[00:02:50.480 --> 00:02:53.120]  結果後來的最後一集呢
[00:02:53.120 --> 00:02:55.600]  這個場景就是真的他轉世出來了
[00:02:55.600 --> 00:02:57.120]  跟他再比武
[00:02:57.120 --> 00:03:00.280]  那前面的他所打敗過的敵人
[00:03:00.280 --> 00:03:01.600]  很多的敵人呢
[00:03:01.600 --> 00:03:05.720]  最後因著他的那個人格的那種感染力
[00:03:05.720 --> 00:03:07.120]  都成為他很好的朋友
