
[00:00:00.000 --> 00:00:04.000]  主位弟兄姊妹平安。
[00:00:04.000 --> 00:00:10.000]  看見你們的笑容就曉得過去的六天神弟學的慈恩福給你,對嗎?
[00:00:10.000 --> 00:00:13.000]  特別當中有一對夫婦,興奮的夫婦,
[00:00:13.000 --> 00:00:17.000]  真的在他們有榮美的安排,
[00:00:17.000 --> 00:00:22.000]  結婚是一個很喜樂的事,結婚以後是一個很難的事。
[00:00:22.000 --> 00:00:26.000]  我願神在當中加倍的賜下恩眷。
[00:00:26.000 --> 00:00:31.000]  我們一起來禱告,願我們在主的裡面找到我們的身份,
[00:00:31.000 --> 00:00:35.000]  我們的意義,我們的價值,跟我們的理想。
[00:00:35.000 --> 00:00:41.000]  親愛的主耶穌,今天在你的手中,我們又再次的看到主你的榮美。
[00:00:41.000 --> 00:00:48.000]  不知何時我們接受了神的感動,我們成為蒙愛的兒女。
[00:00:48.000 --> 00:00:53.000]  不知何時,當我們在生活困倦的時候,
[00:00:53.000 --> 00:00:58.000]  主應祝聖靈又給我們有信心,也有盼望,
[00:00:58.000 --> 00:01:01.000]  度過一次又一次的難處。
[00:01:01.000 --> 00:01:06.000]  不知如何的,主祢把我們安放在淑麟的家鄉裡面。
[00:01:06.000 --> 00:01:13.000]  就在我們飄蕩無際的時候,主祢親自的向我們說話,
[00:01:13.000 --> 00:01:15.000]  呼喚又檢選了我們。
[00:01:15.000 --> 00:01:19.000]  我們不曉得那個時候是怎麼樣而來的,
[00:01:19.000 --> 00:01:22.000]  但是我們卻深深的相信,
[00:01:22.000 --> 00:01:28.000]  主持定永遠的計畫,就在我們的生命中發現。
[00:01:28.000 --> 00:01:35.000]  感謝在美主繼續的把永傳的旨意放在暫時的人的身上。
[00:01:35.000 --> 00:01:38.000]  感謝在美主在蒙愛的家中,
[00:01:38.000 --> 00:01:42.000]  看見你不住的在我們手中來做工,
[00:01:42.000 --> 00:01:48.000]  不住的應做主你對我們的慈愛,對我們的呼喚跟說召,
[00:01:48.000 --> 00:01:52.000]  你井然把我們成為世上的見證人。
[00:01:52.000 --> 00:01:55.000]  這個莫大的恩典跟慈愛,
[00:01:55.000 --> 00:01:59.000]  當我們仰望為我們被釘死的十字架,
[00:01:59.000 --> 00:02:03.000]  當我們看見寶穴被揉出去的時候,
[00:02:03.000 --> 00:02:07.000]  我們的心起步產生了感謝跟讚美。
[00:02:07.000 --> 00:02:13.000]  願我們今天應做你的愛,再次的被吸引,圍繞在至聖的寶座上。
[00:02:13.000 --> 00:02:22.000]  在主恩典的生命的蘊核中,再次的飽飽得著神自己的慈愛。
[00:02:22.000 --> 00:02:29.000]  我們在這個月開次,一起來進入出埃及記的神的話語裡面,
[00:02:29.000 --> 00:02:33.000]  讓那一些我們心裡面不敢接受的地方,
[00:02:33.000 --> 00:02:35.000]  主你賜下了智慧,
[00:02:35.000 --> 00:02:42.000]  讓我們能夠一起在神的面前走進信仰的道路。
[00:02:42.000 --> 00:02:47.000]  把那些福音朋友生命中一切的需要仰望在你的面前,
[00:02:47.000 --> 00:02:51.000]  生活可以給我們打倒,
[00:02:51.000 --> 00:02:53.000]  我願我們的生命在神的面前,
[00:02:53.000 --> 00:02:56.000]  接受他堅固的栽培,
[00:02:56.000 --> 00:02:59.000]  卻能夠抵禦世上一切的風暴。
[00:02:59.000 --> 00:03:02.000]  主啊,再次的來幫助我們,
