
[00:00:00.000 --> 00:00:07.940]  好,剛才讀了七十一節,累不累?
[00:00:07.940 --> 00:00:17.340]  如果約翰用這麼長的篇幅去記載這件事,
[00:00:17.340 --> 00:00:24.580]  五秉二語,再用這麼長的篇幅去解釋,
[00:00:24.580 --> 00:00:28.640]  一定很重要!一定很重要!
[00:00:28.640 --> 00:00:32.060]  不過其實不容易的,
[00:00:32.060 --> 00:00:37.360]  因為他最初講了,很多人跟耶穌,
[00:00:37.360 --> 00:00:42.480]  五千個還沒有計算婦女,
[00:00:42.480 --> 00:00:49.220]  然後他就退,因為那些人要監他做王,
[00:00:49.220 --> 00:00:58.460]  五千多人是可以組成一隊叛變的兵,
[00:00:58.460 --> 00:01:02.780]  當時很多人都很想復興以色列國,
[00:01:02.780 --> 00:01:06.000]  這個很厲害呀!
[00:01:06.000 --> 00:01:08.500]  強逼他做王,
[00:01:08.500 --> 00:01:15.540]  其實我都不明白為什麼可以有五千以上的人去聽,
[00:01:15.540 --> 00:01:21.380]  但是他跟著離開,然後經過海,
[00:01:21.380 --> 00:01:25.540]  證明他是萬有之主,然後去加拔羅,
[00:01:25.540 --> 00:01:29.360]  然後到加拜農,但都有人跟著他,
[00:01:29.360 --> 00:01:34.420]  而且那裡還形容這班人是門徒,
[00:01:34.420 --> 00:01:36.820]  於是他就解話了,
[00:01:36.820 --> 00:01:40.700]  因為約翰是很清楚的,
[00:01:40.700 --> 00:01:47.540]  他用神蹟這個字是sign,是記號,
[00:01:47.540 --> 00:01:53.660]  最重要不是發生的那些,是那些代表什麼,
[00:01:53.660 --> 00:01:56.200]  耶穌很稀奇,
[00:01:56.200 --> 00:02:01.900]  杜拉美那些人都不是為神蹟而來,
[00:02:01.900 --> 00:02:07.960]  他是很厲害的,為食物而來的人,
[00:02:07.960 --> 00:02:12.500]  很傷心,他就跟這班人解釋,
[00:02:12.500 --> 00:02:16.900]  很詳細地解釋,為什麼會有這個神蹟,
[00:02:16.900 --> 00:02:21.520]  然後他是誰,講完之後,
[00:02:21.520 --> 00:02:24.980]  你猜反應是怎樣?
[00:02:24.980 --> 00:02:31.780]  那些人聽了,都很難聽下去的,
[00:02:31.780 --> 00:02:51.220]  都是廣東話翻譯得好,是很難忍受的,
[00:02:51.220 --> 00:02:57.920]  主耶穌再解釋,我戰戰兢兢,
[00:02:57.920 --> 00:03:02.420]  其實今天來到第七晚,我每晚都很震驚,
[00:03:02.420 --> 00:03:07.280]  因為神的話,真的重要,
[00:03:07.280 --> 00:03:12.400]  但是不容易聽的,更加不容易明白,
[00:03:12.400 --> 00:03:15.000]  更不容易活出來,
[00:03:15.000 --> 00:03:18.720]  所以我將榮耀歸給主,
[00:03:18.720 --> 00:03:27.240]  我如往事一樣,我都要看看你有沒有請親友來,
[00:03:27.240 --> 00:03:31.520]  我每晚都請你請親友來,
[00:03:31.520 --> 00:03:37.720]  真的,主耶穌都說有筵席,你愛的人你請他們來,
[00:03:37.720 --> 00:03:41.440]  如果有請親友來的,請舉手,
[00:03:41.440 --> 00:03:45.000]  舉高一點給我看一下,
[00:03:45.000 --> 00:03:49.440]  我可惜見不到另外那五十幾點,
[00:03:49.440 --> 00:03:52.520]  我要多謝我的家人,
[00:03:52.520 --> 00:04:02.500]  我媽媽不能每天晚上來,兒子,媳婦,妹妹,弟弟,親戚,
[00:04:02.500 --> 00:04:11.260]  我的媳婦的親戚,不告訴你,多謝主和他們一起。
[00:04:11.260 --> 00:04:19.400]  再一次,總題是什麼?榮耀三一神,
[00:04:19.400 --> 00:04:27.480]  接著是什麼?更新,革新,一切榮耀都歸給祂,
[00:04:27.480 --> 00:04:32.400]  我們同心禱告,真的主我們仰望禰,
[00:04:32.400 --> 00:04:35.080]  一切的榮耀都是從禰而來,
[00:04:35.080 --> 00:04:41.480]  但禰選擇在禰的子民身上,在禰的兒女身上,
[00:04:41.480 --> 00:04:45.360]  在禰的教會當中彰顯禰的榮耀,
[00:04:45.360 --> 00:04:48.400]  我們很不配,但我們在這裡,
