
[00:00:00.000 --> 00:00:04.980]  我們今天講到的經文是《馬克福音》第九章四十二到五十節
[00:00:04.980 --> 00:00:08.180]  在你程序的第三頁
[00:00:08.180 --> 00:00:11.540]  我們找到的我們一起去重讀
[00:00:11.540 --> 00:00:13.580]  這七節的經文
[00:00:13.580 --> 00:00:16.000]  好 我們一起去重讀
[00:00:16.000 --> 00:00:20.540]  「凡是這些信我的小子中的一個跌倒的
[00:00:20.540 --> 00:00:22.480]  倒不如把大磨石
[00:00:22.480 --> 00:00:25.060]  山在這人的頸項上
[00:00:25.060 --> 00:00:26.580]  泯在海裏
[00:00:26.580 --> 00:00:29.260]  如果你一隻手使你跌倒
[00:00:29.260 --> 00:00:31.260]  就把他撼下來
[00:00:31.260 --> 00:00:33.660]  你缺一隻手進入永生
[00:00:33.660 --> 00:00:35.960]  彼有兩隻手落到地獄
[00:00:35.960 --> 00:00:39.000]  任那不滅的火裏去還好
[00:00:39.000 --> 00:00:41.580]  如果你一隻腳使你跌倒
[00:00:41.580 --> 00:00:43.340]  就把他撼下來
[00:00:43.340 --> 00:00:45.580]  彼騎腿進入永生
[00:00:45.580 --> 00:00:49.320]  彼有兩隻腳被拎進地獄裏還好
[00:00:49.320 --> 00:00:51.980]  如果你一隻眼使你跌倒
[00:00:51.980 --> 00:00:53.500]  就去掉他
[00:00:53.500 --> 00:00:56.460]  你只有一隻眼進入神的國
[00:00:56.460 --> 00:01:00.380]  彼有兩隻眼被拎進地獄裏還好
[00:01:00.380 --> 00:01:02.920]  在那裏從事不死的
[00:01:02.920 --> 00:01:04.520]  火是不滅的
[00:01:04.520 --> 00:01:08.920]  因為每個人必被火像鹽一樣醃起來
[00:01:08.920 --> 00:01:10.620]  鹽本是好的
[00:01:10.620 --> 00:01:12.200]  若失了味
[00:01:12.200 --> 00:01:15.060]  你們怎能用他調味呢?
[00:01:15.060 --> 00:01:17.180]  你們中間要有鹽
[00:01:17.180 --> 00:01:18.840]  彼此和睦」
[00:01:18.840 --> 00:01:21.260]  我們再一次同心禱告
[00:01:21.260 --> 00:01:24.000]  天父我們仰望祢
[00:01:24.000 --> 00:01:26.000]  求祢令我們同在
[00:01:26.680 --> 00:01:28.680]  讓我們明白祢的話語
[00:01:28.680 --> 00:01:31.120]  讓祢的話語改變更新
[00:01:31.120 --> 00:01:33.480]  以致我們的生命不再一樣
[00:01:33.480 --> 00:01:35.480]  能夠土地起源
[00:01:35.480 --> 00:01:37.960]  禱告仰望奉耶穌基督的聖名
[00:01:37.960 --> 00:01:38.960]  阿門
[00:01:38.960 --> 00:01:42.900]  在幾年前我初初來到窩福
[00:01:42.900 --> 00:01:45.420]  我負責的部門叫做E1
[00:01:45.420 --> 00:01:47.780]  即是傳福音的部門
[00:01:47.780 --> 00:01:51.480]  包括要負責每年有三次的水禮
[00:01:51.480 --> 00:01:55.300]  要做一本叫做《新蒲見證集》
[00:01:55.300 --> 00:01:59.340]  每一次要看完每一篇的見證
[00:01:59.340 --> 00:02:02.360]  這兩年我要寫《新蒲見證集》的序
[00:02:02.360 --> 00:02:04.800]  就是每一篇都要看完
[00:02:04.800 --> 00:02:06.520]  所以這幾年我大大話話
[00:02:06.520 --> 00:02:11.600]  都看了幾百篇水禮的見證
[00:02:11.600 --> 00:02:13.880]  很多見證都很感動
[00:02:13.880 --> 00:02:16.380]  很真實、很感動
[00:02:16.380 --> 00:02:18.560]  但我發現有一個現象
[00:02:18.560 --> 00:02:20.460]  大部分的見證
[00:02:20.460 --> 00:02:26.480]  都是說他信耶穌是經歷了神的恩典
[00:02:26.480 --> 00:02:30.940]  有病的得到神的眷顧、醫治
[00:02:30.940 --> 00:02:34.920]  心靈軟弱的得到神的鼓勵、加力
[00:02:34.920 --> 00:02:37.040]  在苦難裏面的
[00:02:37.040 --> 00:02:40.540]  神怎樣保守祝福他
[00:02:40.540 --> 00:02:42.980]  因著神的恩典、因著神的愛
[00:02:42.980 --> 00:02:44.860]  他決定信耶穌
[00:02:44.860 --> 00:02:49.140]  很多見證的內容都很類似
[00:02:49.140 --> 00:02:52.220]  這是真是好
[00:02:52.220 --> 00:02:56.120]  但我又想起我們信仰的起始點
[00:02:56.120 --> 00:02:58.360]  我們之所以會信耶穌
[00:02:58.360 --> 00:03:04.000]  一方面固然是出於耶穌基督的恩典和愛
[00:03:04.000 --> 00:03:05.580]  但另一方面
[00:03:05.580 --> 00:03:10.000]  都是出於我們承認我們有罪
[00:03:10.000 --> 00:03:12.900]  這是我們信仰的起始點
[00:03:12.900 --> 00:03:15.620]  如果沒有病你不會找醫生
[00:03:15.620 --> 00:03:18.480]  你沒有罪又何需耶穌
[00:03:18.480 --> 00:03:21.820]  信仰我們能夠信耶穌的起始點
[00:03:21.820 --> 00:03:23.760]  從我們去看就是
[00:03:23.760 --> 00:03:26.100]  我知道我有問題
[00:03:26.100 --> 00:03:27.640]  我有罪
[00:03:27.640 --> 00:03:28.900]  我沒有出路
[00:03:28.900 --> 00:03:30.700]  我先去找耶穌
[00:03:30.700 --> 00:03:32.560]  我才會信耶穌
[00:03:32.560 --> 00:03:36.140]  在很多信仰見證裏面
[00:03:36.140 --> 00:03:38.740]  我們發覺我們會強調什麼呢?
[00:03:38.740 --> 00:03:42.300]  我們會強調和著重神愛我們
[00:03:42.300 --> 00:03:43.780]  神的愛
[00:03:43.780 --> 00:03:45.420]  我們很多時候會忽略什麼呢?
[00:03:45.420 --> 00:03:48.260]  就是我們有罪
[00:03:48.260 --> 00:03:49.800]  我們的罪
[00:03:49.800 --> 00:03:55.500]  不是很多見證以罪作為信仰的起始點
[00:03:55.500 --> 00:03:57.820]  我們有罪才會找耶穌
[00:03:57.820 --> 00:04:00.240]  沒有罪我何需耶穌
[00:04:00.240 --> 00:04:03.160]  我們久而久之當我們信了耶穌
[00:04:03.160 --> 00:04:06.360]  我們信主之後的信仰會強調什麼呢?
[00:04:06.360 --> 00:04:07.960]  就是神的愛
[00:04:07.960 --> 00:04:09.280]  神多麼愛我
[00:04:09.280 --> 00:04:10.680]  對我多麼好
[00:04:10.680 --> 00:04:13.980]  而忽略了罪的嚴重性
[00:04:13.980 --> 00:04:16.620]  忽略了認罪悔改的操練
