
[00:00:00.000 --> 00:00:02.000]  請小妹平安
[00:00:02.000 --> 00:00:06.000]  感謝神讓「廣福師班」一首很優美的詩歌
[00:00:06.000 --> 00:00:10.000]  提醒我們渴慕來敬拜神
[00:00:10.000 --> 00:00:14.000]  今天感恩我們有機會繼續透過文掃記
[00:00:14.000 --> 00:00:22.000]  學習一些關於上帝要我們知道的教導
[00:00:22.000 --> 00:00:28.000]  也求主幫助我們成為一個像鹿一樣渴慕祂的人
[00:00:28.000 --> 00:00:32.000]  今天講到文掃記十六和十七章
[00:00:32.000 --> 00:00:37.000]  未講十六十七章之前讓我們先回顧十五章
[00:00:37.000 --> 00:00:40.000]  上星期林牧師告訴我們
[00:00:40.000 --> 00:00:46.000]  在十五章經文裡提到關於獻祭
[00:00:46.000 --> 00:00:51.000]  其實獻祭是代表著人和神之間關係的一些復和
[00:00:51.000 --> 00:00:56.000]  包括有感恩祭、平安祭和贖罪祭
[00:00:56.000 --> 00:01:01.000]  而感恩祭很明顯就是當人領受了上帝的恩典之後
[00:01:01.000 --> 00:01:04.000]  獻上一些感謝來回應
[00:01:04.000 --> 00:01:08.000]  而平安祭就不單止和上帝恢復關係這麼簡單
[00:01:08.000 --> 00:01:11.000]  還是一份可以和神
[00:01:11.000 --> 00:01:13.000]  因為獻祭是獻了給神
[00:01:13.000 --> 00:01:16.000]  而平安祭不單止是奉獻了
[00:01:16.000 --> 00:01:19.000]  還是人可以享用的
[00:01:19.000 --> 00:01:21.000]  獻祭者可以享用
[00:01:21.000 --> 00:01:24.000]  而且都可以和身邊的人來享用
[00:01:24.000 --> 00:01:28.000]  所以一份平安祭就代表著神和人之間
[00:01:28.000 --> 00:01:31.000]  也是人和人之間的復和
[00:01:31.000 --> 00:01:33.000]  而也有提及贖罪祭
[00:01:33.000 --> 00:01:35.000]  就是當人犯罪之後
[00:01:35.000 --> 00:01:42.000]  可以透過獻祭、透過一些祭神來平息上帝的憤怒
[00:01:42.000 --> 00:01:46.000]  而在十五章獻祭的教導當中
[00:01:46.000 --> 00:01:49.000]  神特別提了一句話
[00:01:49.000 --> 00:01:54.000]  祂說若果有人故意藐視獻祭這回事
[00:01:54.000 --> 00:01:56.000]  故意來違背上帝的話
[00:01:56.000 --> 00:01:58.000]  必被剪除
[00:01:58.000 --> 00:02:01.000]  而也同時提醒以色列人
[00:02:01.000 --> 00:02:04.000]  他們的衣服在衣邊要做一些碎紙
[00:02:04.000 --> 00:02:06.000]  釘一些藍色的帶子
[00:02:06.000 --> 00:02:09.000]  好像祭司袍的一部分一樣
[00:02:09.000 --> 00:02:12.000]  讓他們都記得自己是一個
[00:02:12.000 --> 00:02:17.000]  上帝所揀選、上帝所拯救成為聖傑的人
[00:02:17.000 --> 00:02:20.000]  這就是十五章告訴我們的
[00:02:20.000 --> 00:02:23.000]  我們又看前一點
[00:02:23.000 --> 00:02:25.000]  十五章之前發生什麼事呢?
[00:02:25.000 --> 00:02:27.000]  在十三、十四章
[00:02:27.000 --> 00:02:31.000]  我們知道有十二位探子
[00:02:31.000 --> 00:02:37.000]  在這個曠野去到迦南地來窺探那個地方
[00:02:37.000 --> 00:02:38.000]  看完之後
[00:02:38.000 --> 00:02:42.000]  在四十天之後他們回到這個曠野
[00:02:42.000 --> 00:02:46.000]  其中十二個人裡面除了約書和迦勒之外
