
[00:00:00.000 --> 00:00:04.260]  好幾年前美國有一個叫Terry Shaver的女士
[00:00:04.260 --> 00:00:09.400]  她很想送一件禮物給她丈夫
[00:00:09.400 --> 00:00:14.000]  大概那時候是十月左右
[00:00:14.000 --> 00:00:18.680]  她想一下這個時候適宜到處看看
[00:00:18.680 --> 00:00:22.680]  買一件聖誕禮物送給她丈夫
[00:00:22.680 --> 00:00:25.160]  有一次去到一個店鋪
[00:00:25.160 --> 00:00:28.320]  她看到一份禮物很喜歡
[00:00:28.700 --> 00:00:32.460]  她覺得這份禮物她的丈夫一定很喜歡
[00:00:32.460 --> 00:00:34.460]  而且一定很實用
[00:00:34.460 --> 00:00:36.460]  於是就跟售貨員說
[00:00:36.460 --> 00:00:40.800]  先生,這個禮物多少錢?
[00:00:40.800 --> 00:00:44.560]  售貨員就說是1270美元
[00:00:44.560 --> 00:00:46.560]  他沒有那麼多錢
[00:00:46.560 --> 00:00:49.180]  他就跟售貨員說
[00:00:49.180 --> 00:00:51.800]  我沒有那麼多錢,怎麼辦呢?
[00:00:51.800 --> 00:00:55.460]  可不可以這樣呢?
[00:00:55.460 --> 00:00:57.460]  我和你做一個交易
[00:00:57.460 --> 00:01:01.460]  我穿一點給你
[00:01:01.460 --> 00:01:03.460]  到聖誕節你留一件禮物給我
[00:01:03.460 --> 00:01:06.460]  那我聖誕節前夕來拿,好不好?
[00:01:06.460 --> 00:01:08.460]  售貨員就跟她說
[00:01:08.460 --> 00:01:14.460]  太太,我相信這件禮物你丈夫是很需要的
[00:01:14.460 --> 00:01:16.460]  一定是很喜歡的
[00:01:16.460 --> 00:01:18.460]  何必要等到聖誕節呢?
[00:01:18.460 --> 00:01:20.460]  為什麼現在買了,我沒有錢呢?
[00:01:20.460 --> 00:01:22.460]  不要緊,沒有錢不要緊
[00:01:22.460 --> 00:01:25.460]  我們的店鋪是可以分期付款的
[00:01:25.460 --> 00:01:27.460]  你有多少錢呢?
[00:01:27.460 --> 00:01:29.460]  我一百元而已
[00:01:29.460 --> 00:01:31.460]  那你拿著一百元
[00:01:31.460 --> 00:01:33.460]  你可以攤成年去付
[00:01:33.460 --> 00:01:36.460]  收一點利息就行了
[00:01:36.460 --> 00:01:39.460]  當時這個太太就心裏想
[00:01:39.460 --> 00:01:43.460]  哇,付一些利息不是很划算
[00:01:43.460 --> 00:01:47.460]  不如先讓他吧
[00:01:47.460 --> 00:01:49.460]  雖然我很喜歡這個禮物
[00:01:49.460 --> 00:01:53.460]  我相信我丈夫也很喜歡這個禮物
[00:01:53.460 --> 00:01:55.460]  遲一點吧
[00:01:55.460 --> 00:01:57.460]  那個售貨員就說
[00:01:57.460 --> 00:02:01.460]  你不要想了,買了它吧
[00:02:01.460 --> 00:02:03.460]  最多我減少一點價錢給你
[00:02:03.460 --> 00:02:07.460]  那太太終於就反心一橫
[00:02:07.460 --> 00:02:09.460]  好,買了它
[00:02:09.460 --> 00:02:12.460]  買了回家就送給她丈夫
[00:02:12.460 --> 00:02:14.460]  她丈夫當然很開心
[00:02:14.460 --> 00:02:19.460]  就是到了十月三日
[00:02:19.460 --> 00:02:22.460]  拿了這個禮物大概兩天左右
[00:02:22.460 --> 00:02:25.460]  她丈夫是警察
[00:02:25.460 --> 00:02:27.460]  他過日要出監
[00:02:27.460 --> 00:02:29.460]  就看到一個可疑的車
[00:02:29.460 --> 00:02:33.460]  他就下車去查一下車到底有什麼問題
[00:02:33.460 --> 00:02:36.460]  突然車門就打開
[00:02:36.460 --> 00:02:38.460]  有一個人就出來
[00:02:38.460 --> 00:02:42.460]  對著他的胸口近距離開了槍
[00:02:42.460 --> 00:02:45.460]  他立刻應聲倒地
[00:02:45.460 --> 00:02:47.460]  跌了下地
[00:02:47.460 --> 00:02:49.460]  但他沒有受傷
[00:02:49.460 --> 00:02:51.460]  而且他還有能力
[00:02:51.460 --> 00:02:56.460]  立刻從槍口拿出槍來還擊
[00:02:56.460 --> 00:02:58.460]  射傷了這個歹徒
[00:02:58.460 --> 00:03:01.460]  而且抓了他歸案
[00:03:01.460 --> 00:03:03.460]  你知道為什麼嗎?
[00:03:03.460 --> 00:03:08.460]  就是因為那份禮物是避彈衣
[00:03:08.460 --> 00:03:11.460]  就是因為那份避彈衣
[00:03:11.460 --> 00:03:14.460]  救了她丈夫一條命
[00:03:14.460 --> 00:03:20.460]  假如她不是在十月一日買了那份禮物
[00:03:20.460 --> 00:03:22.460]  是等到聖誕節買的
[00:03:22.460 --> 00:03:24.460]  她就不用買了
[00:03:24.460 --> 00:03:26.460]  我想想
[00:03:26.460 --> 00:03:31.460]  我在報紙看到這條新聞
[00:03:31.460 --> 00:03:33.460]  我想想問題在哪裡
[00:03:33.460 --> 00:03:37.460]  很多時候一個人如果不能當機立斷
[00:03:37.460 --> 00:03:41.460]  去徹徹底底做一些事
[00:03:41.460 --> 00:03:46.460]  有時候是很危險的
[00:03:46.460 --> 00:03:48.460]  往往我們這個人的問題是什麼呢?
[00:03:48.460 --> 00:03:50.460]  一開始就像這個太太一樣
[00:03:50.460 --> 00:03:52.460]  是威勢去買
[00:03:52.460 --> 00:03:54.460]  但遇到一些困難
[00:03:54.460 --> 00:03:56.460]  開始的時候不是徹底買
[00:03:56.460 --> 00:04:00.460]  不是像假如丈夫不是買了就立刻穿上的時候
[00:04:00.460 --> 00:04:02.460]  那他的命就沒了
[00:04:02.460 --> 00:04:07.460]  有很多事稍為遲一點也無所謂
[00:04:07.460 --> 00:04:09.460]  但有很多事不能等
[00:04:09.460 --> 00:04:13.460]  有些事開始等很久也無所謂
[00:04:13.460 --> 00:04:17.460]  但有些事不能半途而廢
[00:04:17.460 --> 00:04:20.460]  你要做的時候就要徹徹底底去做
[00:04:20.460 --> 00:04:25.460]  就好像Terry買了這份避彈衣
[00:04:25.460 --> 00:04:29.460]  他穿上身上才能保障他的生命
[00:04:29.460 --> 00:04:31.460]  其實淑妮的生命一樣
