
[00:00:00.000 --> 00:00:03.520]  今日和大家預備講的題目
[00:00:03.520 --> 00:00:06.160]  其實是有少少講到上面
[00:00:06.160 --> 00:00:08.560]  慢慢轉入去另一個階段
[00:00:08.560 --> 00:00:10.560]  如果你看我們的程序表
[00:00:10.560 --> 00:00:13.840]  有四句說話
[00:00:13.840 --> 00:00:17.360]  今天我們應該進入到第三句
[00:00:17.360 --> 00:00:21.520]  按照去年陳契寧的編排
[00:00:21.520 --> 00:00:23.840]  「被他揚軒立」這句說話
[00:00:23.840 --> 00:00:25.840]  其實我們想進去
[00:00:25.840 --> 00:00:30.400]  意思是大家還會記得
[00:00:30.400 --> 00:00:32.400]  我們陳契寧裡面有一個
[00:00:32.400 --> 00:00:34.720]  令我們很深刻的圖畫
[00:00:34.720 --> 00:00:36.000]  一個影像
[00:00:36.000 --> 00:00:39.280]  就是一隻披著豬皮的羊
[00:00:39.280 --> 00:00:41.280]  牠們去到主人面前
[00:00:41.280 --> 00:00:42.560]  牠們把手抬高
[00:00:42.560 --> 00:00:44.560]  主人就捉住牠的手
[00:00:44.560 --> 00:00:47.920]  突然之間這隻豬變了一隻羊
[00:00:47.920 --> 00:00:50.080]  原來牠的真身是羊
[00:00:50.080 --> 00:00:52.880]  雖然羊是一些當時的人
[00:00:52.880 --> 00:00:55.280]  古代的人來說不是那麼喜歡的動物
[00:00:55.280 --> 00:00:57.840]  不過原來這些是處所喜悅的
[00:00:57.840 --> 00:00:59.120]  「被他揚軒立」
[00:00:59.120 --> 00:01:01.440]  我想這個也是主要提醒我們的
[00:01:01.440 --> 00:01:02.960]  主要告訴我們
[00:01:02.960 --> 00:01:04.560]  他的群體在中間
[00:01:04.560 --> 00:01:08.400]  他不只是想看著我們這群人
[00:01:08.400 --> 00:01:10.080]  神的心就得滿足
[00:01:10.080 --> 00:01:13.360]  其實神很想我們跟他一樣
[00:01:13.360 --> 00:01:15.360]  我們的眼睛可以看到
[00:01:15.360 --> 00:01:18.320]  我們這個揚軒之外
[00:01:18.320 --> 00:01:22.400]  還有一些羊是神的心記掛著的
[00:01:22.400 --> 00:01:26.880]  但是要收納那些在人世間
[00:01:26.880 --> 00:01:28.320]  覺得被拒絕的人
[00:01:28.320 --> 00:01:30.320]  其實是一件不容易的事
[00:01:30.320 --> 00:01:33.680]  對我們其實是一種很大的考驗
[00:01:33.680 --> 00:01:36.560]  所以我們很想在這個角度裏面
[00:01:36.560 --> 00:01:38.880]  我們盡心盡力去探討
[00:01:38.880 --> 00:01:40.800]  這件事
[00:01:40.800 --> 00:01:45.120]  我想作為一個人
[00:01:45.120 --> 00:01:47.600]  我們有朋友
[00:01:47.600 --> 00:01:51.200]  有些人你很喜歡跟他做朋友
[00:01:51.200 --> 00:01:52.560]  有些人的性格
[00:01:52.560 --> 00:01:55.360]  你一般般喜歡跟他做朋友
[00:01:55.360 --> 00:01:57.440]  這是很正常的一件事
[00:01:57.440 --> 00:02:01.440]  同類的人
[00:02:01.440 --> 00:02:03.120]  或者相同嗜好
[00:02:03.120 --> 00:02:06.320]  相近的人其實是比較容易走在一起
[00:02:06.320 --> 00:02:07.520]  不過有時倒轉的
[00:02:07.520 --> 00:02:09.600]  有時那個人跟你很不同
[00:02:09.600 --> 00:02:10.800]  反而更吸引你
[00:02:10.800 --> 00:02:11.760]  也不一定
[00:02:11.760 --> 00:02:16.400]  通常做夫妻就是這樣
[00:02:16.400 --> 00:02:19.040]  最近有一次我看Facebook
[00:02:19.040 --> 00:02:23.280]  我在這個年紀看Facebook應該很難得
[00:02:23.280 --> 00:02:28.320]  上面有一個Notice
[00:02:28.320 --> 00:02:29.680]  有一個燈出來
[00:02:29.680 --> 00:02:32.000]  就說你有沒有做過統計
[00:02:32.000 --> 00:02:34.240]  就是在說在你的鄰居
[00:02:34.240 --> 00:02:38.080]  哪些鄰居是你不喜歡的
[00:02:38.080 --> 00:02:40.560]  你不喜歡什麼人成為你的鄰居
[00:02:40.560 --> 00:02:42.240]  大家去統計
[00:02:42.240 --> 00:02:44.960]  發掘出來的結果是這樣的
[00:02:44.960 --> 00:02:48.720]  我不記得數字是怎樣
[00:02:48.720 --> 00:02:51.280]  不過大概這幾類人
[00:02:51.280 --> 00:02:54.880]  我想很多人都不喜歡跟他做鄰居
[00:02:54.880 --> 00:02:57.520]  第一類是精神病患者
[00:02:57.520 --> 00:03:00.000]  你想一下你自己是不是這樣
[00:03:00.000 --> 00:03:06.240]  第二類是那些智力有問題的人
[00:03:06.240 --> 00:03:08.080]  這是統計出來的
[00:03:08.080 --> 00:03:12.080]  另外一類就是同性戀者
[00:03:12.080 --> 00:03:14.560]  另外有一類就是那些
[00:03:14.560 --> 00:03:15.840]  說香港來說
[00:03:15.840 --> 00:03:18.400]  另外有一類就是南亞裔的人
[00:03:18.400 --> 00:03:20.720]  成為你的鄰居
[00:03:20.720 --> 00:03:23.920]  我自己看這些其實
[00:03:23.920 --> 00:03:26.560]  這個我覺得我反而有些理解
[00:03:26.560 --> 00:03:30.080]  如果有這些群體住在我旁邊
[00:03:30.080 --> 00:03:32.080]  我直覺第一個都覺得
[00:03:32.080 --> 00:03:33.840]  哎呀 這樣好像不太好
[00:03:33.840 --> 00:03:35.200]  感覺上
[00:03:35.200 --> 00:03:37.840]  我相信很多市民都會有這種感覺
[00:03:37.840 --> 00:03:39.280]  不過我想一下
[00:03:39.280 --> 00:03:42.480]  如果耶穌的眼光
[00:03:42.480 --> 00:03:45.920]  祂會怎樣看這些鄰舍
[00:03:45.920 --> 00:03:48.800]  我覺得可能祂的眼光是完全不同的
[00:03:48.800 --> 00:03:50.480]  今天跟大家分享的題目叫做
[00:03:50.480 --> 00:03:52.080]  「隨主得人柳紀心」
[00:03:52.080 --> 00:03:54.560]  好像很扭轉的那些句子
[00:03:54.560 --> 00:03:55.840]  意思就是說
[00:03:55.840 --> 00:03:57.440]  其實在耶穌一生裡面
[00:03:57.440 --> 00:03:59.200]  在祂地上的工作
[00:03:59.200 --> 00:04:02.480]  祂時時向我們展示一個示範
[00:04:02.480 --> 00:04:04.240]  或者是透過祂的工作
[00:04:04.240 --> 00:04:06.480]  祂的行動教導我們一樣東西
[00:04:06.480 --> 00:04:10.640]  就是我們的心有時候要扭轉
[00:04:10.640 --> 00:04:12.320]  主怎樣看人
[00:04:12.320 --> 00:04:13.840]  和我們怎樣看人
[00:04:13.840 --> 00:04:15.840]  往往是很不同的
[00:04:15.840 --> 00:04:19.120]  今天跟大家分享的這一段經文
[00:04:19.120 --> 00:04:22.080]  是《馬克福音》第二章十三到二十八節
[00:04:22.080 --> 00:04:23.920]  中間有三小段
[00:04:23.920 --> 00:04:29.120]  都是說耶穌怎樣面對某些人
[00:04:29.120 --> 00:04:31.840]  而祂特別要對比
[00:04:31.840 --> 00:04:34.640]  其他的宗教領袖 佛尼塞人
[00:04:34.640 --> 00:04:38.640]  怎樣面對那些人的態度
[00:04:38.640 --> 00:04:40.160]  透過這個對比
[00:04:40.160 --> 00:04:43.360]  其實我們看到耶穌我們的主
[00:04:43.360 --> 00:04:45.280]  向我們有一種示範
[00:04:45.280 --> 00:04:49.760]  就是我們的心如果是很想和主看齊的話
[00:04:49.760 --> 00:04:52.720]  我們能夠將主眼裡面
[00:04:52.720 --> 00:04:56.080]  顧念的人都看成為我們也顧念的人的話
[00:04:56.080 --> 00:04:58.400]  其實我們的心要怎樣扭轉
[00:04:58.400 --> 00:05:02.240]  我想和大家分享一下這個層面
[00:05:02.240 --> 00:05:04.800]  很特別的地方就是
[00:05:04.800 --> 00:05:06.800]  這三段經文都沒有神蹟
[00:05:06.800 --> 00:05:09.040]  是說耶穌和一些人的相處
[00:05:09.040 --> 00:05:12.160]  還有一些回應 甚至是教導
[00:05:12.160 --> 00:05:14.000]  這三段經文
[00:05:14.000 --> 00:05:16.000]  我們應該都很熟悉的
[00:05:16.000 --> 00:05:18.000]  在教會裡面的日子內的話
[00:05:18.000 --> 00:05:20.000]  這三段經文的特色就是
[00:05:20.000 --> 00:05:22.000]  前面有一個神蹟
[00:05:22.000 --> 00:05:24.000]  後面有一個神蹟
[00:05:24.000 --> 00:05:26.000]  組成了五段的經文
[00:05:26.000 --> 00:05:28.000]  一個段落
[00:05:28.000 --> 00:05:30.000]  前面的神蹟和後面的神蹟
[00:05:30.000 --> 00:05:34.000]  我們發覺耶穌行神蹟
[00:05:34.000 --> 00:05:36.000]  祂幫助了人
[00:05:36.000 --> 00:05:38.000]  醫治了人
[00:05:38.000 --> 00:05:40.000]  但是結果是惹來一些反彈的
[00:05:40.000 --> 00:05:42.000]  很奇怪的
[00:05:42.000 --> 00:05:44.000]  應該大家都開心鼓掌
[00:05:44.000 --> 00:05:46.000]  但是有些人反彈
[00:05:46.000 --> 00:05:48.000]  有些人不喜歡
[00:05:48.000 --> 00:05:50.000]  這個不喜歡是有種盡情的
[00:05:50.000 --> 00:05:52.000]  最初只是兩三個人
[00:05:52.000 --> 00:05:54.000]  心裡面的議論
[00:05:54.000 --> 00:05:56.000]  在第二章
[00:05:56.000 --> 00:05:58.000]  第一節開始的那段經文
[00:05:58.000 --> 00:06:00.000]  就說一個神蹟
[00:06:00.000 --> 00:06:02.000]  大家都很熟悉的
[00:06:02.000 --> 00:06:04.000]  四個人背著一個
[00:06:04.000 --> 00:06:06.000]  吊一個毯子在家裡
[00:06:06.000 --> 00:06:08.000]  耶穌醫好他
[00:06:08.000 --> 00:06:10.000]  這個神蹟惹來一些人心裡面的議論
[00:06:10.000 --> 00:06:12.000]  最後那個神蹟在會堂裡面
[00:06:12.000 --> 00:06:14.000]  耶穌叫一個人把手伸出來
[00:06:14.000 --> 00:06:16.000]  我發覺
[00:06:16.000 --> 00:06:18.000]  那些反彈是很強烈的
[00:06:18.000 --> 00:06:20.000]  耶穌做了這個神蹟之後
[00:06:20.000 --> 00:06:22.000]  反彈就是那些法尼賽人
[00:06:22.000 --> 00:06:24.000]  走出去和一些希律黨
[00:06:24.000 --> 00:06:26.000]  兩班完全不同
[00:06:26.000 --> 00:06:28.000]  差不多是對立的群體
[00:06:28.000 --> 00:06:30.000]  會走在一起
[00:06:30.000 --> 00:06:32.000]  目的就是想殺死耶穌
