
[00:00:00.000 --> 00:00:02.000]  我們動心禱告
[00:00:02.000 --> 00:00:06.000]  新來的神我們愛你的話語
[00:00:06.000 --> 00:00:09.000]  求你將你的話語賜給我們
[00:00:09.000 --> 00:00:14.000]  求你的靈繼續在我們當中
[00:00:14.000 --> 00:00:16.000]  你驕冠我們
[00:00:16.000 --> 00:00:19.000]  讓我們的生命有著力量
[00:00:19.000 --> 00:00:21.000]  能夠行你的道路
[00:00:21.000 --> 00:00:24.000]  行你那條無福的道路
[00:00:24.000 --> 00:00:26.000]  使人得福
[00:00:26.000 --> 00:00:28.000]  自己也無福
[00:00:28.000 --> 00:00:31.000]  生命有你給我們的喜樂
[00:00:31.000 --> 00:00:33.000]  主啊如今我們要聽你的話
[00:00:33.000 --> 00:00:36.000]  求你將你的話字賜給我們
[00:00:36.000 --> 00:00:39.000]  讓我們每個人聽見之後
[00:00:39.000 --> 00:00:41.000]  我們就相信
[00:00:41.000 --> 00:00:43.000]  我們就在當中
[00:00:43.000 --> 00:00:46.000]  能夠繼續的進行
[00:00:46.000 --> 00:00:47.000]  我們的禱告
[00:00:47.000 --> 00:00:49.000]  是奉主耶穌基督的名字
[00:00:49.000 --> 00:00:51.000]  求阿們
[00:00:51.000 --> 00:00:53.000]  在今天的經文
[00:00:53.000 --> 00:00:57.000]  就被稱為利尾的呼召
[00:00:57.000 --> 00:00:59.000]  有關利尾的呼召
[00:00:59.000 --> 00:01:02.000]  是簡單是明快
[00:01:02.000 --> 00:01:04.000]  但是是非常戲劇性的
[00:01:04.000 --> 00:01:06.000]  在故事的開始
[00:01:06.000 --> 00:01:08.000]  耶穌基督就看見利尾
[00:01:08.000 --> 00:01:13.000]  在這個稅關被錢包圍住
[00:01:13.000 --> 00:01:17.000]  在那裡為羅馬人去收稅錢
[00:01:17.000 --> 00:01:19.000]  耶穌基督就跟他說
[00:01:19.000 --> 00:01:22.000]  來跟從我
[00:01:22.000 --> 00:01:25.000]  利尾聽見這個簡單的說話
[00:01:25.000 --> 00:01:26.000]  幾個字眼
[00:01:26.000 --> 00:01:28.000]  來跟從我
[00:01:28.000 --> 00:01:29.000]  他就立即起來
[00:01:29.000 --> 00:01:31.000]  就撇下所有的
[00:01:31.000 --> 00:01:33.000]  他要跟隨耶穌基督
[00:01:33.000 --> 00:01:36.000]  他所做的和西門
[00:01:36.000 --> 00:01:39.000]  和西門的同伴所做的一樣
[00:01:39.000 --> 00:01:41.000]  他們都是撇下所有的
[00:01:41.000 --> 00:01:44.000]  跟從了耶穌
[00:01:44.000 --> 00:01:45.000]  大家有沒有留意到
[00:01:45.000 --> 00:01:48.000]  利尾的回覆是很快速
[00:01:48.000 --> 00:01:50.000]  是很果敢的
[00:01:50.000 --> 00:01:52.000]  為什麼他回答得這麼快
[00:01:52.000 --> 00:01:54.000]  他回應得這麼快
[00:01:54.000 --> 00:01:56.000]  是這麼果敢的呢
[00:01:56.000 --> 00:01:58.000]  一位專業人士
[00:01:58.000 --> 00:02:01.000]  為什麼可以立即放棄一切
[00:02:01.000 --> 00:02:03.000]  去跟隨這一位
[00:02:03.000 --> 00:02:06.000]  是街頭上的傳道者
[00:02:06.000 --> 00:02:10.000]  利尾為什麼會變得這麼快
[00:02:10.000 --> 00:02:11.000]  我們或者驚訝
[00:02:11.000 --> 00:02:16.000]  究竟是不是有些資料是漏了的
[00:02:16.000 --> 00:02:20.000]  耶穌基督他沒有說服利尾
[00:02:20.000 --> 00:02:23.000]  放棄一切去跟隨耶穌基督
