
[00:00:00.000 --> 00:00:05.960]  我留意到不少基督徒很喜歡聽道
[00:00:05.960 --> 00:00:07.380]  經常聽道
[00:00:07.380 --> 00:00:09.580]  甚至在網上找道來聽
[00:00:09.580 --> 00:00:12.480]  參加很多神學課程
[00:00:12.480 --> 00:00:15.920]  例如BSF(Bible Study Fellowship)
[00:00:15.920 --> 00:00:24.080]  或者是明道社的課程
[00:00:24.080 --> 00:00:28.080]  或者是有生命之道
[00:00:28.080 --> 00:00:31.300]  但是他們的生命沒什麼改變
[00:00:31.300 --> 00:00:34.340]  聽道越來越多,頭越來越大
[00:00:34.340 --> 00:00:36.400]  就好像變了一個大頭佛
[00:00:36.400 --> 00:00:42.480]  問題是為什麼他們聽道沒有行道呢?
[00:00:42.480 --> 00:00:44.880]  如果聽道沒有行道
[00:00:44.880 --> 00:00:47.600]  其實對他們的生命是沒有益處的
[00:00:47.600 --> 00:00:50.320]  他們的屬靈生命軟弱
[00:00:50.320 --> 00:00:54.280]  甚至我也不知道他們是否真的信了耶穌
[00:00:54.280 --> 00:00:56.480]  很嚴重的
[00:00:56.480 --> 00:01:00.720]  「我聽了這麼多道,我差不多拿到我的MCS了」
[00:01:00.720 --> 00:01:02.320]  「你說我還沒信耶穌?」
[00:01:02.320 --> 00:01:03.760]  這不是我說的
[00:01:03.760 --> 00:01:05.560]  這是史獨一項說的
[00:01:05.560 --> 00:01:06.560]  你留意一下
[00:01:06.560 --> 00:01:08.560]  看你是否信了耶穌
[00:01:08.560 --> 00:01:12.640]  史獨一項一書第二章三至六次
[00:01:12.640 --> 00:01:14.640]  「我們如果遵守神的命令」
[00:01:14.640 --> 00:01:17.480]  「我們就知道我們已經認識祂」
[00:01:17.480 --> 00:01:21.480]  「凡是我認識上帝,但不遵守祂的命令」
[00:01:21.480 --> 00:01:22.840]  「就是說謊」
[00:01:22.840 --> 00:01:25.040]  「真理就不在祂裡面」
[00:01:25.040 --> 00:01:26.560]  即是未信的
[00:01:26.560 --> 00:01:30.560]  「然而凡是遵守祂道的、祂愛神的心」
[00:01:30.560 --> 00:01:32.840]  「就的確在祂裡面完全了」
[00:01:32.840 --> 00:01:36.360]  「這樣我們就知道我們在神裡面了」
[00:01:36.360 --> 00:01:38.360]  「凡說自己在神裡面」
[00:01:38.360 --> 00:01:40.360]  「就應該要照祂的話去行」
[00:01:40.360 --> 00:01:42.360]  即是說如果你是信耶穌的話
[00:01:42.360 --> 00:01:46.360]  你是應該遵守神的道
[00:01:46.360 --> 00:01:48.360]  史獨一項就跟我說
[00:01:48.360 --> 00:01:51.360]  如果有一個人聽道而沒有行道
[00:01:51.360 --> 00:01:53.360]  而沒有實踐出來的話
[00:01:53.360 --> 00:01:56.360]  我們就不能肯定這個人是否信耶穌
[00:01:56.360 --> 00:01:58.360]  等於你看見一個人躺在地上
[00:01:58.360 --> 00:02:00.360]  不動也不動
[00:02:00.360 --> 00:02:02.360]  你摸摸他有沒有反應
[00:02:02.360 --> 00:02:04.360]  搖搖他有沒有反應
[00:02:04.360 --> 00:02:08.360]  你就不知道這個人是否有生命
[00:02:08.360 --> 00:02:13.360]  所以今天我們來到看這段經文
[00:02:13.360 --> 00:02:16.360]  看看聽道和行道有什麼關係
[00:02:16.360 --> 00:02:19.360]  怎樣可以從聽道到行道
[00:02:19.360 --> 00:02:22.360]  行道即是實踐上帝的話出來
[00:02:22.360 --> 00:02:26.360]  這段經文有兩部分
[00:02:26.360 --> 00:02:29.360]  第十九到二十一節
[00:02:29.360 --> 00:02:31.360]  就教我們怎樣聽道
[00:02:31.360 --> 00:02:33.360]  然後二十二到二十五節
[00:02:33.360 --> 00:02:35.360]  就教我們怎樣行道
[00:02:35.360 --> 00:02:40.360]  我們首先看第一部分
[00:02:40.360 --> 00:02:42.360]  就是怎樣聽道
[00:02:42.360 --> 00:02:44.360]  剛才我們讀過的經文
[00:02:44.360 --> 00:02:46.360]  瓦格就說
[00:02:46.360 --> 00:02:48.360]  你聽道的時候要快快的聽
[00:02:48.360 --> 00:02:52.360]  慢慢的說 慢慢的動腦
[00:02:52.360 --> 00:02:56.360]  擺脫污穢 擺脫邪惡
[00:02:56.360 --> 00:02:58.360]  全溫柔的心
