
[00:00:00.000 --> 00:00:02.000]  大兄,姐妹,平安
[00:00:02.000 --> 00:00:04.000]  平安
[00:00:04.000 --> 00:00:10.000]  今晚很高興可以和大家在一起
[00:00:10.000 --> 00:00:16.000]  我原本應該在三月份就過來
[00:00:16.000 --> 00:00:23.000]  但之後我的女兒決定提早兩個月出來
[00:00:23.000 --> 00:00:31.000]  所以我很開心今天我終於可以和大家再次聚在一起
[00:00:31.000 --> 00:00:43.000]  在英文部,今年年初我們是在讀加拉太書
[00:00:43.000 --> 00:00:52.000]  所以我今天很榮幸有機會和大家分享一段在加拉太書裏面的訊息
[00:00:52.000 --> 00:00:56.000]  我很高興我來到這裏聽到大家在一起
[00:00:56.000 --> 00:01:00.000]  我成長的時候,我小時候會說一點國語
[00:01:00.000 --> 00:01:02.000]  我爸爸是會說廣東話的
[00:01:02.000 --> 00:01:06.000]  所以我聽到廣東話的時候,我覺得很有親切感
[00:01:06.000 --> 00:01:11.000]  我開始的時候,我想和大家講一個故事
[00:01:11.000 --> 00:01:23.000]  故事是這樣的,有個導演叫羅伯萊納
[00:01:23.000 --> 00:01:30.000]  他和他最好的朋友叫阿魯伯特布魯克斯
[00:01:30.000 --> 00:01:49.000]  他們高中的時候就去馬里布山上走,走著走著當然是迷路了
[00:01:49.000 --> 00:01:55.000]  我忘記說了,姊姊李,謝謝你今天跟我們翻譯,我的天啊
[00:01:55.000 --> 00:02:11.000]  他們在開車的時候,開著開著當然是迷路了
[00:02:11.000 --> 00:02:15.000]  他們開著開著就終於路過有一個草地
[00:02:15.000 --> 00:02:18.000]  在草地裏面有一隻牛在吃草
[00:02:18.000 --> 00:02:35.000]  布魯克斯停下車窗,伸頭大叫,先生,謝謝你
[00:02:35.000 --> 00:02:51.000]  牛看上去,布魯克斯跟牛說話,我想問一下,怎麼可以回到PCH
[00:02:51.000 --> 00:03:02.000]  牛不停地搖頭,肯定低著頭繼續吃草
[00:03:02.000 --> 00:03:13.000]  布魯克斯又大叫,謝謝
[00:03:13.000 --> 00:03:23.000]  布魯克斯看著他的朋友說,阿魯伯特,你剛剛從牛身上走了
[00:03:23.000 --> 00:03:27.000]  阿魯伯特,你剛剛跟牛問路了
[00:03:27.000 --> 00:03:38.000]  對,但他住在這裏,他知道這裏
[00:03:38.000 --> 00:03:51.000]  加拉太書是使徒保羅寫給加拉太教會的
[00:03:51.000 --> 00:03:59.000]  加拉太就是今天的土耳其南部
[00:03:59.000 --> 00:04:16.000]  保羅寫這封信的原因是因為假教師當時已經進入教會
[00:04:16.000 --> 00:04:21.000]  這些假教師都有猶太人的背景
[00:04:21.000 --> 00:04:36.000]  但他們教加拉太書說,你們需要遵守舊約的律法才能得救
[00:04:36.000 --> 00:04:46.000]  布羅跟加拉太人說,如果你跟從這些假教師的指示,就跟找牛指路一樣
[00:04:46.000 --> 00:05:04.000]  即使他們知道舊約聖經,但如果你們真的聽他們的話,你就會迷失方向
[00:05:04.000 --> 00:05:18.000]  保羅在這裏再次澄清,基督是親自把真正的福音託付給保羅
[00:05:18.000 --> 00:05:34.000]  所以保羅是有權並糾正任何偏離福音的人,哪怕這個人是另外一個使徒
[00:05:34.000 --> 00:06:01.000]  為了證明保羅的權威,在今天的經文裏,保羅告訴了加拉太人,彼得已經偏離了真正的福音,以及他如何糾正彼得
[00:06:01.000 --> 00:06:21.000]  在這裏看到,保羅在這裏重新為福音作出一個定名,也教他們如何走出來
[00:06:21.000 --> 00:06:41.000]  今天我們會將分三部份,彼得的行為,保羅的斥責,以及我們的模式
[00:06:41.000 --> 00:07:06.000]  第一點,彼得的行為,故事從第十一節開始,基法是彼得的另一個名字
[00:07:06.000 --> 00:07:16.000]  大家應該記得,彼得其實是基督最初十二個門徒的領袖
[00:07:16.000 --> 00:07:36.000]  所以他其實是一個很重要的人物,他的地位很高
[00:07:36.000 --> 00:07:53.000]  但是當彼得來到安提柯的時候,保羅是當面反對他的,而且他用了一個非常強烈的語言,他說彼得是被譴責
[00:07:53.000 --> 00:08:09.000]  我們不要忘記,彼得在教會當中,地位是最崇高的
[00:08:09.000 --> 00:08:18.000]  所以你可以想像到,當一個使徒在公開地斥責另一位使徒的時候,這件事到底有多嚴重
[00:08:18.000 --> 00:08:30.000]  保羅在第十二節就繼續解釋,究竟彼得做了什麼這麼可怕的事呢
[00:08:30.000 --> 00:08:58.000]  經文是這樣說,從那國那裡來的人未到已先,他和外邦人一同吃飯,及至他們來到,他因怕奉國禮的人,就退去與外邦人隔開了
[00:08:58.000 --> 00:09:09.000]  你看到當時一個好的猶太人是不會和外邦人坐在一起吃飯的
[00:09:09.000 --> 00:09:25.000]  舊約律法當中,上帝給出了一些關於百姓到底可以吃什麼,或者不可以吃什麼的具體規則
[00:09:25.000 --> 00:09:35.000]  當然,外邦人他們都不是猶太人,他們當然沒有遵守同樣的食品法
[00:09:35.000 --> 00:09:46.000]  所以從猶太人的角度來看,外邦人是不潔淨的
[00:09:46.000 --> 00:09:58.000]  所以如果一個猶太人跟外邦人一起吃飯的話,這個猶太人都會變得不潔淨
[00:09:58.000 --> 00:10:07.000]  所以當時好的猶太人是不會和外邦人一起吃飯
[00:10:07.000 --> 00:10:18.000]  不過當耶穌來的時候,他教導說食物法已經不再有效
[00:10:18.000 --> 00:10:41.000]  在使徒行傳的第十章,上帝給得見到一張由天上降下來的毯子,上面是有些不潔淨的動物
[00:10:41.000 --> 00:10:49.000]  同時他也命令他不要再叫這些東西不潔淨,因為神已經將他們潔淨了
[00:10:49.000 --> 00:11:06.000]  透過耶穌基督,神在為自己製造一批新的子民,而這批新子民是由猶太人和外邦人組成的
[00:11:06.000 --> 00:11:26.000]  當保羅說阿彼得和外邦人一起吃飯的時候,其實保羅是在說阿彼得活出了福音
[00:11:26.000 --> 00:11:39.000]  你可以吃豬肉,阿彼得可以和外邦人一起自由地吃東西
[00:11:39.000 --> 00:11:52.000]  但是當阿國的人來的時候,彼得就不再和外邦人一起吃飯
[00:11:52.000 --> 00:12:12.000]  阿國是耶路撒冷教會的領袖,這群阿國人其實是阿國派遣由耶路撒冷來到安提安的基督徒
[00:12:12.000 --> 00:12:30.000]  這些耶路撒冷的基督徒來的時候,他們帶了一個關於國禮派的非基督教猶太人的報告
[00:12:30.000 --> 00:12:37.000]  這些是非猶太人基督徒
[00:12:37.000 --> 00:12:46.000]  我們不知道這些非基督教的猶太人在說什麼
[00:12:46.000 --> 00:13:01.000]  或者他們在質疑為什麼那些猶太基督徒會和外邦人一起吃飯而觸犯了食品法
[00:13:01.000 --> 00:13:24.000]  或者耶路撒冷的傳福音現在是越來越難,因為那些猶太人被基督徒猶太人一起羞辱了
[00:13:24.000 --> 00:13:28.000]  因為這些基督教猶太人願意和外邦人一起吃飯
