
[00:00:00.000 --> 00:00:04.000]  大家有沒有看到今天有什麼不同,就是多了這兩塊東西。
[00:00:04.000 --> 00:00:10.000]  這個其實就是我們教會今年的主題,就是用禱告來震撼生命。
[00:00:10.000 --> 00:00:17.000]  所以我們今年的第一年,第一個講到的系列就會跟禱告有關。
[00:00:17.000 --> 00:00:21.000]  那麼今天我們會談到說,禱告的一些的障礙。
[00:00:21.000 --> 00:00:26.000]  我們學生剛剛去完一個retreat,其實也是講同樣的主題。
[00:00:26.000 --> 00:00:30.000]  今天我們會從不同的經文來看禱告的障礙。
[00:00:30.000 --> 00:00:34.000]  那麼第一個我要分享的是,講到禱告有很多的障礙。
[00:00:34.000 --> 00:00:40.000]  我們今天要克服一個障礙,就是要學習克服禱告時被分心的障礙。
[00:00:40.000 --> 00:00:45.000]  禱告時候被分心的障礙。禱告時候經常會分心。
[00:00:45.000 --> 00:00:50.000]  這是我們禱告當中其中一個阻礙我們禱告很嚴重的地方。
[00:00:50.000 --> 00:00:55.000]  在《馬太福音》的六章五到六節有一段的經文,我讀給你們聽。
[00:00:55.000 --> 00:01:02.000]  馬太福音的六章五到六節,那本說你們禱告的時候不可向那假冒為善的人,
[00:01:02.000 --> 00:01:08.000]  愛站在會堂裡和十字路口上禱告,故意叫人看見。
[00:01:08.000 --> 00:01:13.000]  我實在告訴你們,他們已經得了他們的賞賜。
[00:01:13.000 --> 00:01:19.000]  你禱告的時候要進你的內屋,關上門,禱告你在暗中的父。
[00:01:19.000 --> 00:01:28.000]  你父在暗中查看,必然報答你。所以從這段經文,首先第一點我們要知道的是,
[00:01:28.000 --> 00:01:33.000]  禱告其實不是禱告給別人看的,禱告是自己關上門來禱告。
[00:01:33.000 --> 00:01:37.000]  那關上門來禱告有兩個很不錯的地方。
[00:01:37.000 --> 00:01:45.000]  第一個就是,當沒有人都看見你還禱告的時候,就表示你真的想禱告。
[00:01:45.000 --> 00:01:51.000]  你知道有些禱告是很形式化的,比方說有時候謝飯禱告很多人,
[00:01:51.000 --> 00:01:58.000]  謝飯禱告是很難專心的,因為很多人在你禱告的時候又很怕說我會不會講錯話還是什麼。
[00:01:58.000 --> 00:02:04.000]  所以你知道有時候公眾場合禱告很難專心,有時候會分心。
[00:02:04.000 --> 00:02:09.000]  所以這邊告訴我們說,除了有時候很難避免我們公眾會有禱告的時間,
[00:02:09.000 --> 00:02:16.000]  可是真正的禱告應該是你自己回家的時候,沒人看見你的時候,你還想要禱告。
[00:02:16.000 --> 00:02:20.000]  那那個禱告就真的是很真誠,就表示你真的想要禱告。
[00:02:20.000 --> 00:02:28.000]  第二個就是,你關起門來禱告的時候通常沒那麼容易分心,你可以比較有安靜的時間。
[00:02:28.000 --> 00:02:35.000]  公眾場合禱告有時候很難專心,你顧到很多的東西,很多的噪音,
[00:02:35.000 --> 00:02:41.000]  然後真正可以安靜下來其實是你進你的內屋關上門,有那個安靜的時間。
[00:02:41.000 --> 00:02:46.000]  你只要講到禱告呢,我想跟你們介紹一位人物,
[00:02:46.000 --> 00:02:52.000]  因為這位人物無論你去看比較早時期寫的有關禱告的都會提到這個人。
[00:02:52.000 --> 00:02:56.000]  因為如果你要學禱告你一定要學這個人,這個人實在太厲害。
[00:02:56.000 --> 00:03:00.000]  這個人的名字叫做George Miller,他是一個19世紀的人。
[00:03:00.000 --> 00:03:05.000]  那為什麼說這個人很厲害呢?他的工作也做得很厲害,
[00:03:05.000 --> 00:03:12.000]  因為他開了在當時的德國跟英國,他開了超過一百間學校,他開了好幾間的孤兒院。
[00:03:12.000 --> 00:03:18.000]  在他60年侍奉的生涯裡面,他大概收養過超過一萬個孤兒,
[00:03:18.000 --> 00:03:24.000]  那麼一萬個孤兒裡面大概有三千個就因為孤兒院的緣故成為基督徒,
[00:03:24.000 --> 00:03:28.000]  所以他做了很多的事情,不過他最出名的不是做了這些事情,
[00:03:28.000 --> 00:03:32.000]  他最出名是因為他在禱告方面是一個很厲害的人。
[00:03:32.000 --> 00:03:38.000]  他怎麼厲害?他有一些原則,因為我以前上課的時候,
[00:03:38.000 --> 00:03:43.000]  我神學院的院長是按照他禱告的模式,所以我就對這個人很有興趣,
[00:03:43.000 --> 00:03:46.000]  我就特別看看到底他的禱告模式是什麼。
[00:03:46.000 --> 00:03:52.000]  他結婚了之後,結了婚大概三個禮拜,他就跟他太太做了一個決定,
[00:03:52.000 --> 00:03:58.000]  他說我們要開孤兒院,可是我們開孤兒院的時候,從今天開始,
[00:03:58.000 --> 00:04:05.000]  我不再問任何人求一分錢,就孤兒院需要錢嘛,
[00:04:05.000 --> 00:04:13.000]  他說我不會向人求助任何一分錢,我所有的需要只會向神求,
[00:04:13.000 --> 00:04:17.000]  所以他就做了這樣一個決定,那之後的60年裡面,
[00:04:17.000 --> 00:04:24.000]  他真的就沒有任何的籌款,也不會告訴任何人說我的孤兒院或者我的學校需要多少錢,
[00:04:24.000 --> 00:04:30.000]  反正我就光光靠著禱告,只向神禱告,也只求神賜給我。
[00:04:30.000 --> 00:04:40.000]  那麼接下來的60年當中,聽說他一生60年,有五萬多個禱告,神有回應,
[00:04:40.000 --> 00:04:45.000]  所以基本上他是一個禱告被神回應最多的人,最多的人。
[00:04:45.000 --> 00:04:52.000]  他是很出名,如果你看他的傳記,他有很多很經典的禱告例子,
[00:04:52.000 --> 00:05:00.000]  比方說有一天他們的孤兒院真的米全部吃光,他們早餐就沒飯吃,
[00:05:00.000 --> 00:05:04.000]  沒飯吃他們就一群孤兒在等著吃飯,沒辦法,
[00:05:04.000 --> 00:05:09.000]  他們就把碗碟拿出來,之後就開始禱告,謝飯禱告,
