
[00:00:00.000 --> 00:00:04.900]  我們讀一節的聖經,在詩篇第46篇第4節
[00:00:04.900 --> 00:00:08.300]  只有一節的聖經我們一同來念
[00:00:08.300 --> 00:00:12.500]  有一道河,這河的分岔使神的城歡喜
[00:00:12.500 --> 00:00:15.500]  這城就是至高者居住的聖所
[00:00:15.500 --> 00:00:16.800]  我們再讀一遍來
[00:00:16.800 --> 00:00:21.000]  有一道河,這河的分岔使神的城歡喜
[00:00:21.000 --> 00:00:26.400]  這城就是至高者居住的聖所
[00:00:26.400 --> 00:00:31.100]  信仰是有兩個層面的
[00:00:31.100 --> 00:00:35.100]  一個層面是我的層面
[00:00:35.100 --> 00:00:38.100]  這是信仰的一個入門
[00:00:38.100 --> 00:00:44.300]  信仰永遠是從我的需要、我的滿足開始
[00:00:44.300 --> 00:00:46.900]  這個層次沒有什麼不好
[00:00:46.900 --> 00:00:49.700]  因為的確今天我們缺乏智慧
[00:00:49.700 --> 00:00:52.800]  缺乏各樣的資源、缺乏力量
[00:00:52.800 --> 00:00:56.100]  我們需要求神來幫助我們
[00:00:56.100 --> 00:01:01.200]  但如果今天我們只是停留在這樣一個我的層次裡面
[00:01:01.200 --> 00:01:06.300]  那我們就跟拜菩薩的人的心態是沒有什麼不同
[00:01:06.300 --> 00:01:08.800]  但我今天看見很多的信徒
[00:01:08.800 --> 00:01:12.600]  我們就是停留在這個層面的裡面
[00:01:12.600 --> 00:01:15.800]  你可知道當你停留在這個層面裡面
[00:01:15.800 --> 00:01:19.400]  你也可以變得很屬靈的嗎?
[00:01:19.400 --> 00:01:23.400]  很多時候感謝主,我走出我的創傷了
[00:01:23.400 --> 00:01:27.000]  我生命成長了,我不再貪戀世界
[00:01:27.000 --> 00:01:30.200]  因為主是我的滿足
[00:01:30.200 --> 00:01:34.500]  常聽到人說,我有主就滿足了
[00:01:34.500 --> 00:01:38.800]  但你有沒有想到過,主有你滿足嗎?
[00:01:38.800 --> 00:01:41.000]  想過沒有
[00:01:41.000 --> 00:01:44.400]  我告訴你,今天你可以再追求
[00:01:44.400 --> 00:01:46.700]  變得再屬靈
[00:01:46.700 --> 00:01:51.900]  但是你還是脫離不了這個我的層次
[00:01:51.900 --> 00:01:55.000]  但信仰還有另外一個層次
[00:01:55.000 --> 00:01:58.100]  那是神的層次
[00:01:58.100 --> 00:02:03.000]  你開始想到到底神想做些什麼呢?
[00:02:03.000 --> 00:02:07.600]  你有沒有想到神在這個世代,祂要做什麼工作呢?
[00:02:07.600 --> 00:02:12.300]  神在這個教會,祂要做怎麼樣的工作呢?
[00:02:12.300 --> 00:02:17.000]  想過祂在你的身上,祂要做什麼事情呢?
[00:02:17.000 --> 00:02:20.100]  一旦你進入神的層面
[00:02:20.100 --> 00:02:24.200]  忽然間的眼界就被打開了
[00:02:24.200 --> 00:02:28.300]  你開始明白神從創世以來的一個心意
[00:02:28.300 --> 00:02:34.200]  神的確樂意使萬人得救,不願一人沉淪
[00:02:34.200 --> 00:02:40.800]  我們乃是與歷世歷代的信徒跟教會是連結在一起的
[00:02:40.800 --> 00:02:44.400]  換句話說,今天我們不是單獨存在的
