
[00:00:00.000 --> 00:00:02.600]  歡迎大家嚟到我哋嘅《左路崇拜》
[00:00:02.600 --> 00:00:07.000]  今日講到同平時係有啲唔一樣嘅
[00:00:07.000 --> 00:00:11.000]  今日要講嘅係《薩瑪利亞婦人》嘅故事
[00:00:11.000 --> 00:00:14.600]  呢個會係一個迷你嘅講道系列
[00:00:14.600 --> 00:00:18.000]  總共會有五篇嘅講章
[00:00:18.000 --> 00:00:21.000]  今日係五篇講章嘅介紹篇
[00:00:21.000 --> 00:00:24.000]  上星期我開始預備
[00:00:24.000 --> 00:00:27.400]  嗰陣時仍然有啲天真
[00:00:27.400 --> 00:00:31.800]  以為我一篇講道就可以講完《薩瑪利亞婦人》嘅故事
[00:00:31.800 --> 00:00:34.800]  過咗兩日我知道我需要兩篇
[00:00:34.800 --> 00:00:39.800]  再過得三日我相信三篇講道會比較合適
[00:00:39.800 --> 00:00:42.800]  去到今個禮拜嘅星期三
[00:00:42.800 --> 00:00:45.800]  我打算用四篇講道嚟宣講
[00:00:45.800 --> 00:00:48.800]  最後 昨晚
[00:00:48.800 --> 00:00:53.800]  我終於決定割愛將我一大部份嘅資料留到下個禮拜
[00:00:53.800 --> 00:00:56.800]  如果唔係今日你要聽嘅
[00:00:56.800 --> 00:00:59.800]  可能係我最長嘅講道
[00:00:59.800 --> 00:01:03.800]  《薩瑪利亞婦人》嘅故事
[00:01:03.800 --> 00:01:07.800]  我哋要講一個迷你嘅講道系列
[00:01:07.800 --> 00:01:10.800]  迷你嘅福音系列五篇嘅講道
[00:01:10.800 --> 00:01:14.800]  五篇嘅講道分別係今日講嘅《神奇女俠》
[00:01:14.800 --> 00:01:17.800]  跟住係《我學了》
[00:01:17.800 --> 00:01:19.800]  《永生活水》
[00:01:19.800 --> 00:01:21.800]  《聖靈敬拜》
[00:01:21.800 --> 00:01:24.800]  最後係《世界救主》
[00:01:24.800 --> 00:01:28.800]  呢個係一個特別獻畀Crossway姐妹嘅系列
[00:01:28.800 --> 00:01:32.800]  亦都係獻畀所有渴望活水
[00:01:32.800 --> 00:01:37.800]  立志飲水變成上帝復活嘅兵團
[00:01:37.800 --> 00:01:41.800]  加入上帝大能軍隊嘅每一位弟兄
[00:01:41.800 --> 00:01:43.800]  所以弟兄都有份嘅
[00:01:43.800 --> 00:01:48.800]  雖然個主角或者個配角係一位女士
[00:01:48.800 --> 00:01:52.800]  今日我要先同大家講一個好長嘅引言
[00:01:52.800 --> 00:01:55.800]  然後帶大家進入約翰福音
[00:01:55.800 --> 00:01:58.800]  睇下《撒瑪利亞婦人》呢個故事
[00:01:58.800 --> 00:02:01.800]  喺約翰福音裏面嘅位置
[00:02:01.800 --> 00:02:06.800]  跟住我哋再比對尼哥底姆同埋
[00:02:06.800 --> 00:02:09.800]  撒瑪利亞婦人呢兩個人物
[00:02:09.800 --> 00:02:14.800]  最後帶大家嚟到耶穌嘅十字架面前
[00:02:14.800 --> 00:02:18.800]  開始嘅時候我想問大家一個問題
[00:02:18.800 --> 00:02:22.800]  大家肚唔肚餓?口唔口渴?
[00:02:22.800 --> 00:02:25.800]  如果唔肚餓唔口渴
[00:02:25.800 --> 00:02:27.800]  啱啱食咗tea嘅話
[00:02:27.800 --> 00:02:32.800]  咁我哋不如等多兩個鐘頭先開始講呢篇道
[00:02:32.800 --> 00:02:36.800]  因為如果你唔口渴你唔肚餓
[00:02:36.800 --> 00:02:39.800]  其實聽呢篇道係冇乜feel嘅
[00:02:39.800 --> 00:02:42.800]  咁當然啦講到最後
[00:02:42.800 --> 00:02:44.800]  我哋講緊嘅肚餓口渴
[00:02:44.800 --> 00:02:49.800]  其實唔係講緊肉體上身體上嘅饑渴
[00:02:49.800 --> 00:02:53.800]  你聽每一篇道最重要嘅地方
[00:02:53.800 --> 00:02:55.800]  最需要嘅地方
[00:02:55.800 --> 00:02:58.800]  係喺靈裏面有一種饑渴
