
[00:00:00.000 --> 00:00:02.500]  因為我時不時都要出國港島
[00:00:02.500 --> 00:00:05.300]  有一次我又出國港島
[00:00:05.300 --> 00:00:06.840]  即是不在聖國寺
[00:00:06.840 --> 00:00:08.960]  師母正在家
[00:00:08.960 --> 00:00:10.500]  忽然之間師母就覺得
[00:00:10.500 --> 00:00:13.000]  「咦!我肚子有點痛」
[00:00:13.000 --> 00:00:14.500]  一摸的時候
[00:00:14.500 --> 00:00:19.840]  「咦!好像覺得痛就越來越厲害」
[00:00:19.840 --> 00:00:21.960]  她就開始有點坐立不安
[00:00:21.960 --> 00:00:23.340]  因為可能有些人聽過
[00:00:23.340 --> 00:00:25.540]  師母以前有大腸癌
[00:00:25.540 --> 00:00:27.920]  割了一尺幾腸出來
[00:00:27.920 --> 00:00:32.960]  那個應該是大概在接連燒腸附近的大腸
[00:00:32.960 --> 00:00:34.340]  割了一尺出來
[00:00:34.340 --> 00:00:40.460]  所以師母對肚子旁邊的感覺是特別敏感的
[00:00:40.460 --> 00:00:43.500]  忽然之間「為甚麼會痛呢?」
[00:00:43.500 --> 00:00:45.800]  越想越害怕
[00:00:45.800 --> 00:00:51.120]  會不會是腸癌復發呢?
[00:00:51.120 --> 00:00:53.620]  她又不想我擔心
[00:00:53.620 --> 00:00:55.300]  因為我出了外
[00:00:55.300 --> 00:00:57.500]  但是越坐越覺得不舒服
[00:00:57.500 --> 00:00:59.040]  越坐越害怕
[00:00:59.040 --> 00:01:00.120]  那怎麼辦呢?
[00:01:00.120 --> 00:01:02.620]  於是她就召喚了陳師母
[00:01:02.620 --> 00:01:04.740]  即是陳恩賜穆斯師母
[00:01:04.740 --> 00:01:07.160]  叫陳師母為她祈禱
[00:01:07.160 --> 00:01:08.580]  然後怎樣?
[00:01:08.580 --> 00:01:11.240]  她自己又開始去急症室
[00:01:11.240 --> 00:01:13.120]  真的很厲害
[00:01:13.120 --> 00:01:14.700]  自己開始去急症室
[00:01:14.700 --> 00:01:16.500]  她說「我不行,我肚子痛」
[00:01:16.500 --> 00:01:20.700]  害怕得搶癌復發
[00:01:20.700 --> 00:01:26.200]  特別是當醫護人員一碰觸到痛的地方的時候
[00:01:26.200 --> 00:01:29.540]  大叫一聲「啊!好痛啊!」
[00:01:29.540 --> 00:01:31.960]  「死了,今天一定死了」
[00:01:31.960 --> 00:01:34.780]  誰知醫生就檢查
[00:01:34.780 --> 00:01:37.200]  做了所有有化驗藥的東西
[00:01:37.200 --> 00:01:38.280]  檢查之後
[00:01:38.280 --> 00:01:39.080]  看了所有有化驗藥的東西
[00:01:39.080 --> 00:01:41.580]  結果你沒事
[00:01:41.580 --> 00:01:43.540]  「為甚麼會痛呢?」
[00:01:43.540 --> 00:01:44.860]  不知道為甚麼會痛
[00:01:44.860 --> 00:01:46.780]  那可能是甚麼呢?
[00:01:46.780 --> 00:01:50.580]  其實腸癌是不會痛出外面的
[00:01:50.580 --> 00:01:52.540]  可能是不知道是怎樣
[00:01:52.540 --> 00:01:54.540]  扭到肌肉
[00:01:54.540 --> 00:01:56.040]  才會少運動
[00:01:56.040 --> 00:01:57.240]  扭到肌肉的時候
[00:01:57.240 --> 00:01:58.740]  一碰觸到它的時候
[00:01:58.740 --> 00:02:00.740]  便會痛
[00:02:00.740 --> 00:02:04.820]  但當我們有這樣的情況的時候
[00:02:04.820 --> 00:02:06.820]  是很害怕的
[00:02:06.820 --> 00:02:08.320]  中國有一句說話
[00:02:08.320 --> 00:02:09.320]  大家聽過了
[00:02:09.320 --> 00:02:10.320]  是甚麼?
[00:02:10.320 --> 00:02:16.120]  「疑心就會生暗鬼」
[00:02:16.120 --> 00:02:17.540]  大家聽過這句說話
[00:02:17.540 --> 00:02:19.540]  即是當你有疑心的時候
[00:02:19.540 --> 00:02:22.620]  就會製造一些無形的鬼魅
[00:02:22.620 --> 00:02:27.840]  讓你覺得越來越害怕
[00:02:27.840 --> 00:02:29.540]  其實說到底
[00:02:29.540 --> 00:02:30.740]  原來是自欺欺人
[00:02:30.740 --> 00:02:32.000]  甚麼都沒有
[00:02:32.000 --> 00:02:33.040]  不是說沒有發生
[00:02:33.040 --> 00:02:33.800]  真的會痛
[00:02:33.800 --> 00:02:39.420]  不過不是我們想像中那麼嚴重的事情
[00:02:39.420 --> 00:02:41.620]  我相信其實我們很多人
[00:02:41.620 --> 00:02:45.880]  都曾經有疑神疑鬼
[00:02:45.880 --> 00:02:49.040]  這些經驗
[00:02:49.040 --> 00:02:52.340]  只不過可能我們驚嚇的程度不同
[00:02:52.340 --> 00:02:54.640]  有沒有試過疑神疑鬼?
[00:02:54.640 --> 00:02:56.940]  多多少少都會有
[00:02:56.940 --> 00:02:58.640]  當我們懷疑
[00:02:58.640 --> 00:02:59.940]  我們看到的東西
[00:02:59.940 --> 00:03:00.840]  聽到的東西
[00:03:00.840 --> 00:03:02.340]  或者我們感覺到的東西
[00:03:02.340 --> 00:03:04.240]  有些不太妥當
[00:03:04.240 --> 00:03:05.340]  無論是人也好
[00:03:05.340 --> 00:03:06.840]  事也好
[00:03:06.840 --> 00:03:08.440]  特別我們覺得通常
[00:03:08.440 --> 00:03:09.540]  為甚麼會有這樣的情況呢?
[00:03:09.540 --> 00:03:11.340]  好像對我們來說
[00:03:11.340 --> 00:03:12.540]  不是太好
[00:03:12.540 --> 00:03:15.540]  有些不利的影響
[00:03:15.540 --> 00:03:17.140]  人是很壞的
[00:03:17.140 --> 00:03:18.640]  先這樣懷疑
[00:03:18.640 --> 00:03:22.340]  先從不好的方面去想
[00:03:22.340 --> 00:03:24.840]  但當你從不好的方面去想的時候
[00:03:24.840 --> 00:03:27.340]  越想就越覺得是
[00:03:27.340 --> 00:03:28.040]  是不是?
[00:03:28.040 --> 00:03:29.040]  有沒有試過?
[00:03:29.040 --> 00:03:30.640]  越想你就越害怕
[00:03:30.640 --> 00:03:32.340]  越想就越害怕
[00:03:32.340 --> 00:03:34.040]  越想你就越容易
[00:03:34.040 --> 00:03:38.140]  跌落到一個身體心靈接近崩潰
[00:03:38.140 --> 00:03:39.340]  覺得徬徨不可
[00:03:39.340 --> 00:03:41.540]  總是不知道怎麼辦
[00:03:41.540 --> 00:03:43.340]  所以當你懷疑的時候
[00:03:43.340 --> 00:03:45.740]  應該怎麼辦呢?
[00:03:45.740 --> 00:03:48.240]  今天就跟大家說這個題目
[00:03:48.240 --> 00:03:49.440]  當你有懷疑的時候
[00:03:49.440 --> 00:03:51.340]  怎麼辦呢?
[00:03:51.340 --> 00:03:52.640]  我們看《雅閣書》
[00:03:52.640 --> 00:03:55.240]  這是梁牧師給我們的經文
[00:03:55.240 --> 00:03:59.440]  《雅閣書》其實是一本很實用的書信
[00:03:59.440 --> 00:04:01.440]  裡面有很多東西
[00:04:01.440 --> 00:04:03.340]  但都是很實際很實用
[00:04:03.340 --> 00:04:06.340]  幫助我們去面對各種不同的問題
[00:04:06.340 --> 00:04:08.340]  其中一樣東西他有說到
