
[00:00:00.000 --> 00:00:05.640]  各位靖姐妹,一直這幾年都在聽廣道
[00:00:05.640 --> 00:00:10.160]  大家都知道我們今年的廣道方向有四句說話
[00:00:10.160 --> 00:00:13.120]  看得見的愛,明白神的心
[00:00:13.120 --> 00:00:17.000]  顛覆生命的能力,避神反轉的生命
[00:00:17.000 --> 00:00:20.120]  總括來說,這四句說話歸向一個方向
[00:00:20.120 --> 00:00:23.120]  我們的教會成為真門徒的教會
[00:00:23.120 --> 00:00:26.000]  看得見的愛,就是我們信耶穌的人
[00:00:26.000 --> 00:00:31.000]  跟從耶穌的人,不是只有一張嘴說我愛你
[00:00:31.000 --> 00:00:36.000]  神的愛是要讓人看見,讓人經歷到
[00:00:36.000 --> 00:00:40.000]  我們要行動將這份愛去表達出來
[00:00:40.000 --> 00:00:44.000]  但如果我們只有愛字,我們不明白神的心
[00:00:44.000 --> 00:00:48.000]  不知道祂的心意,我們就愛我們認為要愛的
[00:00:48.000 --> 00:00:52.000]  我們要用我們的方式,用我們的方法去愛
[00:00:52.000 --> 00:00:55.000]  總之我們覺得可愛就愛了
[00:00:55.000 --> 00:00:57.000]  就是我們要明白神的心
[00:00:57.000 --> 00:01:01.000]  我們要帶著神的愛,去愛祂要我們愛的人
[00:01:01.000 --> 00:01:03.000]  大家有不同的負擔
[00:01:03.000 --> 00:01:05.000]  顛覆生命的能力是什麼呢?
[00:01:05.000 --> 00:01:07.000]  是聖靈復活的大能
[00:01:07.000 --> 00:01:10.000]  如果我們只說愛,靠著我們的血氣
[00:01:10.000 --> 00:01:12.000]  靠著我們的能力,靠著我們的本事去愛
[00:01:12.000 --> 00:01:17.000]  到有一天將會苦幹,將會凋謝,將會累
[00:01:17.000 --> 00:01:19.000]  我們就會離開
[00:01:19.000 --> 00:01:24.000]  但上帝的愛,就藉著聖靈囂貫在我們當中
[00:01:24.000 --> 00:01:28.000]  讓我們先被愛,我們就能夠愛神、愛人
[00:01:28.000 --> 00:01:32.000]  所以復活的大能是超級重要
