
[00:00:00.000 --> 00:00:04.000]  第一節會議平安,我們一同低頭禱告
[00:00:04.000 --> 00:00:08.000]  感謝天父,滿有恩典憐憫
[00:00:08.000 --> 00:00:12.000]  您要按著您自己的形象,不單做我們
[00:00:12.000 --> 00:00:17.000]  您要將您的靈放在裡面,使我們的靈魂蘇醒
[00:00:17.000 --> 00:00:19.000]  今天早上我們再次來到您面前
[00:00:19.000 --> 00:00:22.000]  求主讓我們傳一個感恩的心
[00:00:22.000 --> 00:00:24.000]  也讓我們謙卑受教心
[00:00:24.000 --> 00:00:30.000]  自從您自己獨人,他們在生命中的經歷
[00:00:30.000 --> 00:00:33.000]  讓我們看到如何做一個完全依靠您的人
[00:00:33.000 --> 00:00:36.000]  多謝您帶領我們過去的日子
[00:00:36.000 --> 00:00:39.000]  我們深信您不單過去拯救我們
[00:00:39.000 --> 00:00:44.000]  您現在救我們,您將來仍要救我們
[00:00:44.000 --> 00:00:47.000]  讓我們能夠不單脫離那極大的死亡
[00:00:47.000 --> 00:00:49.000]  而進入您永恆的裡面
[00:00:49.000 --> 00:00:50.000]  所以聽我們的禱告
[00:00:50.000 --> 00:00:54.000]  帶領我們每一位在您面前仰望您
[00:00:54.000 --> 00:00:57.000]  等候您的人都能夠重新得力
[00:00:57.000 --> 00:01:00.000]  奉耶穌名字祈禱,阿們
[00:01:00.000 --> 00:01:05.000]  世界上每一天都發生很多事情
[00:01:05.000 --> 00:01:08.000]  我們收到的資訊叫做新聞
[00:01:08.000 --> 00:01:15.000]  但是每一件新聞今天發生,明天就是歷史
[00:01:15.000 --> 00:01:22.000]  所以整個人類的歷史記載了已經發生了過去的事情
[00:01:22.000 --> 00:01:26.000]  神在這本聖經上就將很多的歷史放在裡面
[00:01:26.000 --> 00:01:28.000]  這些是故事
[00:01:28.000 --> 00:01:33.000]  問題就是這些故事發生在整個世界,整個宇宙裡面
[00:01:33.000 --> 00:01:40.000]  到底你和我在這些故事中間是一個怎樣的事情呢?
[00:01:40.000 --> 00:01:45.000]  有一本書的書名叫做《神的故事你的故事》
[00:01:45.000 --> 00:01:48.000]  是D.A. Carson所寫的
[00:01:48.000 --> 00:01:51.000]  它另外一個字眼就叫做
[00:01:51.000 --> 00:01:54.000]  The God Who Is There
[00:01:54.000 --> 00:01:57.000]  Finding Your Place in God's History
[00:01:57.000 --> 00:01:59.000]  神在這裡
[00:01:59.000 --> 00:02:03.000]  你在神的歷史中間你是一個怎樣的角色
[00:02:03.000 --> 00:02:07.000]  你是一個怎樣的處境呢?
[00:02:07.000 --> 00:02:13.000]  在這本書裡面有提到很多關於舊因的問題
[00:02:13.000 --> 00:02:17.000]  我相信今天我都希望藉著一個故事
[00:02:17.000 --> 00:02:19.000]  是雅各的故事
[00:02:19.000 --> 00:02:22.000]  從雅各的故事裡面看回
[00:02:22.000 --> 00:02:27.000]  雅各他大半生大概有九十年的時間
[00:02:27.000 --> 00:02:29.000]  與神的相交裡面
[00:02:29.000 --> 00:02:31.000]  到底他要學什麼
[00:02:31.000 --> 00:02:33.000]  先給大家看兩幅圖
[00:02:33.000 --> 00:02:39.000]  這幅圖是在地圖集中出來的
[00:02:39.000 --> 00:02:41.000]  第一幅就是
[00:02:41.000 --> 00:02:49.000]  阿伯蘭離開加拿大吾爾的時候
[00:02:49.000 --> 00:02:52.000]  他爸爸帶他去到哈蘭
[00:02:52.000 --> 00:02:54.000]  在哈蘭停在那裡
[00:02:54.000 --> 00:02:56.000]  神再遇到他叫他離開哈蘭
[00:02:56.000 --> 00:02:58.000]  於是進入到迦南地
[00:02:58.000 --> 00:03:00.000]  這個就是哈蘭
[00:03:00.000 --> 00:03:03.000]  所以當阿伯蘭和羅德離開哈蘭
[00:03:03.000 --> 00:03:05.000]  去到迦南地之後
[00:03:05.000 --> 00:03:09.000]  以撒都在這裡生活
