
[00:00:00.000 --> 00:00:02.680]  《路加福音》第十二章耶穌的比喻
[00:00:02.680 --> 00:00:05.560]  對於很多人來說都是耳熟能詳的
[00:00:05.560 --> 00:00:08.480]  《路加福音》第十二章
[00:00:08.480 --> 00:00:11.040]  有一個很重要的主題
[00:00:11.040 --> 00:00:13.400]  我們嘗試去留意一下
[00:00:13.400 --> 00:00:16.160]  就是耶穌在這個當中
[00:00:16.160 --> 00:00:19.760]  去講論關於天國的事
[00:00:19.760 --> 00:00:23.440]  而更加重點的就是在於祂的身份的角色
[00:00:23.440 --> 00:00:28.040]  以及祂要做的事情
[00:00:29.240 --> 00:00:31.200]  而我今天在這段經文裏面
[00:00:31.200 --> 00:00:33.320]  我想從大家的主題裏面
[00:00:33.320 --> 00:00:37.440]  就是意想不到的後果來起步去思考
[00:00:37.440 --> 00:00:42.280]  經文裏面有一個很微妙
[00:00:42.280 --> 00:00:45.240]  很細緻的地方就是「想不到」
[00:00:45.240 --> 00:00:47.800]  想不到的時候主人就回來
[00:00:47.800 --> 00:00:51.480]  而更加還有一個想不到的地方就是
[00:00:51.480 --> 00:00:54.320]  主人會事後捕人
[00:00:54.320 --> 00:00:56.040]  這個想不到後果
[00:00:56.040 --> 00:01:00.360]  讓我進入這段經文的一個重點就是
[00:01:00.360 --> 00:01:03.800]  一個可以受主事後
[00:01:03.800 --> 00:01:07.040]  以及受主責打的思考
[00:01:07.040 --> 00:01:11.760]  而這兩個截然不同的後果
[00:01:11.760 --> 00:01:16.360]  讓我們看到其實要我們怎樣去選擇
[00:01:16.360 --> 00:01:21.280]  這個就是我想跟大家分享的內容
[00:01:21.280 --> 00:01:25.360]  讓我們一起同心來祈禱
[00:01:25.360 --> 00:01:26.320]  再幫助我們
[00:01:26.320 --> 00:01:31.440]  也求主祢使用捕人今日的理解、分享
[00:01:31.440 --> 00:01:35.840]  將經文裏面上帝祢的心意來傳出
[00:01:35.840 --> 00:01:38.480]  更好的來更新我們的心思意念
[00:01:38.480 --> 00:01:42.080]  讓我們更好的去理解祢的要求
[00:01:42.080 --> 00:01:43.560]  知道祢的需要
[00:01:43.560 --> 00:01:45.480]  知道祢要我們怎樣做的時候
[00:01:45.480 --> 00:01:47.480]  我們更好的跟隨祢
[00:01:47.480 --> 00:01:50.720]  求祢真的去監察我們、引導我們
[00:01:50.720 --> 00:01:53.080]  成為祢合用的器皿、榮耀主的名
[00:01:53.080 --> 00:01:55.000]  禱告鳳耶穌基督聖名的祈求
[00:01:55.000 --> 00:01:57.480]  對
[00:01:57.480 --> 00:02:01.640]  這個段落的經文很簡單直接
[00:02:01.640 --> 00:02:02.800]  用一個比喻
[00:02:02.800 --> 00:02:08.360]  耶穌的比喻來教導關於上帝對選民的要求
[00:02:08.360 --> 00:02:09.680]  講論的背景
[00:02:09.680 --> 00:02:12.360]  在十二章裏面的一開始就講了
[00:02:12.360 --> 00:02:16.160]  很多人、很多人的聚集
[00:02:16.160 --> 00:02:17.800]  十二章的一節開始就說
[00:02:17.800 --> 00:02:21.600]  這時有幾萬人聚集甚至彼此踐踏
[00:02:21.600 --> 00:02:26.600]  耶穌就先對門徒說一段話
[00:02:26.600 --> 00:02:29.200]  可能我們去讀聖經的時候
[00:02:29.200 --> 00:02:30.000]  我們會問
[00:02:30.000 --> 00:02:31.920]  究竟耶穌一番言論
[00:02:31.920 --> 00:02:35.960]  是否的確完全在這個場景裏面呢?
[00:02:35.960 --> 00:02:38.360]  究竟路加福音的作者路加
[00:02:38.360 --> 00:02:40.880]  有沒有一些刻意的安排
[00:02:40.880 --> 00:02:45.080]  去鋪排整個的言論呢?
[00:02:45.080 --> 00:02:48.800]  我先擺下了這個思考
[00:02:48.800 --> 00:02:50.840]  如果我們就按著十二章裏面
[00:02:50.840 --> 00:02:53.480]  一開始的場景來去理解
[00:02:53.480 --> 00:02:55.760]  即是說是耶穌對著一班群眾
[00:02:55.760 --> 00:02:58.960]  來去講這個以下的比喻
[00:02:58.960 --> 00:03:00.000]  換言之
[00:03:00.000 --> 00:03:02.440]  這個比喻就是在講
[00:03:02.440 --> 00:03:11.000]  上帝怎樣去要求祂的指紋
[00:03:11.000 --> 00:03:12.400]  我們先來看一下
[00:03:12.400 --> 00:03:16.880]  十二章裏面的三十五節、四十八節裏面
[00:03:16.880 --> 00:03:19.440]  開始的言說
[00:03:19.440 --> 00:03:21.400]  這個言說一開始的時候
[00:03:21.400 --> 00:03:23.400]  其實和前面的段落
[00:03:23.400 --> 00:03:25.920]  就是在講做門徒的要求
[00:03:25.920 --> 00:03:27.120]  不要憂慮
[00:03:27.120 --> 00:03:30.920]  你要全心全意的來交給上帝
[00:03:30.920 --> 00:03:32.040]  跟隨上帝
[00:03:32.040 --> 00:03:37.400]  然後就進入了這段比喻裏面的論述
[00:03:37.400 --> 00:03:39.200]  在這裏我想大家留意的
[00:03:39.200 --> 00:03:43.120]  就是耶穌講了一個有福的
[00:03:43.120 --> 00:03:45.800]  有福的僕人
[00:03:45.800 --> 00:03:48.000]  三十七節裏面就講
[00:03:48.000 --> 00:03:49.720]  主人來了,看見僕人警醒
[00:03:49.720 --> 00:03:52.040]  那些僕人就有福了
[00:03:52.040 --> 00:03:54.600]  我相信聖經提到警醒這個主題
[00:03:54.600 --> 00:03:56.440]  大家都耳熟能詳
[00:03:56.440 --> 00:03:58.280]  經常都講的
[00:03:58.280 --> 00:04:00.440]  不醒都叫到醒
[00:04:00.440 --> 00:04:03.400]  這個就是我們的慣常
[00:04:03.400 --> 00:04:05.080]  不過講得多
[00:04:05.080 --> 00:04:07.920]  你會覺得是沉氣還是重要呢
[00:04:07.920 --> 00:04:08.480]  講得多
[00:04:08.480 --> 00:04:11.960]  究竟你會認為真的叫醒你
[00:04:11.960 --> 00:04:14.120]  耶穌就在這一個題目裏面
[00:04:14.120 --> 00:04:18.080]  講了這個比喻,有福
[00:04:18.080 --> 00:04:19.880]  有福的原因是什麼呢
[00:04:19.880 --> 00:04:24.120]  有福的表現就是因為取得主人的喜悅和欣賞
[00:04:24.120 --> 00:04:28.520]  如果我們細心去想這個僕人做了些什麼呢
[00:04:28.520 --> 00:04:32.440]  僕人所做的其實正正是本分
[00:04:32.440 --> 00:04:35.520]  束腰、點著燈
[00:04:35.520 --> 00:04:39.640]  阿嬤阿生回來敲門你就開門
[00:04:39.640 --> 00:04:40.920]  個個都可以
[00:04:40.920 --> 00:04:42.880]  你想想你的工人如果做足這些事
[00:04:42.880 --> 00:04:44.880]  你會不會說
[00:04:44.880 --> 00:04:52.120]  「Suki,你坐下,我幫你倒茶遞水,我請你吃飯」
[00:04:52.120 --> 00:04:54.240]  你不會
[00:04:54.240 --> 00:04:58.240]  就算你等到半夜三更回來
[00:04:58.240 --> 00:04:59.640]  Suki對你這麼好
[00:04:59.640 --> 00:05:01.120]  你都未必這樣對她
[00:05:01.120 --> 00:05:06.000]  但是聖經講了這個主人叫她坐席
[00:05:06.000 --> 00:05:08.720]  還要侍候她
[00:05:08.720 --> 00:05:12.280]  我相信這個是很不尋常
[00:05:12.280 --> 00:05:15.440]  或者是一個很不可能的事發生
[00:05:15.440 --> 00:05:17.520]  但是耶穌為什麼這樣講呢
[00:05:17.520 --> 00:05:19.800]  正正就是耶穌有時候在祂的比喻裏面
[00:05:19.800 --> 00:05:22.080]  祂要引起我們的興趣
[00:05:22.080 --> 00:05:24.080]  引起我們的疑惑
