
[00:00:00.000 --> 00:00:04.360]  今天我們會繼續講保羅眼中的聖誕節
[00:00:04.360 --> 00:00:06.640]  大家聖誕節準備好了嗎?
[00:00:06.640 --> 00:00:08.760]  還沒有吧?
[00:00:08.760 --> 00:00:10.160]  有些準備好了吧?
[00:00:10.160 --> 00:00:12.080]  我們今天會看哥羅西書
[00:00:12.080 --> 00:00:16.120]  哥羅西書我們會看一章的15至20節
[00:00:16.120 --> 00:00:18.760]  我們一起讀今天的主題好嗎?
[00:00:18.760 --> 00:00:19.920]  1,2,3
[00:00:19.920 --> 00:00:24.840]  天國特色聖誕主義思想
[00:00:24.840 --> 00:00:28.160]  什麼叫做天國特色聖誕主義思想呢?
[00:00:28.160 --> 00:00:30.200]  天國特色聖誕主義思想
[00:00:30.200 --> 00:00:33.320]  和一般的聖誕主義思想是不同的
[00:00:33.320 --> 00:00:35.400]  因爲一般的聖誕主義思想
[00:00:35.400 --> 00:00:38.200]  都是講聖誕老人爲主角
[00:00:38.200 --> 00:00:41.360]  聖誕大餐、聖誕派對、聖誕禮物
[00:00:41.360 --> 00:00:42.560]  其實很合理
[00:00:42.560 --> 00:00:45.680]  但是我們天國特色的聖誕主義思想
[00:00:45.680 --> 00:00:46.640]  更加合理
[00:00:46.640 --> 00:00:47.080]  爲什麼?
[00:00:47.080 --> 00:00:48.640]  因爲我們的主角是誰?
[00:00:48.640 --> 00:00:49.880]  是耶穌基督,對吧?
[00:00:49.880 --> 00:00:55.760]  因爲我們都經歷了十架上高的愛和大能
[00:00:55.760 --> 00:00:56.720]  Amen?
[00:00:56.720 --> 00:01:00.440]  這個經歷讓我們基督徒不再與神隔絕
[00:01:00.440 --> 00:01:03.520]  還有這個愛和力量給我們走出去的時候
[00:01:03.520 --> 00:01:06.160]  就算這個世界再艱苦、再黑暗
[00:01:06.160 --> 00:01:07.760]  我們都有德性的盼望
[00:01:07.760 --> 00:01:08.440]  Amen?
[00:01:08.440 --> 00:01:09.400]  大家同不同意?
[00:01:09.400 --> 00:01:11.080]  同意的給我一個Amen
[00:01:11.080 --> 00:01:11.560]  OK?
[00:01:11.560 --> 00:01:12.400]  Amen
[00:01:12.400 --> 00:01:16.440]  我們每一天只要有這個愛和能力
[00:01:16.440 --> 00:01:18.960]  每一天都是聖誕節
[00:01:18.960 --> 00:01:20.720]  這個愛和力量
[00:01:20.720 --> 00:01:22.520]  尤其是在這個時代
[00:01:22.520 --> 00:01:23.600]  是非常重要
[00:01:23.600 --> 00:01:26.040]  因爲這個時代很黑暗
[00:01:26.040 --> 00:01:31.760]  有很多時候我們沒有愛和力量繼續走下去
[00:01:31.760 --> 00:01:32.840]  有打仗
[00:01:32.840 --> 00:01:33.640]  對吧?
[00:01:33.640 --> 00:01:34.960]  打仗的風聲
[00:01:34.960 --> 00:01:37.800]  如果我們真的看進去的新聞
[00:01:37.800 --> 00:01:40.920]  有很多我們接受不了的故事
[00:01:40.920 --> 00:01:42.440]  有人被殺
[00:01:42.440 --> 00:01:43.680]  你們都知道的
[00:01:43.680 --> 00:01:44.800]  疫情
[00:01:44.800 --> 00:01:46.360]  疫情讓很多人失業
[00:01:46.360 --> 00:01:47.120]  對吧?
[00:01:47.120 --> 00:01:52.320]  我知道有很多人存了一身的金錢開餐館
[00:01:52.320 --> 00:01:54.240]  一開了之後十幾萬全沒了
[00:01:54.240 --> 00:01:56.520]  因爲疫情就要倒閉
[00:01:56.520 --> 00:01:57.720]  有些人生病
[00:01:57.720 --> 00:01:59.080]  之前我們還沒打針之前
[00:01:59.080 --> 00:02:01.880]  有些人面對生離死別
[00:02:01.880 --> 00:02:04.600]  在病房裏面也是隔着屏幕道別
[00:02:04.600 --> 00:02:07.680]  那就從此隔絕了
[00:02:07.680 --> 00:02:12.200]  但是這個世代很需要基督的愛和力量
[00:02:12.200 --> 00:02:14.160]  很可惜
[00:02:14.160 --> 00:02:15.240]  很可惜
[00:02:15.240 --> 00:02:19.480]  還有很多人都還沒有認識神
[00:02:19.480 --> 00:02:23.040]  這個疫情也都啓發了我寫這篇道這個主題
[00:02:23.040 --> 00:02:26.280]  容許我跟大家分享一下
[00:02:26.280 --> 00:02:28.240]  兩個禮拜之前
