
[00:00:00.000 --> 00:00:03.000]  網上流傳了簡單的一句話
[00:00:03.000 --> 00:00:06.000]  就可以KO了人家的一些質疑
[00:00:06.000 --> 00:00:07.500]  例如什麼呢
[00:00:07.500 --> 00:00:10.000]  例如當你有一個朋友跟你相信的時候
[00:00:10.000 --> 00:00:12.000]  但是你一早提醒了他
[00:00:12.000 --> 00:00:15.000]  那你可以怎樣KO了他這個問題呢
[00:00:15.000 --> 00:00:18.000]  這條路是你自己選擇的
[00:00:18.000 --> 00:00:19.500]  當你有一個朋友跟你相信的時候
[00:00:19.500 --> 00:00:21.500]  但是你又沒有認真去聽
[00:00:21.500 --> 00:00:23.000]  但是你又要有反應的時候
[00:00:23.000 --> 00:00:24.500]  你可以做些什麼呢
[00:00:24.500 --> 00:00:27.500]  就是這樣了 很奇怪
[00:00:27.500 --> 00:00:28.500]  當有人問你
[00:00:28.500 --> 00:00:30.000]  為什麼要這樣做啊
[00:00:30.000 --> 00:00:32.500]  但是你又不想太多解釋的時候
[00:00:32.500 --> 00:00:33.500]  你就會說
[00:00:33.500 --> 00:00:35.000]  年輕人不做
[00:00:35.000 --> 00:00:37.500]  難道等老了才做嗎
[00:00:37.500 --> 00:00:40.000]  當對方太嘮叨的時候
[00:00:40.000 --> 00:00:41.500]  你不想再回覆他
[00:00:41.500 --> 00:00:43.000]  你就可能說
[00:00:43.000 --> 00:00:45.500]  都是觀點與角度而已
[00:00:45.500 --> 00:00:48.000]  當你根本沒有聽到他說話
[00:00:48.000 --> 00:00:49.500]  但是又要敷衍他幾句
[00:00:49.500 --> 00:00:50.500]  就會說
[00:00:50.500 --> 00:00:51.500]  你喜歡啦
[00:00:51.500 --> 00:00:53.500]  你喜歡就可以了
[00:00:53.500 --> 00:00:55.500]  你和你女朋友說
[00:00:55.500 --> 00:00:57.000]  關於弟兄的事的時候
[00:00:57.000 --> 00:00:58.500]  他怎麼說都不明白
[00:00:58.500 --> 00:00:59.500]  你就會說
[00:00:59.500 --> 00:01:01.000]  手足那種情義
[00:01:01.000 --> 00:01:03.500]  你懂什麼 你明白什麼
[00:01:03.500 --> 00:01:05.500]  當對方說你太嘮叨
[00:01:05.500 --> 00:01:08.000]  你很想完結對方的講話的時候
[00:01:08.000 --> 00:01:10.500]  你說怎樣就怎樣
[00:01:10.500 --> 00:01:11.500]  當有人問你
[00:01:11.500 --> 00:01:12.500]  為什麼要這樣做啊
[00:01:12.500 --> 00:01:14.500]  賺錢而已 犯法啊
[00:01:14.500 --> 00:01:16.500]  你想我怎樣啊
[00:01:16.500 --> 00:01:17.500]  當有人問
[00:01:17.500 --> 00:01:18.500]  為什麼會變成這樣啊
[00:01:18.500 --> 00:01:23.000]  這個世界沒有無緣無故的東西的
[00:01:23.000 --> 00:01:25.000]  這個世界可以一句話
[00:01:25.000 --> 00:01:29.500]  就可以嘗試去KO了對方連番的說話
[00:01:29.500 --> 00:01:31.000]  有一幅漫畫
[00:01:31.000 --> 00:01:32.500]  都蠻能表達到
[00:01:32.500 --> 00:01:35.500]  人面對一些難過的時候
[00:01:35.500 --> 00:01:37.000]  聽到一些說話傷害到你
[00:01:37.000 --> 00:01:38.500]  那種感受
[00:01:38.500 --> 00:01:42.500]  角色A就站在那裡
[00:01:42.500 --> 00:01:44.500]  就說你年紀這麼大
[00:01:44.500 --> 00:01:47.500]  還是單身一定可以儲到很多錢
[00:01:47.500 --> 00:01:49.500]  不知道你聽到這句說話的時候
[00:01:49.500 --> 00:01:50.500]  感覺是什麼
[00:01:50.500 --> 00:01:52.000]  坐在那裡的角色B就說
[00:01:52.000 --> 00:01:54.500]  你一句說話就傷害了我三次
[00:01:54.500 --> 00:01:57.500]  說一個秘密給大家聽
[00:01:57.500 --> 00:01:58.500]  雖然有錄音
[00:01:58.500 --> 00:02:01.500]  我的女兒有一次跟我回香港
[00:02:01.500 --> 00:02:02.500]  回香港的時候
[00:02:02.500 --> 00:02:04.500]  我當然叫她認識一下我的朋友
[00:02:04.500 --> 00:02:05.500]  很自然的
[00:02:05.500 --> 00:02:09.500]  我就介紹了我的神學院的老朋友給她認識
[00:02:09.500 --> 00:02:11.500]  我們去了喝茶
[00:02:11.500 --> 00:02:12.500]  去了喝茶的時候
[00:02:12.500 --> 00:02:14.500]  她看到我的很陌生的朋友
[00:02:14.500 --> 00:02:15.500]  一坐下來
[00:02:15.500 --> 00:02:17.500]  第一句坐下來
[00:02:17.500 --> 00:02:19.500]  我的朋友就馬上說了一句說話
[00:02:19.500 --> 00:02:20.500]  在她面前說
[00:02:20.500 --> 00:02:25.500]  嘩!你和你的哥哥的身形很不一樣
[00:02:25.500 --> 00:02:28.500]  嘩!這句說話你知道了
[00:02:28.500 --> 00:02:29.500]  認識了Phoebe的人
[00:02:29.500 --> 00:02:32.500]  你就會知道她有什麼很大的反應
[00:02:32.500 --> 00:02:34.500]  她表面是沒事的
[00:02:34.500 --> 00:02:36.500]  但是離開了酒樓之後
[00:02:36.500 --> 00:02:37.500]  跟著跟我說
[00:02:37.500 --> 00:02:39.500]  以後你回香港
[00:02:39.500 --> 00:02:46.500]  不要再帶我去見這個阿姨
[00:02:46.500 --> 00:02:49.500]  其實一句就夠了
[00:02:49.500 --> 00:02:51.500]  一句的說話
[00:02:51.500 --> 00:02:54.500]  令到人真的會很傷心
[00:02:54.500 --> 00:02:55.500]  我也試過
[00:02:55.500 --> 00:02:57.500]  我以前在教會裡面做過幹事
[00:02:57.500 --> 00:02:59.500]  讀神學的時候
[00:02:59.500 --> 00:03:00.500]  以前你知道
[00:03:00.500 --> 00:03:01.500]  我的時代
[00:03:01.500 --> 00:03:02.500]  我的時代
[00:03:02.500 --> 00:03:03.500]  我的時候
[00:03:03.500 --> 00:03:06.500]  教會的bulletin中文怎麼翻譯呢
[00:03:06.500 --> 00:03:07.500]  程序表
[00:03:07.500 --> 00:03:08.500]  程序表
[00:03:08.500 --> 00:03:10.500]  還要用手寫
[00:03:10.500 --> 00:03:12.500]  手寫當然會寫錯東西
[00:03:12.500 --> 00:03:14.500]  有時候當然會有錯字
[00:03:14.500 --> 00:03:16.500]  我記得那一次崇拜開始
[00:03:16.500 --> 00:03:19.500]  女廚站在湧鍋的位置
[00:03:19.500 --> 00:03:20.500]  大聲喊過來
[00:03:20.500 --> 00:03:22.500]  曹志光
[00:03:22.500 --> 00:03:23.500]  我說什麼事
[00:03:23.500 --> 00:03:25.500]  你寫錯一隻字了
[00:03:25.500 --> 00:03:26.500]  當時崇拜快要開始了
[00:03:26.500 --> 00:03:27.500]  你知道嗎
[00:03:27.500 --> 00:03:28.500]  嘩!真是
[00:03:28.500 --> 00:03:32.500]  真是想唱眼淚在心裡流
[00:03:32.500 --> 00:03:33.500]  當時我很小
[00:03:33.500 --> 00:03:35.500]  十幾歲
[00:03:35.500 --> 00:03:37.500]  十幾歲的少年人
[00:03:37.500 --> 00:03:38.500]  用不用玩得這麼大
[00:03:38.500 --> 00:03:40.500]  在眾人面前
[00:03:40.500 --> 00:03:41.500]  去學你
[00:03:41.500 --> 00:03:44.500]  你寫錯一隻字
[00:03:44.500 --> 00:03:46.500]  當我做了人爸爸的時候
[00:03:46.500 --> 00:03:48.500]  我發現
[00:03:48.500 --> 00:03:50.500]  我都犯同樣的錯誤
[00:03:50.500 --> 00:03:52.500]  我記得有一次
[00:03:52.500 --> 00:03:53.500]  有一次是怎麼樣呢
[00:03:53.500 --> 00:03:55.500]  有一次我買了一些可樂
[00:03:55.500 --> 00:03:57.500]  我就收了在床下底
[00:03:57.500 --> 00:03:59.500]  因為我不想小朋友喝
[00:03:59.500 --> 00:04:01.500]  不想他們喝得那麼誇張
[00:04:01.500 --> 00:04:03.500]  所以有限度分配
[00:04:03.500 --> 00:04:06.500]  想著八罐可樂就收在床下底
[00:04:06.500 --> 00:04:08.500]  但有一天我回到家的時候發現
[00:04:08.500 --> 00:04:10.500]  有兩罐不見了
[00:04:10.500 --> 00:04:12.500]  沒理由有腳走的可樂
