
[00:00:00.000 --> 00:00:02.000]  由這個禮拜開始
[00:00:02.000 --> 00:00:05.000]  我們會看《馬可福音》
[00:00:05.000 --> 00:00:08.000]  認識耶穌是誰
[00:00:08.000 --> 00:00:10.000]  今天我的主題是
[00:00:10.000 --> 00:00:12.000]  上帝在人間
[00:00:12.000 --> 00:00:17.000]  最近我聽一位神學家說到
[00:00:17.000 --> 00:00:20.000]  有關向人傳福音的事
[00:00:20.000 --> 00:00:23.000]  很多時候我們都會先
[00:00:23.000 --> 00:00:26.000]  跟一些未信的人證明
[00:00:26.000 --> 00:00:27.000]  真的有上帝
[00:00:27.000 --> 00:00:29.000]  上帝真的存在
[00:00:29.000 --> 00:00:30.000]  一般來說
[00:00:30.000 --> 00:00:33.000]  由於現代人都受過教育
[00:00:33.000 --> 00:00:35.000]  我們就會用證據
[00:00:35.000 --> 00:00:38.000]  邏輯去證明上帝的存在
[00:00:38.000 --> 00:00:41.000]  比如說我們看看這個世界
[00:00:41.000 --> 00:00:44.000]  很多事情都配合得非常美好
[00:00:44.000 --> 00:00:47.000]  完全適合人類居住
[00:00:47.000 --> 00:00:50.000]  跟月球比較的話
[00:00:50.000 --> 00:00:52.000]  月球真的什麼都沒有
[00:00:52.000 --> 00:00:55.000]  最近中國發射了上顎四號
[00:00:55.000 --> 00:00:58.000]  去到月球的背面
[00:00:58.000 --> 00:01:00.000]  傳回來的圖像都讓我們看到
[00:01:00.000 --> 00:01:02.000]  那裡又沒有大氣層
[00:01:02.000 --> 00:01:03.000]  又沒有水
[00:01:03.000 --> 00:01:04.000]  又沒有植物
[00:01:04.000 --> 00:01:05.000]  也沒有動物
[00:01:05.000 --> 00:01:07.000]  月球的存在
[00:01:07.000 --> 00:01:11.000]  也不過是為了地球的環境
[00:01:11.000 --> 00:01:13.000]  不是讓我們去住的
[00:01:13.000 --> 00:01:15.000]  因此地球的奇妙
[00:01:15.000 --> 00:01:19.000]  證明有一位設計者的存在
[00:01:19.000 --> 00:01:21.000]  我們稱為上帝
[00:01:21.000 --> 00:01:24.000]  不過這位神學家就說
[00:01:24.000 --> 00:01:29.000]  其實我們不需要證明上帝的存在
[00:01:29.000 --> 00:01:30.000]  為什麼呢?
[00:01:30.000 --> 00:01:33.000]  因為羅馬書一章十八至十九節說
[00:01:33.000 --> 00:01:35.000]  關於他的時
[00:01:35.000 --> 00:01:39.000]  人可以知道的已經清清楚楚地
[00:01:39.000 --> 00:01:41.000]  擺在他們眼前
[00:01:41.000 --> 00:01:45.000]  是上帝親自向他們演明的
[00:01:45.000 --> 00:01:47.000]  上帝那看不見的特性
[00:01:47.000 --> 00:01:49.000]  就是他永恆的大量的神聖
[00:01:49.000 --> 00:01:51.000]  其實從創世以來
[00:01:51.000 --> 00:01:53.000]  都看得見
[00:01:53.000 --> 00:01:55.000]  是由他創造的萬物
[00:01:55.000 --> 00:01:57.000]  辨認出來的
[00:01:57.000 --> 00:02:00.000]  所以人沒有什麼藉口
[00:02:00.000 --> 00:02:02.000]  我們將人的特性
[00:02:02.000 --> 00:02:04.000]  叫做知神聖
[00:02:04.000 --> 00:02:06.000]  是動物沒有的
[00:02:06.000 --> 00:02:08.000]  所以我們從來沒有看過
[00:02:08.000 --> 00:02:11.000]  任何動物會舉行集體敬拜
[00:02:11.000 --> 00:02:13.000]  但是人就有
